modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,NB,1,0.5958781362007168,0.5238095238095238,0.5918367346938775,0.4583333333333333,0.6111111111111112,0.5806451612903226,11,13,18,7
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,LR,1,0.628136200716846,0.55,0.6326530612244898,0.5,0.6111111111111112,0.6451612903225806,11,11,20,7
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,1,0.6469534050179211,0.5957446808510638,0.6122448979591837,0.4827586206896552,0.7777777777777778,0.5161290322580645,14,15,16,4
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,1,0.6514336917562724,0.5909090909090908,0.6326530612244898,0.5,0.7222222222222222,0.5806451612903226,13,13,18,5
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,XG,1,0.5331541218637993,0.39999999999999997,0.5714285714285714,0.4117647058823529,0.3888888888888889,0.6774193548387096,7,10,21,11
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,kNN3,1,0.5474910394265233,0.4888888888888889,0.5306122448979592,0.4074074074074074,0.6111111111111112,0.4838709677419355,11,16,15,7
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,RF,1,0.5492831541218638,0.411764705882353,0.5918367346938775,0.4375,0.3888888888888889,0.7096774193548387,7,9,22,11
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,NB,2,0.6514336917562724,0.5909090909090908,0.6326530612244898,0.5,0.7222222222222222,0.5806451612903226,13,13,18,5
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,LR,2,0.6120071684587813,0.5365853658536586,0.6122448979591837,0.4782608695652174,0.6111111111111112,0.6129032258064516,11,12,19,7
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,2,0.5842293906810035,0.5,0.5918367346938775,0.45454545454545453,0.5555555555555556,0.6129032258064516,10,12,19,8
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,2,0.6353046594982079,0.5777777777777777,0.6122448979591837,0.48148148148148145,0.7222222222222222,0.5483870967741935,13,14,17,5
emu_audio_open_cleaned_gender,gad,10,etc,loo,regular_oversampling,XG,2,0.5931899641577061,0.47058823529411764,0.6326530612244898,0.5,0.4444444444444444,0.7419354838709677,8,8,23,10
