modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,NB,1,0.4506688963210702,0.44897959183673475,0.4489795918367347,0.4230769230769231,0.4782608695652174,0.4230769230769231,11,15,11,12
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,LR,1,0.44565217391304346,0.4,0.4489795918367347,0.4090909090909091,0.391304347826087,0.5,9,13,13,14
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC1,1,0.48913043478260865,0.4680851063829787,0.4897959183673469,0.4583333333333333,0.4782608695652174,0.5,11,13,13,12
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC2,1,0.5685618729096991,0.5333333333333332,0.5714285714285714,0.5454545454545454,0.5217391304347826,0.6153846153846154,12,10,16,11
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,XG,1,0.5635451505016722,0.4878048780487805,0.5714285714285714,0.5555555555555556,0.43478260869565216,0.6923076923076923,10,8,18,13
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,kNN3,1,0.5418060200668896,0.45,0.5510204081632653,0.5294117647058824,0.391304347826087,0.6923076923076923,9,8,18,14
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,RF,1,0.5610367892976589,0.46153846153846156,0.5714285714285714,0.5625,0.391304347826087,0.7307692307692307,9,7,19,14
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,NB,2,0.5685618729096991,0.5333333333333332,0.5714285714285714,0.5454545454545454,0.5217391304347826,0.6153846153846154,12,10,16,11
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,LR,2,0.5083612040133779,0.4782608695652174,0.5102040816326531,0.4782608695652174,0.4782608695652174,0.5384615384615384,11,12,14,12
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC1,2,0.5685618729096991,0.5333333333333332,0.5714285714285714,0.5454545454545454,0.5217391304347826,0.6153846153846154,12,10,16,11
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC2,2,0.4916387959866221,0.4897959183673469,0.4897959183673469,0.46153846153846156,0.5217391304347826,0.46153846153846156,12,14,12,11
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,XG,2,0.6429765886287625,0.5641025641025642,0.6530612244897959,0.6875,0.4782608695652174,0.8076923076923077,11,5,21,12
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,kNN3,2,0.5351170568561874,0.5490196078431373,0.5306122448979592,0.5,0.6086956521739131,0.46153846153846156,14,14,12,9
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,RF,2,0.6237458193979932,0.55,0.6326530612244898,0.6470588235294118,0.4782608695652174,0.7692307692307693,11,6,20,12
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,NB,3,0.5877926421404682,0.5454545454545454,0.5918367346938775,0.5714285714285714,0.5217391304347826,0.6538461538461539,12,9,17,11
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,LR,3,0.5468227424749164,0.5,0.5510204081632653,0.5238095238095238,0.4782608695652174,0.6153846153846154,11,10,16,12
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC1,3,0.5710702341137123,0.5531914893617021,0.5714285714285714,0.5416666666666666,0.5652173913043478,0.5769230769230769,13,11,15,10
emu_audio_open_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC2,3,0.5301003344481605,0.5106382978723404,0.5306122448979592,0.5,0.5217391304347826,0.5384615384615384,12,12,14,11
