modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,NB,1,0.8380952380952381,0.7916666666666667,0.8214285714285714,0.7037037037037037,0.9047619047619048,0.7714285714285715,19,8,27,2
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,LR,1,0.8333333333333334,0.7906976744186046,0.8392857142857143,0.7727272727272727,0.8095238095238095,0.8571428571428571,17,5,30,4
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,1,0.8714285714285714,0.8372093023255814,0.875,0.8181818181818182,0.8571428571428571,0.8857142857142857,18,4,31,3
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,1,0.8047619047619049,0.7555555555555556,0.8035714285714286,0.7083333333333334,0.8095238095238095,0.8,17,7,28,4
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,XG,1,0.7571428571428572,0.6976744186046512,0.7678571428571429,0.6818181818181818,0.7142857142857143,0.8,15,7,28,6
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,kNN3,1,0.8428571428571429,0.7999999999999999,0.8392857142857143,0.75,0.8571428571428571,0.8285714285714286,18,6,29,3
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,RF,1,0.7190476190476189,0.6511627906976744,0.7321428571428571,0.6363636363636364,0.6666666666666666,0.7714285714285715,14,8,27,7
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,NB,2,0.719047619047619,0.6666666666666666,0.6964285714285714,0.5666666666666667,0.8095238095238095,0.6285714285714286,17,13,22,4
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,LR,2,0.7952380952380952,0.7441860465116279,0.8035714285714286,0.7272727272727273,0.7619047619047619,0.8285714285714286,16,6,29,5
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,2,0.8571428571428572,0.8181818181818182,0.8571428571428571,0.782608695652174,0.8571428571428571,0.8571428571428571,18,5,30,3
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,2,0.7952380952380952,0.7441860465116279,0.8035714285714286,0.7272727272727273,0.7619047619047619,0.8285714285714286,16,6,29,5
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,XG,2,0.7857142857142858,0.7317073170731706,0.8035714285714286,0.75,0.7142857142857143,0.8571428571428571,15,5,30,6
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,kNN3,2,0.8571428571428572,0.8181818181818182,0.8571428571428571,0.782608695652174,0.8571428571428571,0.8571428571428571,18,5,30,3
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,RF,2,0.7571428571428572,0.6976744186046512,0.7678571428571429,0.6818181818181818,0.7142857142857143,0.8,15,7,28,6
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,NB,3,0.7761904761904762,0.7234042553191489,0.7678571428571429,0.6538461538461539,0.8095238095238095,0.7428571428571429,17,9,26,4
emu_audio_closed_cleaned_gender,gad,10,etc,loo,regular_oversampling,LR,3,0.8047619047619049,0.7555555555555556,0.8035714285714286,0.7083333333333334,0.8095238095238095,0.8,17,7,28,4
