modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,1,0.5342105263157895,0.28571428571428575,0.6031746031746031,0.5,0.2,0.868421052631579,5,5,33,20
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,1,0.8742105263157894,0.8461538461538461,0.873015873015873,0.8148148148148148,0.88,0.868421052631579,22,5,33,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,1,0.8610526315789473,0.830188679245283,0.8571428571428571,0.7857142857142857,0.88,0.8421052631578947,22,6,32,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,1,0.8742105263157894,0.8461538461538461,0.873015873015873,0.8148148148148148,0.88,0.868421052631579,22,5,33,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,1,0.8410526315789473,0.8076923076923077,0.8412698412698413,0.7777777777777778,0.84,0.8421052631578947,21,6,32,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,1,0.8147368421052631,0.7777777777777777,0.8095238095238095,0.7241379310344828,0.84,0.7894736842105263,21,8,30,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,1,0.8542105263157894,0.8235294117647058,0.8571428571428571,0.8076923076923077,0.84,0.868421052631579,21,5,33,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,2,0.54,0.14814814814814814,0.6349206349206349,1.0,0.08,1.0,2,0,38,23
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,2,0.8942105263157895,0.8679245283018867,0.8888888888888888,0.8214285714285714,0.92,0.868421052631579,23,5,33,2
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,2,0.8742105263157894,0.8461538461538461,0.873015873015873,0.8148148148148148,0.88,0.868421052631579,22,5,33,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,2,0.8942105263157895,0.8679245283018867,0.8888888888888888,0.8214285714285714,0.92,0.868421052631579,23,5,33,2
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,2,0.8010526315789472,0.76,0.8095238095238095,0.76,0.76,0.8421052631578947,19,6,32,6
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,2,0.801578947368421,0.7636363636363636,0.7936507936507936,0.7,0.84,0.7631578947368421,21,9,29,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,2,0.8142105263157896,0.7755102040816326,0.8253968253968254,0.7916666666666666,0.76,0.868421052631579,19,5,33,6
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,3,0.54,0.14814814814814814,0.6349206349206349,1.0,0.08,1.0,2,0,38,23
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,3,0.8942105263157895,0.8679245283018867,0.8888888888888888,0.8214285714285714,0.92,0.868421052631579,23,5,33,2
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,3,0.8478947368421053,0.8148148148148148,0.8412698412698413,0.7586206896551724,0.88,0.8157894736842105,22,7,31,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,3,0.8873684210526315,0.8627450980392156,0.8888888888888888,0.8461538461538461,0.88,0.8947368421052632,22,4,34,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,3,0.8210526315789474,0.7843137254901961,0.8253968253968254,0.7692307692307693,0.8,0.8421052631578947,20,6,32,5
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,3,0.821578947368421,0.7857142857142856,0.8095238095238095,0.7096774193548387,0.88,0.7631578947368421,22,9,29,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,3,0.8142105263157896,0.7755102040816326,0.8253968253968254,0.7916666666666666,0.76,0.868421052631579,19,5,33,6
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,4,0.526842105263158,0.14285714285714285,0.6190476190476191,0.6666666666666666,0.08,0.9736842105263158,2,1,37,23
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,4,0.8478947368421053,0.8148148148148148,0.8412698412698413,0.7586206896551724,0.88,0.8157894736842105,22,7,31,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,4,0.8610526315789473,0.830188679245283,0.8571428571428571,0.7857142857142857,0.88,0.8421052631578947,22,6,32,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,4,0.8278947368421051,0.7924528301886793,0.8253968253968254,0.75,0.84,0.8157894736842105,21,7,31,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,4,0.7478947368421054,0.6938775510204083,0.7619047619047619,0.7083333333333334,0.68,0.8157894736842105,17,7,31,8
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,4,0.8610526315789473,0.830188679245283,0.8571428571428571,0.7857142857142857,0.88,0.8421052631578947,22,6,32,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,4,0.7942105263157895,0.7499999999999999,0.8095238095238095,0.782608695652174,0.72,0.868421052631579,18,5,33,7
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,5,0.526842105263158,0.14285714285714285,0.6190476190476191,0.6666666666666666,0.08,0.9736842105263158,2,1,37,23
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,5,0.8410526315789473,0.8076923076923077,0.8412698412698413,0.7777777777777778,0.84,0.8421052631578947,21,6,32,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,5,0.8742105263157894,0.8461538461538461,0.873015873015873,0.8148148148148148,0.88,0.868421052631579,22,5,33,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,5,0.8410526315789473,0.8076923076923077,0.8412698412698413,0.7777777777777778,0.84,0.8421052631578947,21,6,32,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,5,0.8342105263157895,0.8000000000000002,0.8412698412698413,0.8,0.8,0.868421052631579,20,5,33,5
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,5,0.8278947368421051,0.7924528301886793,0.8253968253968254,0.75,0.84,0.8157894736842105,21,7,31,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,5,0.8473684210526317,0.816326530612245,0.8571428571428571,0.8333333333333334,0.8,0.8947368421052632,20,4,34,5
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,6,0.4873684210526316,0.12903225806451613,0.5714285714285714,0.3333333333333333,0.08,0.8947368421052632,2,4,34,23
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,6,0.8410526315789473,0.8076923076923077,0.8412698412698413,0.7777777777777778,0.84,0.8421052631578947,21,6,32,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,6,0.8478947368421053,0.8148148148148148,0.8412698412698413,0.7586206896551724,0.88,0.8157894736842105,22,7,31,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,6,0.8542105263157894,0.8235294117647058,0.8571428571428571,0.8076923076923077,0.84,0.868421052631579,21,5,33,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,6,0.8010526315789472,0.76,0.8095238095238095,0.76,0.76,0.8421052631578947,19,6,32,6
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,6,0.821578947368421,0.7857142857142856,0.8095238095238095,0.7096774193548387,0.88,0.7631578947368421,22,9,29,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,6,0.7810526315789473,0.7346938775510204,0.7936507936507936,0.75,0.72,0.8421052631578947,18,6,32,7
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,7,0.5405263157894736,0.25,0.6190476190476191,0.5714285714285714,0.16,0.9210526315789473,4,3,35,21
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,7,0.7947368421052632,0.7547169811320756,0.7936507936507936,0.7142857142857143,0.8,0.7894736842105263,20,8,30,5
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,7,0.8810526315789472,0.851851851851852,0.873015873015873,0.7931034482758621,0.92,0.8421052631578947,23,6,32,2
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,7,0.801578947368421,0.7636363636363636,0.7936507936507936,0.7,0.84,0.7631578947368421,21,9,29,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,7,0.7742105263157896,0.7234042553191491,0.7936507936507936,0.7727272727272727,0.68,0.868421052631579,17,5,33,8
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,7,0.8278947368421051,0.7924528301886793,0.8253968253968254,0.75,0.84,0.8157894736842105,21,7,31,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,7,0.7278947368421053,0.6666666666666666,0.746031746031746,0.6956521739130435,0.64,0.8157894736842105,16,7,31,9
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,8,0.48157894736842105,0.25641025641025644,0.5396825396825397,0.35714285714285715,0.2,0.7631578947368421,5,9,29,20
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,8,0.781578947368421,0.7407407407407408,0.7777777777777778,0.6896551724137931,0.8,0.7631578947368421,20,9,29,5
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,8,0.8742105263157894,0.8461538461538461,0.873015873015873,0.8148148148148148,0.88,0.868421052631579,22,5,33,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,8,0.801578947368421,0.7636363636363636,0.7936507936507936,0.7,0.84,0.7631578947368421,21,9,29,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,8,0.7147368421052631,0.6530612244897959,0.7301587301587301,0.6666666666666666,0.64,0.7894736842105263,16,8,30,9
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,8,0.7752631578947368,0.736842105263158,0.7619047619047619,0.65625,0.84,0.7105263157894737,21,11,27,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,8,0.7147368421052631,0.6530612244897959,0.7301587301587301,0.6666666666666666,0.64,0.7894736842105263,16,8,30,9
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,9,0.46894736842105267,0.3111111111111111,0.5079365079365079,0.35,0.28,0.6578947368421053,7,13,25,18
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,9,0.781578947368421,0.7407407407407408,0.7777777777777778,0.6896551724137931,0.8,0.7631578947368421,20,9,29,5
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,9,0.8610526315789473,0.830188679245283,0.8571428571428571,0.7857142857142857,0.88,0.8421052631578947,22,6,32,3
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,9,0.768421052631579,0.7272727272727272,0.7619047619047619,0.6666666666666666,0.8,0.7368421052631579,20,10,28,5
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,9,0.6615789473684212,0.5833333333333334,0.6825396825396826,0.6086956521739131,0.56,0.7631578947368421,14,9,29,11
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,9,0.7752631578947368,0.736842105263158,0.7619047619047619,0.65625,0.84,0.7105263157894737,21,11,27,4
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,9,0.7347368421052632,0.68,0.746031746031746,0.68,0.68,0.7894736842105263,17,8,30,8
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,10,0.5231578947368422,0.46428571428571425,0.5238095238095238,0.41935483870967744,0.52,0.5263157894736842,13,18,20,12
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,10,0.781578947368421,0.7407407407407408,0.7777777777777778,0.6896551724137931,0.8,0.7631578947368421,20,9,29,5
emu_audio_closed_uncleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,10,0.8610526315789473,0.830188679245283,0.8571428571428571,0.7857142857142857,0.88,0.8421052631578947,22,6,32,3
