modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,1,0.6268191268191268,0.4444444444444444,0.6825396825396826,0.8,0.3076923076923077,0.9459459459459459,8,2,35,18
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,1,0.5992723492723493,0.5454545454545454,0.6031746031746031,0.5172413793103449,0.5769230769230769,0.6216216216216216,15,14,23,11
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,1,0.5997920997920998,0.42105263157894735,0.6507936507936508,0.6666666666666666,0.3076923076923077,0.8918918918918919,8,4,33,18
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,1,0.5841995841995842,0.4545454545454546,0.6190476190476191,0.5555555555555556,0.38461538461538464,0.7837837837837838,10,8,29,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,1,0.5971933471933473,0.5666666666666668,0.5873015873015873,0.5,0.6538461538461539,0.5405405405405406,17,17,20,9
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,1,0.6127858627858628,0.5555555555555555,0.6190476190476191,0.5357142857142857,0.5769230769230769,0.6486486486486487,15,13,24,11
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,1,0.5395010395010394,0.4912280701754386,0.5396825396825397,0.45161290322580644,0.5384615384615384,0.5405405405405406,14,17,20,12
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,2,0.6133056133056133,0.43243243243243246,0.6666666666666666,0.7272727272727273,0.3076923076923077,0.918918918918919,8,3,34,18
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,2,0.5665280665280664,0.509090909090909,0.5714285714285714,0.4827586206896552,0.5384615384615384,0.5945945945945946,14,15,22,12
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,2,0.5322245322245323,0.372093023255814,0.5714285714285714,0.47058823529411764,0.3076923076923077,0.7567567567567568,8,9,28,18
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,2,0.5301455301455301,0.41666666666666663,0.5555555555555556,0.45454545454545453,0.38461538461538464,0.6756756756756757,10,12,25,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,2,0.6091476091476091,0.5106382978723405,0.6349206349206349,0.5714285714285714,0.46153846153846156,0.7567567567567568,12,9,28,14
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,2,0.6496881496881497,0.5454545454545455,0.6825396825396826,0.6666666666666666,0.46153846153846156,0.8378378378378378,12,6,31,14
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,2,0.6091476091476091,0.5106382978723405,0.6349206349206349,0.5714285714285714,0.46153846153846156,0.7567567567567568,12,9,28,14
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,3,0.6325363825363826,0.4736842105263157,0.6825396825396826,0.75,0.34615384615384615,0.918918918918919,9,3,34,17
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,3,0.5337837837837838,0.4727272727272727,0.5396825396825397,0.4482758620689655,0.5,0.5675675675675675,13,16,21,13
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,3,0.5977130977130977,0.46511627906976744,0.6349206349206349,0.5882352941176471,0.38461538461538464,0.8108108108108109,10,7,30,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,3,0.48960498960498955,0.39215686274509803,0.5079365079365079,0.4,0.38461538461538464,0.5945945945945946,10,15,22,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,3,0.5358627858627859,0.43999999999999995,0.5555555555555556,0.4583333333333333,0.4230769230769231,0.6486486486486487,11,13,24,15
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,3,0.6112266112266111,0.4761904761904762,0.6507936507936508,0.625,0.38461538461538464,0.8378378378378378,10,6,31,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,3,0.6091476091476091,0.5106382978723405,0.6349206349206349,0.5714285714285714,0.46153846153846156,0.7567567567567568,12,9,28,14
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,4,0.5784823284823285,0.4285714285714286,0.6190476190476191,0.5625,0.34615384615384615,0.8108108108108109,9,7,30,17
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,4,0.5800415800415799,0.5185185185185186,0.5873015873015873,0.5,0.5384615384615384,0.6216216216216216,14,14,23,12
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,4,0.5764033264033265,0.4680851063829788,0.6031746031746031,0.5238095238095238,0.4230769230769231,0.7297297297297297,11,10,27,15
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,4,0.5571725571725572,0.4347826086956522,0.5873015873015873,0.5,0.38461538461538464,0.7297297297297297,10,10,27,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,4,0.5301455301455301,0.41666666666666663,0.5555555555555556,0.45454545454545453,0.38461538461538464,0.6756756756756757,10,12,25,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,4,0.6034303534303534,0.4888888888888889,0.6349206349206349,0.5789473684210527,0.4230769230769231,0.7837837837837838,11,8,29,15
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,4,0.5166320166320166,0.40816326530612246,0.5396825396825397,0.43478260869565216,0.38461538461538464,0.6486486486486487,10,13,24,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,5,0.619022869022869,0.46153846153846156,0.6666666666666666,0.6923076923076923,0.34615384615384615,0.8918918918918919,9,4,33,17
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,5,0.5608108108108109,0.49056603773584906,0.5714285714285714,0.48148148148148145,0.5,0.6216216216216216,13,14,23,13
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,5,0.5706860706860707,0.4444444444444444,0.6031746031746031,0.5263157894736842,0.38461538461538464,0.7567567567567568,10,9,28,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,5,0.4916839916839917,0.34782608695652173,0.5238095238095238,0.4,0.3076923076923077,0.6756756756756757,8,12,25,18
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,5,0.4703742203742204,0.35999999999999993,0.49206349206349204,0.375,0.34615384615384615,0.5945945945945946,9,15,22,17
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,5,0.661122661122661,0.5833333333333334,0.6825396825396826,0.6363636363636364,0.5384615384615384,0.7837837837837838,14,8,29,12
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,5,0.5821205821205822,0.4897959183673469,0.6031746031746031,0.5217391304347826,0.46153846153846156,0.7027027027027027,12,11,26,14
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,6,0.5727650727650727,0.4,0.6190476190476191,0.5714285714285714,0.3076923076923077,0.8378378378378378,8,6,31,18
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,6,0.47609147609147606,0.38461538461538464,0.49206349206349204,0.38461538461538464,0.38461538461538464,0.5675675675675675,10,16,21,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,6,0.5706860706860707,0.4444444444444444,0.6031746031746031,0.5263157894736842,0.38461538461538464,0.7567567567567568,10,9,28,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,6,0.4916839916839917,0.34782608695652173,0.5238095238095238,0.4,0.3076923076923077,0.6756756756756757,8,12,25,18
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,6,0.5145530145530146,0.4444444444444445,0.5238095238095238,0.42857142857142855,0.46153846153846156,0.5675675675675675,12,16,21,14
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,6,0.49740124740124747,0.37500000000000006,0.5238095238095238,0.4090909090909091,0.34615384615384615,0.6486486486486487,9,13,24,17
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,6,0.5223492723492723,0.4313725490196078,0.5396825396825397,0.44,0.4230769230769231,0.6216216216216216,11,14,23,15
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,7,0.5784823284823285,0.4285714285714286,0.6190476190476191,0.5625,0.34615384615384615,0.8108108108108109,9,7,30,17
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,7,0.43191268191268184,0.2916666666666667,0.4603174603174603,0.3181818181818182,0.2692307692307692,0.5945945945945946,7,15,22,19
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,7,0.5379417879417879,0.39999999999999997,0.5714285714285714,0.47368421052631576,0.34615384615384615,0.7297297297297297,9,10,27,17
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,7,0.5166320166320166,0.40816326530612246,0.5396825396825397,0.43478260869565216,0.38461538461538464,0.6486486486486487,10,13,24,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,7,0.47609147609147606,0.38461538461538464,0.49206349206349204,0.38461538461538464,0.38461538461538464,0.5675675675675675,10,16,21,16
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,7,0.528066528066528,0.4528301886792453,0.5396825396825397,0.4444444444444444,0.46153846153846156,0.5945945945945946,12,15,22,14
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,7,0.5686070686070687,0.48000000000000004,0.5873015873015873,0.5,0.46153846153846156,0.6756756756756757,12,12,25,14
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,8,0.5727650727650727,0.4,0.6190476190476191,0.5714285714285714,0.3076923076923077,0.8378378378378378,8,6,31,18
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,8,0.4838877338877339,0.36734693877551017,0.5079365079365079,0.391304347826087,0.34615384615384615,0.6216216216216216,9,14,23,17
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,8,0.4781704781704782,0.3404255319148936,0.5079365079365079,0.38095238095238093,0.3076923076923077,0.6486486486486487,8,13,24,18
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,8,0.5493762993762994,0.44897959183673475,0.5714285714285714,0.4782608695652174,0.4230769230769231,0.6756756756756757,11,12,25,15
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,8,0.5493762993762994,0.44897959183673475,0.5714285714285714,0.4782608695652174,0.4230769230769231,0.6756756756756757,11,12,25,15
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,8,0.5821205821205822,0.4897959183673469,0.6031746031746031,0.5217391304347826,0.46153846153846156,0.7027027027027027,12,11,26,14
emu_audio_closed_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,8,0.5628898128898129,0.4583333333333333,0.5873015873015873,0.5,0.4230769230769231,0.7027027027027027,11,11,26,15
