modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,1,0.6818181818181819,0.6222222222222223,0.6909090909090909,0.6086956521739131,0.6363636363636364,0.7272727272727273,14,9,24,8
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,1,0.6893939393939393,0.6382978723404256,0.6909090909090909,0.6,0.6818181818181818,0.696969696969697,15,10,23,7
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,1,0.6818181818181819,0.6222222222222223,0.6909090909090909,0.6086956521739131,0.6363636363636364,0.7272727272727273,14,9,24,8
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,1,0.6893939393939393,0.6382978723404256,0.6909090909090909,0.6,0.6818181818181818,0.696969696969697,15,10,23,7
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,1,0.5075757575757576,0.4090909090909091,0.5272727272727272,0.4090909090909091,0.4090909090909091,0.6060606060606061,9,13,20,13
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,1,0.5151515151515152,0.3902439024390244,0.5454545454545454,0.42105263157894735,0.36363636363636365,0.6666666666666666,8,11,22,14
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,1,0.4924242424242424,0.4,0.509090909090909,0.391304347826087,0.4090909090909091,0.5757575757575758,9,14,19,13
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,2,0.6969696969696969,0.6153846153846153,0.7272727272727273,0.7058823529411765,0.5454545454545454,0.8484848484848485,12,5,28,10
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,2,0.6363636363636362,0.5833333333333334,0.6363636363636364,0.5384615384615384,0.6363636363636364,0.6363636363636364,14,12,21,8
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,2,0.6515151515151515,0.5714285714285713,0.6727272727272727,0.6,0.5454545454545454,0.7575757575757576,12,8,25,10
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,2,0.6590909090909091,0.5909090909090909,0.6727272727272727,0.5909090909090909,0.5909090909090909,0.7272727272727273,13,9,24,9
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,2,0.537878787878788,0.4285714285714286,0.5636363636363636,0.45,0.4090909090909091,0.6666666666666666,9,11,22,13
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,2,0.5909090909090908,0.5217391304347826,0.6,0.5,0.5454545454545454,0.6363636363636364,12,12,21,10
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,2,0.6136363636363635,0.5238095238095238,0.6363636363636364,0.55,0.5,0.7272727272727273,11,9,24,11
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,3,0.7196969696969696,0.65,0.7454545454545455,0.7222222222222222,0.5909090909090909,0.8484848484848485,13,5,28,9
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,3,0.6742424242424243,0.6046511627906977,0.6909090909090909,0.6190476190476191,0.5909090909090909,0.7575757575757576,13,8,25,9
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,3,0.6212121212121213,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.696969696969697,12,10,23,10
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,3,0.6969696969696969,0.6363636363636364,0.7090909090909091,0.6363636363636364,0.6363636363636364,0.7575757575757576,14,8,25,8
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,3,0.5984848484848485,0.5416666666666667,0.6,0.5,0.5909090909090909,0.6060606060606061,13,13,20,9
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,3,0.5909090909090908,0.5490196078431373,0.5818181818181818,0.4827586206896552,0.6363636363636364,0.5454545454545454,14,15,18,8
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,3,0.5984848484848485,0.5116279069767442,0.6181818181818182,0.5238095238095238,0.5,0.696969696969697,11,10,23,11
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,4,0.6212121212121212,0.5128205128205129,0.6545454545454545,0.5882352941176471,0.45454545454545453,0.7878787878787878,10,7,26,12
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,4,0.5984848484848485,0.5116279069767442,0.6181818181818182,0.5238095238095238,0.5,0.696969696969697,11,10,23,11
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC1,4,0.5909090909090908,0.5217391304347826,0.6,0.5,0.5454545454545454,0.6363636363636364,12,12,21,10
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,SVC2,4,0.6363636363636364,0.5581395348837208,0.6545454545454545,0.5714285714285714,0.5454545454545454,0.7272727272727273,12,9,24,10
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,XG,4,0.6666666666666666,0.6086956521739131,0.6727272727272727,0.5833333333333334,0.6363636363636364,0.696969696969697,14,10,23,8
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,kNN3,4,0.6212121212121211,0.5714285714285714,0.6181818181818182,0.5185185185185185,0.6363636363636364,0.6060606060606061,14,13,20,8
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,RF,4,0.6893939393939393,0.6382978723404256,0.6909090909090909,0.6,0.6818181818181818,0.696969696969697,15,10,23,7
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,NB,5,0.6515151515151515,0.5714285714285713,0.6727272727272727,0.6,0.5454545454545454,0.7575757575757576,12,8,25,10
emu_audio_open_uncleaned_gender,q9,1,pca,loo,regular_oversampling,LR,5,0.5833333333333334,0.5,0.6,0.5,0.5,0.6666666666666666,11,11,22,11
