modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,1,0.5114942528735632,0.4,0.5178571428571429,0.5,0.3333333333333333,0.6896551724137931,9,9,20,18
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,1,0.5893997445721584,0.5818181818181818,0.5892857142857143,0.5714285714285714,0.5925925925925926,0.5862068965517241,16,12,17,11
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,1,0.5772669220945084,0.625,0.5714285714285714,0.5405405405405406,0.7407407407407407,0.41379310344827586,20,17,12,7
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,1,0.5510855683269477,0.5098039215686274,0.5535714285714286,0.5416666666666666,0.48148148148148145,0.6206896551724138,13,11,18,14
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,1,0.4636015325670497,0.4444444444444444,0.4642857142857143,0.4444444444444444,0.4444444444444444,0.4827586206896552,12,15,14,15
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,1,0.42656449553001274,0.3846153846153846,0.42857142857142855,0.4,0.37037037037037035,0.4827586206896552,10,15,14,17
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,RF,1,0.4450830140485313,0.4150943396226415,0.44642857142857145,0.4230769230769231,0.4074074074074074,0.4827586206896552,11,15,14,16
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,2,0.5312899106002554,0.4583333333333333,0.5357142857142857,0.5238095238095238,0.4074074074074074,0.6551724137931034,11,10,19,16
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,2,0.5881226053639848,0.5660377358490566,0.5892857142857143,0.5769230769230769,0.5555555555555556,0.6206896551724138,15,11,18,12
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,2,0.6117496807151979,0.6451612903225806,0.6071428571428571,0.5714285714285714,0.7407407407407407,0.4827586206896552,20,15,14,7
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,2,0.586845466155811,0.5490196078431373,0.5892857142857143,0.5833333333333334,0.5185185185185185,0.6551724137931034,14,10,19,13
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,2,0.4782886334610472,0.40816326530612246,0.48214285714285715,0.45454545454545453,0.37037037037037035,0.5862068965517241,10,12,17,17
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,2,0.47701149425287354,0.3829787234042553,0.48214285714285715,0.45,0.3333333333333333,0.6206896551724138,9,11,18,18
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,RF,2,0.5696040868454662,0.5384615384615384,0.5714285714285714,0.56,0.5185185185185185,0.6206896551724138,14,11,18,13
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,3,0.6053639846743295,0.576923076923077,0.6071428571428571,0.6,0.5555555555555556,0.6551724137931034,15,10,19,12
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,3,0.5906768837803321,0.5964912280701755,0.5892857142857143,0.5666666666666667,0.6296296296296297,0.5517241379310345,17,13,16,10
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,3,0.5747126436781609,0.6,0.5714285714285714,0.5454545454545454,0.6666666666666666,0.4827586206896552,18,15,14,9
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,3,0.5708812260536399,0.5555555555555556,0.5714285714285714,0.5555555555555556,0.5555555555555556,0.5862068965517241,15,12,17,12
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,3,0.657088122605364,0.6122448979591836,0.6607142857142857,0.6818181818181818,0.5555555555555556,0.7586206896551724,15,7,22,12
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,3,0.5670498084291188,0.5,0.5714285714285714,0.5714285714285714,0.4444444444444444,0.6896551724137931,12,9,20,15
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,RF,3,0.5842911877394635,0.5106382978723405,0.5892857142857143,0.6,0.4444444444444444,0.7241379310344828,12,8,21,15
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,4,0.5287356321839081,0.409090909090909,0.5357142857142857,0.5294117647058824,0.3333333333333333,0.7241379310344828,9,8,21,18
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,4,0.553639846743295,0.5454545454545454,0.5535714285714286,0.5357142857142857,0.5555555555555556,0.5517241379310345,15,13,16,12
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,4,0.5734355044699873,0.5862068965517241,0.5714285714285714,0.5483870967741935,0.6296296296296297,0.5172413793103449,17,14,15,10
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,4,0.5351213282247765,0.5185185185185185,0.5357142857142857,0.5185185185185185,0.5185185185185185,0.5517241379310345,14,13,16,13
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,4,0.6187739463601534,0.5333333333333333,0.625,0.6666666666666666,0.4444444444444444,0.7931034482758621,12,6,23,15
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,4,0.6200510855683269,0.553191489361702,0.625,0.65,0.48148148148148145,0.7586206896551724,13,7,22,14
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,RF,4,0.5485312899106003,0.46808510638297873,0.5535714285714286,0.55,0.4074074074074074,0.6896551724137931,11,9,20,16
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,5,0.5102171136653896,0.37209302325581395,0.5178571428571429,0.5,0.2962962962962963,0.7241379310344828,8,8,21,19
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,5,0.5019157088122606,0.5172413793103449,0.5,0.4838709677419355,0.5555555555555556,0.4482758620689655,15,16,13,12
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,5,0.5759897828863346,0.6129032258064516,0.5714285714285714,0.5428571428571428,0.7037037037037037,0.4482758620689655,19,16,13,8
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,5,0.520434227330779,0.5423728813559322,0.5178571428571429,0.5,0.5925925925925926,0.4482758620689655,16,16,13,11
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,XG,5,0.6040868454661559,0.5599999999999999,0.6071428571428571,0.6086956521739131,0.5185185185185185,0.6896551724137931,14,9,20,13
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,kNN3,5,0.565772669220945,0.47826086956521735,0.5714285714285714,0.5789473684210527,0.4074074074074074,0.7241379310344828,11,8,21,16
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,RF,5,0.4955300127713921,0.4166666666666667,0.5,0.47619047619047616,0.37037037037037035,0.6206896551724138,10,11,18,17
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,NB,6,0.47190293742017875,0.2564102564102564,0.48214285714285715,0.4166666666666667,0.18518518518518517,0.7586206896551724,5,7,22,22
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,LR,6,0.5006385696040868,0.5,0.5,0.4827586206896552,0.5185185185185185,0.4827586206896552,14,15,14,13
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC1,6,0.5217113665389528,0.5573770491803278,0.5178571428571429,0.5,0.6296296296296297,0.41379310344827586,17,17,12,10
emu_audio_closed_cleaned_demographic,phq,10,pca,loo,regular_oversampling,SVC2,6,0.46487867177522346,0.4642857142857143,0.4642857142857143,0.4482758620689655,0.48148148148148145,0.4482758620689655,13,16,13,14
