modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,NB,1,0.3210702341137123,0.43333333333333335,0.30612244897959184,0.35135135135135137,0.5652173913043478,0.07692307692307693,13,24,2,10
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,LR,1,0.3210702341137123,0.43333333333333335,0.30612244897959184,0.35135135135135137,0.5652173913043478,0.07692307692307693,13,24,2,10
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC1,1,0.27759197324414714,0.3793103448275862,0.2653061224489796,0.3142857142857143,0.4782608695652174,0.07692307692307693,11,24,2,12
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC2,1,0.27759197324414714,0.3793103448275862,0.2653061224489796,0.3142857142857143,0.4782608695652174,0.07692307692307693,11,24,2,12
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,XG,1,0.34448160535117056,0.30434782608695654,0.3469387755102041,0.30434782608695654,0.30434782608695654,0.38461538461538464,7,16,10,16
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,kNN3,1,0.34448160535117056,0.30434782608695654,0.3469387755102041,0.30434782608695654,0.30434782608695654,0.38461538461538464,7,16,10,16
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,RF,1,0.38294314381270905,0.31818181818181823,0.3877551020408163,0.3333333333333333,0.30434782608695654,0.46153846153846156,7,14,12,16
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,NB,2,0.4707357859531773,0.5846153846153845,0.4489795918367347,0.4523809523809524,0.8260869565217391,0.11538461538461539,19,23,3,4
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,LR,2,0.44565217391304346,0.4,0.4489795918367347,0.4090909090909091,0.391304347826087,0.5,9,13,13,14
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC1,2,0.4431438127090301,0.37209302325581395,0.4489795918367347,0.4,0.34782608695652173,0.5384615384615384,8,12,14,15
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC2,2,0.520066889632107,0.41025641025641024,0.5306122448979592,0.5,0.34782608695652173,0.6923076923076923,8,8,18,15
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,XG,2,0.38294314381270905,0.31818181818181823,0.3877551020408163,0.3333333333333333,0.30434782608695654,0.46153846153846156,7,14,12,16
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,kNN3,2,0.3996655518394649,0.2926829268292683,0.40816326530612246,0.3333333333333333,0.2608695652173913,0.5384615384615384,6,12,14,17
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,RF,2,0.34448160535117056,0.30434782608695654,0.3469387755102041,0.30434782608695654,0.30434782608695654,0.38461538461538464,7,16,10,16
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,NB,3,0.4682274247491639,0.5714285714285714,0.4489795918367347,0.45,0.782608695652174,0.15384615384615385,18,22,4,5
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,LR,3,0.5133779264214047,0.52,0.5102040816326531,0.48148148148148145,0.5652173913043478,0.46153846153846156,13,14,12,10
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC1,3,0.5250836120401338,0.46511627906976744,0.5306122448979592,0.5,0.43478260869565216,0.6153846153846154,10,10,16,13
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC2,3,0.4724080267558529,0.48,0.46938775510204084,0.4444444444444444,0.5217391304347826,0.4230769230769231,12,15,11,11
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,XG,3,0.5133779264214047,0.52,0.5102040816326531,0.48148148148148145,0.5652173913043478,0.46153846153846156,13,14,12,10
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,kNN3,3,0.5275919732441471,0.4888888888888889,0.5306122448979592,0.5,0.4782608695652174,0.5769230769230769,11,11,15,12
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,RF,3,0.5058528428093645,0.4545454545454545,0.5102040816326531,0.47619047619047616,0.43478260869565216,0.5769230769230769,10,11,15,13
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,NB,4,0.4682274247491639,0.5714285714285714,0.4489795918367347,0.45,0.782608695652174,0.15384615384615385,18,22,4,5
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,LR,4,0.44816053511705684,0.425531914893617,0.4489795918367347,0.4166666666666667,0.43478260869565216,0.46153846153846156,10,14,12,13
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC1,4,0.5635451505016722,0.4878048780487805,0.5714285714285714,0.5555555555555556,0.43478260869565216,0.6923076923076923,10,8,18,13
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC2,4,0.48913043478260865,0.4680851063829787,0.4897959183673469,0.4583333333333333,0.4782608695652174,0.5,11,13,13,12
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,XG,4,0.44816053511705684,0.425531914893617,0.4489795918367347,0.4166666666666667,0.43478260869565216,0.46153846153846156,10,14,12,13
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,kNN3,4,0.5083612040133779,0.4782608695652174,0.5102040816326531,0.4782608695652174,0.4782608695652174,0.5384615384615384,11,12,14,12
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,RF,4,0.5133779264214047,0.52,0.5102040816326531,0.48148148148148145,0.5652173913043478,0.46153846153846156,13,14,12,10
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,NB,5,0.5066889632107023,0.5901639344262294,0.4897959183673469,0.47368421052631576,0.782608695652174,0.23076923076923078,18,20,6,5
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,LR,5,0.5326086956521738,0.5306122448979592,0.5306122448979592,0.5,0.5652173913043478,0.5,13,13,13,10
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC1,5,0.48913043478260865,0.4680851063829787,0.4897959183673469,0.4583333333333333,0.4782608695652174,0.5,11,13,13,12
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC2,5,0.48913043478260865,0.4680851063829787,0.4897959183673469,0.4583333333333333,0.4782608695652174,0.5,11,13,13,12
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,XG,5,0.40969899665551834,0.40816326530612246,0.40816326530612246,0.38461538461538464,0.43478260869565216,0.38461538461538464,10,16,10,13
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,kNN3,5,0.4724080267558529,0.48,0.46938775510204084,0.4444444444444444,0.5217391304347826,0.4230769230769231,12,15,11,11
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,RF,5,0.5133779264214047,0.52,0.5102040816326531,0.48148148148148145,0.5652173913043478,0.46153846153846156,13,14,12,10
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,NB,6,0.5426421404682273,0.5964912280701754,0.5306122448979592,0.5,0.7391304347826086,0.34615384615384615,17,17,9,6
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,LR,6,0.5158862876254181,0.5384615384615384,0.5102040816326531,0.4827586206896552,0.6086956521739131,0.4230769230769231,14,15,11,9
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC1,6,0.5326086956521738,0.5306122448979592,0.5306122448979592,0.5,0.5652173913043478,0.5,13,13,13,10
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC2,6,0.4941471571906354,0.5098039215686274,0.4897959183673469,0.4642857142857143,0.5652173913043478,0.4230769230769231,13,15,11,10
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,XG,6,0.5710702341137123,0.5531914893617021,0.5714285714285714,0.5416666666666666,0.5652173913043478,0.5769230769230769,13,11,15,10
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,kNN3,6,0.5301003344481605,0.5106382978723404,0.5306122448979592,0.5,0.5217391304347826,0.5384615384615384,12,12,14,11
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,RF,6,0.5710702341137123,0.5531914893617021,0.5714285714285714,0.5416666666666666,0.5652173913043478,0.5769230769230769,13,11,15,10
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,NB,7,0.5234113712374582,0.5862068965517241,0.5102040816326531,0.4857142857142857,0.7391304347826086,0.3076923076923077,17,18,8,6
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,LR,7,0.5877926421404682,0.5454545454545454,0.5918367346938775,0.5714285714285714,0.5217391304347826,0.6538461538461539,12,9,17,11
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC1,7,0.5877926421404682,0.5454545454545454,0.5918367346938775,0.5714285714285714,0.5217391304347826,0.6538461538461539,12,9,17,11
emu_audio_open_cleaned_demographic,phq,10,chi2,loo,regular_oversampling,SVC2,7,0.5468227424749164,0.5,0.5510204081632653,0.5238095238095238,0.4782608695652174,0.6153846153846154,11,10,16,12
