modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,NB,1,0.43394648829431437,0.4615384615384615,0.42857142857142855,0.41379310344827586,0.5217391304347826,0.34615384615384615,12,17,9,11
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,LR,1,0.431438127090301,0.44000000000000006,0.42857142857142855,0.4074074074074074,0.4782608695652174,0.38461538461538464,11,16,10,12
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,SVC1,1,0.3904682274247491,0.39999999999999997,0.3877551020408163,0.37037037037037035,0.43478260869565216,0.34615384615384615,10,17,9,13
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,SVC2,1,0.4122073578595318,0.4313725490196078,0.40816326530612246,0.39285714285714285,0.4782608695652174,0.34615384615384615,11,17,9,12
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,XG,1,0.4506688963210702,0.44897959183673475,0.4489795918367347,0.4230769230769231,0.4782608695652174,0.4230769230769231,11,15,11,12
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,kNN3,1,0.3712374581939799,0.39215686274509803,0.3673469387755102,0.35714285714285715,0.43478260869565216,0.3076923076923077,10,18,8,13
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,RF,1,0.4506688963210702,0.44897959183673475,0.4489795918367347,0.4230769230769231,0.4782608695652174,0.4230769230769231,11,15,11,12
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,NB,2,0.36872909698996653,0.36734693877551017,0.3673469387755102,0.34615384615384615,0.391304347826087,0.34615384615384615,9,17,9,14
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,LR,2,0.3712374581939799,0.39215686274509803,0.3673469387755102,0.35714285714285715,0.43478260869565216,0.3076923076923077,10,18,8,13
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,SVC1,2,0.37374581939799334,0.41509433962264153,0.3673469387755102,0.36666666666666664,0.4782608695652174,0.2692307692307692,11,19,7,12
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,SVC2,2,0.4581939799331104,0.5090909090909091,0.4489795918367347,0.4375,0.6086956521739131,0.3076923076923077,14,18,8,9
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,XG,2,0.40468227424749165,0.3555555555555555,0.40816326530612246,0.36363636363636365,0.34782608695652173,0.46153846153846156,8,14,12,15
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,kNN3,2,0.42391304347826086,0.3636363636363636,0.42857142857142855,0.38095238095238093,0.34782608695652173,0.5,8,13,13,15
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,RF,2,0.40468227424749165,0.3555555555555555,0.40816326530612246,0.36363636363636365,0.34782608695652173,0.46153846153846156,8,14,12,15
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,NB,3,0.40969899665551834,0.40816326530612246,0.40816326530612246,0.38461538461538464,0.43478260869565216,0.38461538461538464,10,16,10,13
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,LR,3,0.4724080267558529,0.48,0.46938775510204084,0.4444444444444444,0.5217391304347826,0.4230769230769231,12,15,11,11
emu_audio_open_cleaned_demographic,phq,10,etc,loo,regular_oversampling,SVC1,3,0.38294314381270905,0.31818181818181823,0.3877551020408163,0.3333333333333333,0.30434782608695654,0.46153846153846156,7,14,12,16
