modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,NB,1,0.561624649859944,0.46511627906976744,0.5818181818181818,0.45454545454545453,0.47619047619047616,0.6470588235294118,10,12,22,11
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,LR,1,0.5945378151260504,0.5217391304347826,0.6,0.48,0.5714285714285714,0.6176470588235294,12,13,21,9
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,SVC1,1,0.5574229691876751,0.5423728813559322,0.509090909090909,0.42105263157894735,0.7619047619047619,0.35294117647058826,16,22,12,5
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,SVC2,1,0.5945378151260504,0.5217391304347826,0.6,0.48,0.5714285714285714,0.6176470588235294,12,13,21,9
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,XG,1,0.47549019607843135,0.3414634146341463,0.509090909090909,0.35,0.3333333333333333,0.6176470588235294,7,13,21,14
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,kNN3,1,0.5525210084033614,0.4390243902439024,0.5818181818181818,0.45,0.42857142857142855,0.6764705882352942,9,11,23,12
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,RF,1,0.46078431372549017,0.3333333333333333,0.4909090909090909,0.3333333333333333,0.3333333333333333,0.5882352941176471,7,14,20,14
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,NB,2,0.5525210084033614,0.4390243902439024,0.5818181818181818,0.45,0.42857142857142855,0.6764705882352942,9,11,23,12
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,LR,2,0.523109243697479,0.4186046511627907,0.5454545454545454,0.4090909090909091,0.42857142857142855,0.6176470588235294,9,13,21,12
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,SVC1,2,0.476890756302521,0.4444444444444444,0.45454545454545453,0.36363636363636365,0.5714285714285714,0.38235294117647056,12,21,13,9
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,SVC2,2,0.5287114845938375,0.4,0.5636363636363636,0.42105263157894735,0.38095238095238093,0.6764705882352942,8,11,23,13
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,XG,2,0.3837535014005602,0.23809523809523808,0.41818181818181815,0.23809523809523808,0.23809523809523808,0.5294117647058824,5,16,18,16
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,kNN3,2,0.3578431372549019,0.28571428571428575,0.36363636363636365,0.25,0.3333333333333333,0.38235294117647056,7,21,13,14
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,RF,2,0.3984593837535014,0.24390243902439024,0.43636363636363634,0.25,0.23809523809523808,0.5588235294117647,5,15,19,16
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,NB,3,0.600140056022409,0.5116279069767442,0.6181818181818182,0.5,0.5238095238095238,0.6764705882352942,11,11,23,10
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,LR,3,0.5378151260504201,0.42857142857142855,0.5636363636363636,0.42857142857142855,0.42857142857142855,0.6470588235294118,9,12,22,12
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,SVC1,3,0.43487394957983194,0.3673469387755102,0.43636363636363634,0.32142857142857145,0.42857142857142855,0.4411764705882353,9,19,15,12
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,SVC2,3,0.5854341736694677,0.5,0.6,0.4782608695652174,0.5238095238095238,0.6470588235294118,11,12,22,10
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,XG,3,0.5084033613445378,0.4090909090909091,0.5272727272727272,0.391304347826087,0.42857142857142855,0.5882352941176471,9,14,20,12
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,kNN3,3,0.5175070028011205,0.43478260869565216,0.5272727272727272,0.4,0.47619047619047616,0.5588235294117647,10,15,19,11
emu_audio_open_uncleaned_demographic,gad,10,pca,loo,regular_oversampling,RF,3,0.5049019607843137,0.358974358974359,0.5454545454545454,0.3888888888888889,0.3333333333333333,0.6764705882352942,7,11,23,14
