modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,NB,1,0.8212005108556832,0.8148148148148148,0.8214285714285714,0.8148148148148148,0.8148148148148148,0.8275862068965517,22,5,24,5
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,LR,1,0.8212005108556832,0.8148148148148148,0.8214285714285714,0.8148148148148148,0.8148148148148148,0.8275862068965517,22,5,24,5
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,SVC1,1,0.8212005108556832,0.8148148148148148,0.8214285714285714,0.8148148148148148,0.8148148148148148,0.8275862068965517,22,5,24,5
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,SVC2,1,0.8212005108556832,0.8148148148148148,0.8214285714285714,0.8148148148148148,0.8148148148148148,0.8275862068965517,22,5,24,5
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,XG,1,0.8607918263090676,0.8666666666666665,0.8571428571428571,0.7878787878787878,0.9629629629629629,0.7586206896551724,26,7,22,1
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,kNN3,1,0.8052362707535121,0.8070175438596491,0.8035714285714286,0.7666666666666667,0.8518518518518519,0.7586206896551724,23,7,22,4
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,RF,1,0.8607918263090676,0.8666666666666665,0.8571428571428571,0.7878787878787878,0.9629629629629629,0.7586206896551724,26,7,22,1
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,NB,2,0.8569604086845466,0.8518518518518519,0.8571428571428571,0.8518518518518519,0.8518518518518519,0.8620689655172413,23,4,25,4
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,LR,2,0.8914431673052362,0.8846153846153846,0.8928571428571429,0.92,0.8518518518518519,0.9310344827586207,23,2,27,4
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,SVC1,2,0.8569604086845466,0.8518518518518519,0.8571428571428571,0.8518518518518519,0.8518518518518519,0.8620689655172413,23,4,25,4
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,SVC2,2,0.8569604086845466,0.8518518518518519,0.8571428571428571,0.8518518518518519,0.8518518518518519,0.8620689655172413,23,4,25,4
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,XG,2,0.7841634738186463,0.7692307692307692,0.7857142857142857,0.8,0.7407407407407407,0.8275862068965517,20,5,24,7
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,kNN3,2,0.8039591315453385,0.7999999999999999,0.8035714285714286,0.7857142857142857,0.8148148148148148,0.7931034482758621,22,6,23,5
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,RF,2,0.8384418901660281,0.830188679245283,0.8392857142857143,0.8461538461538461,0.8148148148148148,0.8620689655172413,22,4,25,5
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,NB,3,0.7841634738186463,0.7692307692307692,0.7857142857142857,0.8,0.7407407407407407,0.8275862068965517,20,5,24,7
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,LR,3,0.8186462324393359,0.7999999999999999,0.8214285714285714,0.8695652173913043,0.7407407407407407,0.896551724137931,20,3,26,7
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,SVC1,3,0.89272030651341,0.8888888888888888,0.8928571428571429,0.8888888888888888,0.8888888888888888,0.896551724137931,24,3,26,3
emu_audio_closed_cleaned_demographic_gad,phq,10,etc,loo,regular_oversampling,SVC2,3,0.8186462324393359,0.7999999999999999,0.8214285714285714,0.8695652173913043,0.7407407407407407,0.896551724137931,20,3,26,7
