modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,1,0.8361204013377926,0.8260869565217391,0.8367346938775511,0.8260869565217391,0.8260869565217391,0.8461538461538461,19,4,22,4
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,1,0.8361204013377926,0.8260869565217391,0.8367346938775511,0.8260869565217391,0.8260869565217391,0.8461538461538461,19,4,22,4
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,1,0.8361204013377926,0.8260869565217391,0.8367346938775511,0.8260869565217391,0.8260869565217391,0.8461538461538461,19,4,22,4
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,1,0.8361204013377926,0.8260869565217391,0.8367346938775511,0.8260869565217391,0.8260869565217391,0.8461538461538461,19,4,22,4
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,1,0.8411371237458194,0.84,0.8367346938775511,0.7777777777777778,0.9130434782608695,0.7692307692307693,21,6,20,2
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,1,0.7541806020066888,0.7391304347826085,0.7551020408163265,0.7391304347826086,0.7391304347826086,0.7692307692307693,17,6,20,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,1,0.7976588628762542,0.7916666666666667,0.7959183673469388,0.76,0.8260869565217391,0.7692307692307693,19,6,20,4
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,2,0.48745819397993306,0.5806451612903226,0.46938775510204084,0.46153846153846156,0.782608695652174,0.19230769230769232,18,21,5,5
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,2,0.6914715719063546,0.6666666666666666,0.6938775510204082,0.6818181818181818,0.6521739130434783,0.7307692307692307,15,7,19,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,2,0.7157190635451505,0.7083333333333334,0.7142857142857143,0.68,0.7391304347826086,0.6923076923076923,17,8,18,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,2,0.7324414715719063,0.711111111111111,0.7346938775510204,0.7272727272727273,0.6956521739130435,0.7692307692307693,16,6,20,7
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,2,0.7926421404682273,0.7727272727272727,0.7959183673469388,0.8095238095238095,0.7391304347826086,0.8461538461538461,17,4,22,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,2,0.6939799331103679,0.6808510638297872,0.6938775510204082,0.6666666666666666,0.6956521739130435,0.6923076923076923,16,8,18,7
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,2,0.729933110367893,0.6976744186046512,0.7346938775510204,0.75,0.6521739130434783,0.8076923076923077,15,5,21,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,3,0.46571906354515047,0.5573770491803278,0.4489795918367347,0.4473684210526316,0.7391304347826086,0.19230769230769232,17,21,5,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,3,0.6914715719063546,0.6666666666666666,0.6938775510204082,0.6818181818181818,0.6521739130434783,0.7307692307692307,15,7,19,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,3,0.7349498327759197,0.723404255319149,0.7346938775510204,0.7083333333333334,0.7391304347826086,0.7307692307692307,17,7,19,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,3,0.7759197324414715,0.7659574468085107,0.7755102040816326,0.75,0.782608695652174,0.7692307692307693,18,6,20,5
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,3,0.7709030100334447,0.7441860465116279,0.7755102040816326,0.8,0.6956521739130435,0.8461538461538461,16,4,22,7
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,3,0.653010033444816,0.6382978723404256,0.6530612244897959,0.625,0.6521739130434783,0.6538461538461539,15,9,17,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,3,0.6864548494983277,0.6341463414634146,0.6938775510204082,0.7222222222222222,0.5652173913043478,0.8076923076923077,13,5,21,10
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,4,0.5526755852842808,0.6461538461538461,0.5306122448979592,0.5,0.9130434782608695,0.19230769230769232,21,21,5,2
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,4,0.669732441471572,0.6363636363636365,0.673469387755102,0.6666666666666666,0.6086956521739131,0.7307692307692307,14,7,19,9
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,4,0.6914715719063546,0.6666666666666666,0.6938775510204082,0.6818181818181818,0.6521739130434783,0.7307692307692307,15,7,19,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,4,0.7107023411371236,0.6818181818181819,0.7142857142857143,0.7142857142857143,0.6521739130434783,0.7692307692307693,15,6,20,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,4,0.7541806020066888,0.7391304347826085,0.7551020408163265,0.7391304347826086,0.7391304347826086,0.7692307692307693,17,6,20,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,4,0.653010033444816,0.6382978723404256,0.6530612244897959,0.625,0.6521739130434783,0.6538461538461539,15,9,17,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,4,0.6889632107023411,0.6511627906976744,0.6938775510204082,0.7,0.6086956521739131,0.7692307692307693,14,6,20,9
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,5,0.5526755852842808,0.6461538461538461,0.5306122448979592,0.5,0.9130434782608695,0.19230769230769232,21,21,5,2
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,5,0.7107023411371236,0.6818181818181819,0.7142857142857143,0.7142857142857143,0.6521739130434783,0.7692307692307693,15,6,20,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,5,0.7107023411371236,0.6818181818181819,0.7142857142857143,0.7142857142857143,0.6521739130434783,0.7692307692307693,15,6,20,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,5,0.729933110367893,0.6976744186046512,0.7346938775510204,0.75,0.6521739130434783,0.8076923076923077,15,5,21,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,5,0.7132107023411371,0.6956521739130435,0.7142857142857143,0.6956521739130435,0.6956521739130435,0.7307692307692307,16,7,19,7
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,5,0.7516722408026756,0.7272727272727272,0.7551020408163265,0.7619047619047619,0.6956521739130435,0.8076923076923077,16,5,21,7
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,5,0.7107023411371236,0.6818181818181819,0.7142857142857143,0.7142857142857143,0.6521739130434783,0.7692307692307693,15,6,20,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,6,0.588628762541806,0.6557377049180327,0.5714285714285714,0.5263157894736842,0.8695652173913043,0.3076923076923077,20,18,8,3
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,6,0.6964882943143812,0.693877551020408,0.6938775510204082,0.6538461538461539,0.7391304347826086,0.6538461538461539,17,9,17,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,6,0.6722408026755853,0.6521739130434783,0.673469387755102,0.6521739130434783,0.6521739130434783,0.6923076923076923,15,8,18,8
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,6,0.7324414715719063,0.711111111111111,0.7346938775510204,0.7272727272727273,0.6956521739130435,0.7692307692307693,16,6,20,7
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,6,0.7734113712374582,0.7555555555555555,0.7755102040816326,0.7727272727272727,0.7391304347826086,0.8076923076923077,17,5,21,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,6,0.6964882943143812,0.693877551020408,0.6938775510204082,0.6538461538461539,0.7391304347826086,0.6538461538461539,17,9,17,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,6,0.6889632107023411,0.6511627906976744,0.6938775510204082,0.7,0.6086956521739131,0.7692307692307693,14,6,20,9
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,7,0.6655518394648829,0.7017543859649124,0.6530612244897959,0.5882352941176471,0.8695652173913043,0.46153846153846156,20,14,12,3
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,7,0.7734113712374582,0.7555555555555555,0.7755102040816326,0.7727272727272727,0.7391304347826086,0.8076923076923077,17,5,21,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,7,0.7541806020066888,0.7391304347826085,0.7551020408163265,0.7391304347826086,0.7391304347826086,0.7692307692307693,17,6,20,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,7,0.8143812709030099,0.8,0.8163265306122449,0.8181818181818182,0.782608695652174,0.8461538461538461,18,4,22,5
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,7,0.8168896321070235,0.8085106382978724,0.8163265306122449,0.7916666666666666,0.8260869565217391,0.8076923076923077,19,5,21,4
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,7,0.6964882943143812,0.693877551020408,0.6938775510204082,0.6538461538461539,0.7391304347826086,0.6538461538461539,17,9,17,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,7,0.7349498327759197,0.723404255319149,0.7346938775510204,0.7083333333333334,0.7391304347826086,0.7307692307692307,17,7,19,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,8,0.6438127090301003,0.6785714285714286,0.6326530612244898,0.5757575757575758,0.8260869565217391,0.46153846153846156,19,14,12,4
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,8,0.7951505016722409,0.782608695652174,0.7959183673469388,0.782608695652174,0.782608695652174,0.8076923076923077,18,5,21,5
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,8,0.7324414715719063,0.711111111111111,0.7346938775510204,0.7272727272727273,0.6956521739130435,0.7692307692307693,16,6,20,7
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,8,0.7734113712374582,0.7555555555555555,0.7755102040816326,0.7727272727272727,0.7391304347826086,0.8076923076923077,17,5,21,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,8,0.7541806020066888,0.7391304347826085,0.7551020408163265,0.7391304347826086,0.7391304347826086,0.7692307692307693,17,6,20,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,8,0.7132107023411371,0.6956521739130435,0.7142857142857143,0.6956521739130435,0.6956521739130435,0.7307692307692307,16,7,19,7
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,8,0.7516722408026756,0.7272727272727272,0.7551020408163265,0.7619047619047619,0.6956521739130435,0.8076923076923077,16,5,21,7
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,9,0.6387959866220736,0.6538461538461539,0.6326530612244898,0.5862068965517241,0.7391304347826086,0.5384615384615384,17,12,14,6
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,9,0.7709030100334447,0.7441860465116279,0.7755102040816326,0.8,0.6956521739130435,0.8461538461538461,16,4,22,7
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,9,0.7324414715719063,0.711111111111111,0.7346938775510204,0.7272727272727273,0.6956521739130435,0.7692307692307693,16,6,20,7
emu_audio_open_cleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,9,0.7709030100334447,0.7441860465116279,0.7755102040816326,0.8,0.6956521739130435,0.8461538461538461,16,4,22,7
