modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
demographic_gad,phq,10,etc,loo,regular_oversampling,NB,1,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,LR,1,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,SVC1,1,0.8382737576285962,0.8493150684931507,0.8382352941176471,0.8611111111111112,0.8378378378378378,0.8387096774193549,31,5,26,6
demographic_gad,phq,10,etc,loo,regular_oversampling,SVC2,1,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,XG,1,0.8761987794245859,0.8974358974358975,0.8823529411764706,0.8536585365853658,0.9459459459459459,0.8064516129032258,35,6,25,2
demographic_gad,phq,10,etc,loo,regular_oversampling,kNN3,1,0.8491717523975588,0.868421052631579,0.8529411764705882,0.8461538461538461,0.8918918918918919,0.8064516129032258,33,6,25,4
demographic_gad,phq,10,etc,loo,regular_oversampling,RF,1,0.8761987794245859,0.8974358974358975,0.8823529411764706,0.8536585365853658,0.9459459459459459,0.8064516129032258,35,6,25,2
demographic_gad,phq,10,etc,loo,regular_oversampling,NB,2,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,LR,2,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,SVC1,2,0.8382737576285962,0.8493150684931507,0.8382352941176471,0.8611111111111112,0.8378378378378378,0.8387096774193549,31,5,26,6
demographic_gad,phq,10,etc,loo,regular_oversampling,SVC2,2,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,XG,2,0.8491717523975588,0.868421052631579,0.8529411764705882,0.8461538461538461,0.8918918918918919,0.8064516129032258,33,6,25,4
demographic_gad,phq,10,etc,loo,regular_oversampling,kNN3,2,0.8356582388840452,0.8533333333333334,0.8382352941176471,0.8421052631578947,0.8648648648648649,0.8064516129032258,32,6,25,5
demographic_gad,phq,10,etc,loo,regular_oversampling,RF,2,0.8761987794245859,0.8974358974358975,0.8823529411764706,0.8536585365853658,0.9459459459459459,0.8064516129032258,35,6,25,2
demographic_gad,phq,10,etc,loo,regular_oversampling,NB,3,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,LR,3,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,SVC1,3,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,SVC2,3,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,XG,3,0.8491717523975588,0.868421052631579,0.8529411764705882,0.8461538461538461,0.8918918918918919,0.8064516129032258,33,6,25,4
demographic_gad,phq,10,etc,loo,regular_oversampling,kNN3,3,0.7842197035745424,0.7826086956521738,0.7794117647058824,0.84375,0.7297297297297297,0.8387096774193549,27,5,26,10
demographic_gad,phq,10,etc,loo,regular_oversampling,RF,3,0.8356582388840452,0.8533333333333334,0.8382352941176471,0.8421052631578947,0.8648648648648649,0.8064516129032258,32,6,25,5
demographic_gad,phq,10,etc,loo,regular_oversampling,NB,4,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,LR,4,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,SVC1,4,0.8408892763731475,0.8450704225352113,0.8382352941176471,0.8823529411764706,0.8108108108108109,0.8709677419354839,30,4,27,7
demographic_gad,phq,10,etc,loo,regular_oversampling,SVC2,4,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,XG,4,0.8626852659110723,0.8831168831168831,0.8676470588235294,0.85,0.918918918918919,0.8064516129032258,34,6,25,3
demographic_gad,phq,10,etc,loo,regular_oversampling,kNN3,4,0.8221447253705316,0.8378378378378378,0.8235294117647058,0.8378378378378378,0.8378378378378378,0.8064516129032258,31,6,25,6
demographic_gad,phq,10,etc,loo,regular_oversampling,RF,4,0.8761987794245859,0.8974358974358975,0.8823529411764706,0.8536585365853658,0.9459459459459459,0.8064516129032258,35,6,25,2
demographic_gad,phq,10,etc,loo,regular_oversampling,NB,5,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,LR,5,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,SVC1,5,0.8247602441150829,0.8333333333333334,0.8235294117647058,0.8571428571428571,0.8108108108108109,0.8387096774193549,30,5,26,7
demographic_gad,phq,10,etc,loo,regular_oversampling,SVC2,5,0.8544027898866609,0.8611111111111112,0.8529411764705882,0.8857142857142857,0.8378378378378378,0.8709677419354839,31,4,27,6
demographic_gad,phq,10,etc,loo,regular_oversampling,XG,5,0.8356582388840452,0.8533333333333334,0.8382352941176471,0.8421052631578947,0.8648648648648649,0.8064516129032258,32,6,25,5
demographic_gad,phq,10,etc,loo,regular_oversampling,kNN3,5,0.8356582388840452,0.8533333333333334,0.8382352941176471,0.8421052631578947,0.8648648648648649,0.8064516129032258,32,6,25,5
demographic_gad,phq,10,etc,loo,regular_oversampling,RF,5,0.8491717523975588,0.868421052631579,0.8529411764705882,0.8461538461538461,0.8918918918918919,0.8064516129032258,33,6,25,4
