modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,NB,1,0.322829131652661,0.2962962962962963,0.3090909090909091,0.24242424242424243,0.38095238095238093,0.2647058823529412,8,25,9,13
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,LR,1,0.28431372549019607,0.25925925925925924,0.2727272727272727,0.21212121212121213,0.3333333333333333,0.23529411764705882,7,26,8,14
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,SVC1,1,0.311624649859944,0.3333333333333333,0.2727272727272727,0.2564102564102564,0.47619047619047616,0.14705882352941177,10,29,5,11
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,SVC2,1,0.28431372549019607,0.25925925925925924,0.2727272727272727,0.21212121212121213,0.3333333333333333,0.23529411764705882,7,26,8,14
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,XG,1,0.5910364145658263,0.4878048780487805,0.6181818181818182,0.5,0.47619047619047616,0.7058823529411765,10,10,24,11
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,kNN3,1,0.4789915966386554,0.391304347826087,0.4909090909090909,0.36,0.42857142857142855,0.5294117647058824,9,16,18,12
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,RF,1,0.5763305322128852,0.47619047619047616,0.6,0.47619047619047616,0.47619047619047616,0.6764705882352942,10,11,23,11
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,NB,2,0.42577030812324934,0.3404255319148936,0.43636363636363634,0.3076923076923077,0.38095238095238093,0.47058823529411764,8,18,16,13
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,LR,2,0.4551820728291316,0.35555555555555557,0.4727272727272727,0.3333333333333333,0.38095238095238093,0.5294117647058824,8,16,18,13
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,SVC1,2,0.43487394957983194,0.3673469387755102,0.43636363636363634,0.32142857142857145,0.42857142857142855,0.4411764705882353,9,19,15,12
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,SVC2,2,0.40406162464985995,0.21052631578947367,0.45454545454545453,0.23529411764705882,0.19047619047619047,0.6176470588235294,4,13,21,17
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,XG,2,0.600140056022409,0.5116279069767442,0.6181818181818182,0.5,0.5238095238095238,0.6764705882352942,11,11,23,10
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,kNN3,2,0.5266106442577031,0.4583333333333333,0.5272727272727272,0.4074074074074074,0.5238095238095238,0.5294117647058824,11,16,18,10
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,RF,2,0.5763305322128852,0.47619047619047616,0.6,0.47619047619047616,0.47619047619047616,0.6764705882352942,10,11,23,11
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,NB,3,0.8256302521008404,0.782608695652174,0.8181818181818182,0.72,0.8571428571428571,0.7941176470588235,18,7,27,3
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,LR,3,0.7780112044817927,0.7272727272727272,0.7818181818181819,0.6956521739130435,0.7619047619047619,0.7941176470588235,16,7,27,5
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,SVC1,3,0.7156862745098038,0.6511627906976744,0.7272727272727273,0.6363636363636364,0.6666666666666666,0.7647058823529411,14,8,26,7
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,SVC2,3,0.7871148459383753,0.7391304347826089,0.7818181818181819,0.68,0.8095238095238095,0.7647058823529411,17,8,26,4
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,XG,3,0.7303921568627451,0.6666666666666666,0.7454545454545455,0.6666666666666666,0.6666666666666666,0.7941176470588235,14,7,27,7
demographic_phq_uncleaned_open_participants,gad,10,pca,loo,regular_oversampling,kNN3,3,0.7100840336134453,0.6521739130434783,0.7090909090909091,0.6,0.7142857142857143,0.7058823529411765,15,10,24,6
