modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,NB,1,0.5,0.0,0.6363636363636364,0.0,0.0,1.0,0,0,28,16
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,LR,1,0.5,0.0,0.6363636363636364,0.0,0.0,1.0,0,0,28,16
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,SVC1,1,0.5,0.0,0.6363636363636364,0.0,0.0,1.0,0,0,28,16
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,SVC2,1,0.5,0.0,0.6363636363636364,0.0,0.0,1.0,0,0,28,16
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,XG,1,0.5,0.0,0.6363636363636364,0.0,0.0,1.0,0,0,28,16
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,kNN3,1,0.4642857142857143,0.0,0.5909090909090909,0.0,0.0,0.9285714285714286,0,2,26,16
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,RF,1,0.5,0.0,0.6363636363636364,0.0,0.0,1.0,0,0,28,16
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,NB,2,0.5625,0.2222222222222222,0.6818181818181818,1.0,0.125,1.0,2,0,28,14
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,LR,2,0.5625,0.2222222222222222,0.6818181818181818,1.0,0.125,1.0,2,0,28,14
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,SVC1,2,0.5625,0.2222222222222222,0.6818181818181818,1.0,0.125,1.0,2,0,28,14
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,SVC2,2,0.5625,0.2222222222222222,0.6818181818181818,1.0,0.125,1.0,2,0,28,14
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,XG,2,0.5625,0.2222222222222222,0.6818181818181818,1.0,0.125,1.0,2,0,28,14
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,kNN3,2,0.5267857142857143,0.2,0.6363636363636364,0.5,0.125,0.9285714285714286,2,2,26,14
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,RF,2,0.5625,0.2222222222222222,0.6818181818181818,1.0,0.125,1.0,2,0,28,14
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,NB,3,0.5580357142857143,0.2857142857142857,0.6590909090909091,0.6,0.1875,0.9285714285714286,3,2,26,13
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,LR,3,0.5223214285714286,0.26086956521739124,0.6136363636363636,0.42857142857142855,0.1875,0.8571428571428571,3,4,24,13
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,SVC1,3,0.5580357142857143,0.2857142857142857,0.6590909090909091,0.6,0.1875,0.9285714285714286,3,2,26,13
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,SVC2,3,0.5580357142857143,0.2857142857142857,0.6590909090909091,0.6,0.1875,0.9285714285714286,3,2,26,13
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,XG,3,0.5267857142857143,0.2,0.6363636363636364,0.5,0.125,0.9285714285714286,2,2,26,14
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,kNN3,3,0.5223214285714286,0.26086956521739124,0.6136363636363636,0.42857142857142855,0.1875,0.8571428571428571,3,4,24,13
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,RF,3,0.5580357142857143,0.2857142857142857,0.6590909090909091,0.6,0.1875,0.9285714285714286,3,2,26,13
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,NB,4,0.5267857142857143,0.2,0.6363636363636364,0.5,0.125,0.9285714285714286,2,2,26,14
audio_transcript_gender,gad,10,chi2,loo,regular_oversampling,LR,4,0.5089285714285715,0.19047619047619047,0.6136363636363636,0.4,0.125,0.8928571428571429,2,3,25,14
