modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,NB,1,0.4482758620689655,0.0,0.5909090909090909,0.0,0.0,0.896551724137931,0,3,26,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,LR,1,0.4482758620689655,0.0,0.5909090909090909,0.0,0.0,0.896551724137931,0,3,26,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC1,1,0.5,0.0,0.6590909090909091,0.0,0.0,1.0,0,0,29,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC2,1,0.5,0.0,0.6590909090909091,0.0,0.0,1.0,0,0,29,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,XG,1,0.4827586206896552,0.0,0.6363636363636364,0.0,0.0,0.9655172413793104,0,1,28,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,kNN3,1,0.46551724137931033,0.0,0.6136363636363636,0.0,0.0,0.9310344827586207,0,2,27,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,RF,1,0.5,0.0,0.6590909090909091,0.0,0.0,1.0,0,0,29,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,NB,2,0.4827586206896552,0.0,0.6363636363636364,0.0,0.0,0.9655172413793104,0,1,28,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,LR,2,0.46551724137931033,0.0,0.6136363636363636,0.0,0.0,0.9310344827586207,0,2,27,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC1,2,0.5,0.0,0.6590909090909091,0.0,0.0,1.0,0,0,29,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC2,2,0.5,0.0,0.6590909090909091,0.0,0.0,1.0,0,0,29,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,XG,2,0.5,0.0,0.6590909090909091,0.0,0.0,1.0,0,0,29,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,kNN3,2,0.46551724137931033,0.0,0.6136363636363636,0.0,0.0,0.9310344827586207,0,2,27,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,RF,2,0.5,0.0,0.6590909090909091,0.0,0.0,1.0,0,0,29,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,NB,3,0.5149425287356322,0.2,0.6363636363636364,0.4,0.13333333333333333,0.896551724137931,2,3,26,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,LR,3,0.4632183908045977,0.1739130434782609,0.5681818181818182,0.25,0.13333333333333333,0.7931034482758621,2,6,23,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC1,3,0.5149425287356322,0.2,0.6363636363636364,0.4,0.13333333333333333,0.896551724137931,2,3,26,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC2,3,0.5321839080459769,0.2105263157894737,0.6590909090909091,0.5,0.13333333333333333,0.9310344827586207,2,2,27,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,XG,3,0.4482758620689655,0.0,0.5909090909090909,0.0,0.0,0.896551724137931,0,3,26,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,kNN3,3,0.4804597701149425,0.18181818181818182,0.5909090909090909,0.2857142857142857,0.13333333333333333,0.8275862068965517,2,5,24,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,RF,3,0.5149425287356322,0.2,0.6363636363636364,0.4,0.13333333333333333,0.896551724137931,2,3,26,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,NB,4,0.4977011494252873,0.19047619047619044,0.6136363636363636,0.3333333333333333,0.13333333333333333,0.8620689655172413,2,4,25,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,LR,4,0.4632183908045977,0.1739130434782609,0.5681818181818182,0.25,0.13333333333333333,0.7931034482758621,2,6,23,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC1,4,0.4977011494252873,0.19047619047619044,0.6136363636363636,0.3333333333333333,0.13333333333333333,0.8620689655172413,2,4,25,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC2,4,0.5321839080459769,0.2105263157894737,0.6590909090909091,0.5,0.13333333333333333,0.9310344827586207,2,2,27,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,XG,4,0.48160919540229885,0.10526315789473685,0.6136363636363636,0.25,0.06666666666666667,0.896551724137931,1,3,26,14
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,kNN3,4,0.4804597701149425,0.18181818181818182,0.5909090909090909,0.2857142857142857,0.13333333333333333,0.8275862068965517,2,5,24,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,RF,4,0.5149425287356322,0.2,0.6363636363636364,0.4,0.13333333333333333,0.896551724137931,2,3,26,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,NB,5,0.4804597701149425,0.18181818181818182,0.5909090909090909,0.2857142857142857,0.13333333333333333,0.8275862068965517,2,5,24,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,LR,5,0.3781609195402299,0.08,0.4772727272727273,0.1,0.06666666666666667,0.6896551724137931,1,9,20,14
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC1,5,0.4632183908045977,0.1739130434782609,0.5681818181818182,0.25,0.13333333333333333,0.7931034482758621,2,6,23,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC2,5,0.48160919540229885,0.10526315789473685,0.6136363636363636,0.25,0.06666666666666667,0.896551724137931,1,3,26,14
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,XG,5,0.43103448275862066,0.0,0.5681818181818182,0.0,0.0,0.8620689655172413,0,4,25,15
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,kNN3,5,0.4126436781609195,0.08695652173913045,0.5227272727272727,0.125,0.06666666666666667,0.7586206896551724,1,7,22,14
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,RF,5,0.4804597701149425,0.18181818181818182,0.5909090909090909,0.2857142857142857,0.13333333333333333,0.8275862068965517,2,5,24,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,NB,6,0.4804597701149425,0.18181818181818182,0.5909090909090909,0.2857142857142857,0.13333333333333333,0.8275862068965517,2,5,24,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,LR,6,0.4114942528735632,0.15384615384615383,0.5,0.18181818181818182,0.13333333333333333,0.6896551724137931,2,9,20,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC1,6,0.4632183908045977,0.1739130434782609,0.5681818181818182,0.25,0.13333333333333333,0.7931034482758621,2,6,23,13
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,SVC2,6,0.464367816091954,0.1,0.5909090909090909,0.2,0.06666666666666667,0.8620689655172413,1,4,25,14
audio_transcript_gender,q9,1,chi2,loo,regular_oversampling,XG,6,0.41379310344827586,0.0,0.5454545454545454,0.0,0.0,0.8275862068965517,0,5,24,15
