,0,1,2,3,4,5,6,7,8,9
help,0.29093169076305214,-0.05335386781076106,0.12490025848782894,0.039998831955351075,0.03515622321961697,0.019893938031144084,0.035753985298700025,-0.01871087599078069,0.047458016588438644,0.026548787616128954
office,-0.0014904808161341038,-0.022915905542957467,-0.02512233030102008,0.027822129263146807,-0.09538677844277035,0.013399436050265758,-0.1251278825944421,-0.13222855426724228,-0.0186059550260229,0.04380155172224071
dance,-0.03207789328354854,0.002417539042702473,-0.006449324978496607,0.1215144287362983,0.10266564220732008,0.1719560703155855,-0.00422811625097831,0.05739623319524737,0.10881554408426512,-0.03876194405064657
money,-0.02642692836303439,0.033986020742330446,-0.03870213708547927,0.1356631870668251,-0.054171531375603,-0.2224933877368897,0.21702320056216354,-0.0305601266694193,0.23543920281026892,0.0844486969108331
wedding,0.006055086230764815,0.03704350380190288,-0.07248481777611711,-0.0711430714738607,0.09213192830681587,0.06007413780025951,0.026082860663890664,-0.03182701167932841,0.016973188697334014,-0.15139781989954507
domestic_work,6.6338696434057375e-18,3.0336100476284395e-17,-3.699938418142058e-17,-1.0759003821760694e-17,1.609315912722269e-18,3.420678802125783e-17,1.7513240660428525e-17,2.061025257555809e-17,-7.289417767434214e-18,-3.2238149940201596e-17
sleep,2.089956301943582e-17,5.989354892768916e-17,-8.113068968844377e-17,4.351189058464959e-19,7.52243764680601e-18,-1.9769635863811544e-17,-4.2975124866619026e-18,1.6972886752615743e-17,-2.7672112567338474e-17,-5.971694033459486e-18
medical_emergency,-9.29987151720552e-18,-8.858738673442033e-17,-1.6344836785059222e-17,-2.017160722857757e-17,-3.71365213215753e-17,5.459446431242804e-17,3.572361324843359e-17,7.816114659641309e-17,-2.692690463674839e-17,-9.339730057352185e-18
cold,-0.015405735021478125,0.016905744544922097,-0.0020231762672476973,-0.0010491272720718947,-0.02974374267038105,-0.022038094769565884,-0.052038331092694595,0.05363170496409384,-0.011639687745236053,-0.11444940855248627
hate,-0.044678118503693375,0.1869955687315745,0.20198821985797671,-0.059826641359010266,0.035929041948264635,-0.03153284004330827,-0.006090810671393675,-0.09758094555096074,0.07933680498689846,0.08745814404165643
cheerfulness,0.01671798880232941,0.03695916812717866,-0.06543570642469794,-0.10034398349433463,0.07349125415718809,0.020692938419771063,0.02098837201855223,-0.02199710436637679,0.0167005436121313,-0.14221048121442215
aggression,-2.411214835924428e-18,-1.4792751975599518e-17,4.00779205732539e-18,7.008009457586853e-19,-1.9881748573698868e-17,1.527299064347037e-17,9.88975317319772e-18,1.0270398051898698e-17,1.433186675934698e-17,1.1200747600618913e-17
occupation,1.744470439010075e-17,-2.986012229492696e-17,-6.699568821435865e-17,1.8141987211406784e-17,2.1244891566528027e-17,-3.8759042255425805e-17,-2.3509228752439746e-17,-3.3979392202931615e-17,-3.831833922189225e-17,-1.7830861004943987e-17
envy,-6.976892847756221e-18,2.9943550706840403e-18,4.6276649876485314e-17,-3.9714936130189526e-17,-1.1112292318835702e-17,5.396873484024509e-20,6.792251732541728e-17,-1.3056148690652986e-17,3.981875133133841e-18,3.457633281891342e-17
anticipation,-2.1445728590048577e-19,-2.5719496326311804e-18,2.965840944990741e-17,8.042876738441429e-18,1.866495748353394e-17,-4.445222298017161e-17,-5.62749368215478e-18,-3.660131800076529e-17,2.1730113835062266e-17,5.5287666512111086e-17
family,-0.008557301602457114,-0.01205637788805817,-0.0878031923814004,-0.1004344329560839,-0.024274015716288996,0.06284083447712763,-0.04183132222653331,-0.03614336486788876,0.06491149395010505,0.06645955983381309
vacation,-0.05431197285165894,-0.04503969063162315,0.01892162199531331,0.11128164088345142,0.1150134017000623,0.1408981944029432,0.024238875204487986,0.048592627510100586,0.03192626979911631,0.03487990854566739
crime,-1.2569127330766918e-18,-4.8300905120394917e-17,-5.3055257971782224e-17,3.048801192660937e-17,1.9900268640010654e-17,-2.1838084683583026e-17,-4.7464042181637135e-18,4.5970490453814986e-17,6.0437575902628246e-18,-6.863237547376137e-17
attractive,-0.01634057460319995,0.04234222694401372,-0.11939145409073232,-0.05519932111159683,0.004437732534034818,0.0018312797290766106,-0.015632303377612393,0.13929778620228148,0.02244893440519566,0.21375074952959286
masculine,0.009674293277950722,0.04207002727561299,-0.12950626395259207,-0.03755879865123807,-0.02905236620666609,0.01697890548876303,0.15466556641267848,-0.008299494423705525,0.02489107987010387,0.18271414022069493
prison,-4.631533929900407e-18,1.9406782213044106e-17,1.2149504800107568e-17,-3.067984281447438e-17,9.399890891833084e-19,4.020660079716027e-17,2.298983420073536e-17,2.792244612260264e-17,2.446353573281431e-17,-4.32426484279086e-17
health,-4.4014058540029335e-18,-3.2926657103700345e-17,-1.068003230120796e-17,-3.5413123072958463e-19,2.9363444973975035e-17,4.047417447743985e-18,2.372709264377128e-20,3.889832243138424e-18,2.812144748849492e-17,5.061562908538075e-18
pride,1.428203452075262e-17,-5.0298869526966714e-18,-9.149693425199481e-18,-1.5650714431658705e-17,-2.6522039326564785e-17,-4.6867113638637794e-17,-3.4012125097298895e-18,-8.947717386823071e-18,-1.570285949600584e-17,5.092918341011661e-18
dispute,-0.04431328755022541,-0.1105097600742524,0.08678166421653175,-0.03979505034539166,0.11566692800198315,-0.04864277367756191,0.043484009972841346,-0.05419657188444581,0.02945052513745642,0.15267388149399935
nervousness,-0.02345746986963001,0.13725211737537749,0.1456465020616666,-0.04947773635327317,-0.1199534649361502,0.07647156779433836,-0.0041650708283565,0.09308966468866516,-0.0026775095738847,0.0024420241839195455
government,0.012194648867987306,-0.014341719880176912,-0.010208966778927178,0.06706530887497415,-0.07514646722147841,-0.028837954307779627,0.013238940255897818,-0.07526872360380282,0.17583776911953064,-0.011982046913428737
weakness,-3.939456055542086e-18,2.5887042322374038e-17,1.0782183429689338e-17,1.712017025370711e-17,-4.948446964069819e-18,2.7973040274772237e-17,4.2124003444081277e-17,7.451125316201071e-18,-1.7355852286397776e-18,5.1810300604172624e-18
horror,-6.253111684416657e-18,-1.7257324633094714e-18,2.0397825030890794e-17,-1.3205162370638486e-17,-4.191668432861393e-18,2.015778330997794e-17,1.2043319955737458e-17,-3.59371028671201e-18,1.838256818311691e-17,1.8039368105655903e-17
swearing_terms,-0.03196997626619651,0.08885604549844768,0.0877711645416965,-0.004269919301691227,0.13953904166253275,-0.14816917161926038,-0.0636732265697064,-0.12643138177277086,0.06785183163847779,0.04556880965047585
leisure,-0.029688801517536483,-0.04689540720032692,0.023872160128576653,0.01800648182316473,0.036206677210613165,0.008903747514045556,0.027484401023411497,0.004534956035002902,-0.051601153966482724,0.06463379484880058
suffering,-0.05811621787050585,0.15794153452018314,0.21735504337157477,-0.024502557598290675,0.06978441689024195,0.04425499682621149,-0.006132218206150682,-0.10098552620759083,0.15416830747228033,0.06235074793184441
royalty,5.346502889225319e-18,-6.778159874015028e-17,-6.040003638938066e-17,7.168056112572111e-17,8.397485840008216e-17,-3.6418016713930376e-17,-2.2193270073157188e-17,6.019133644134136e-18,2.3258959038802455e-18,-2.02455164126232e-17
wealthy,0.0036341702741987283,0.013339696969335046,-0.04053945323917545,0.0323808341579381,-0.04089393637931289,-0.0858810983790664,0.18492889158778766,0.02340886534419697,0.102371226984765,0.01611496187672384
tourism,-1.1701076404167597e-18,-2.4264548134241123e-17,-2.5099892456266064e-17,2.849544511365911e-17,2.8570724862031796e-17,-9.53675049978666e-18,-8.021952622528634e-18,2.8284752709969083e-18,-1.615713256193052e-18,-1.4990897405459858e-17
furniture,-2.178822609823447e-18,3.539605166718877e-18,6.03301668223954e-18,7.029650799565141e-18,2.5875938072167197e-18,1.7177986186045008e-17,4.136749413704816e-18,3.1852202650837554e-18,9.857282865774553e-18,2.9840209151604885e-18
