modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,gad,10,etc,loo,regular_oversampling,NB,1,0.5190476190476191,0.4117647058823529,0.5348837209302325,0.3684210526315789,0.4666666666666667,0.5714285714285714,7,12,16,8
audio_open,gad,10,etc,loo,regular_oversampling,LR,1,0.5214285714285714,0.38709677419354843,0.5581395348837209,0.375,0.4,0.6428571428571429,6,10,18,9
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,1,0.6011904761904762,0.5263157894736841,0.5813953488372093,0.43478260869565216,0.6666666666666666,0.5357142857142857,10,13,15,5
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,1,0.5928571428571427,0.4444444444444445,0.6511627906976745,0.5,0.4,0.7857142857142857,6,6,22,9
audio_open,gad,10,etc,loo,regular_oversampling,XG,1,0.5904761904761905,0.4666666666666667,0.627906976744186,0.4666666666666667,0.4666666666666667,0.7142857142857143,7,8,20,8
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,1,0.6523809523809524,0.5789473684210527,0.627906976744186,0.4782608695652174,0.7333333333333333,0.5714285714285714,11,12,16,4
audio_open,gad,10,etc,loo,regular_oversampling,RF,1,0.6261904761904763,0.5,0.6744186046511628,0.5384615384615384,0.4666666666666667,0.7857142857142857,7,6,22,8
audio_open,gad,10,etc,loo,regular_oversampling,NB,2,0.5523809523809523,0.4571428571428572,0.5581395348837209,0.4,0.5333333333333333,0.5714285714285714,8,12,16,7
audio_open,gad,10,etc,loo,regular_oversampling,LR,2,0.5547619047619048,0.43749999999999994,0.5813953488372093,0.4117647058823529,0.4666666666666667,0.6428571428571429,7,10,18,8
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,2,0.5726190476190477,0.45161290322580644,0.6046511627906976,0.4375,0.4666666666666667,0.6785714285714286,7,9,19,8
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,2,0.5035714285714286,0.37500000000000006,0.5348837209302325,0.35294117647058826,0.4,0.6071428571428571,6,11,17,9
audio_open,gad,10,etc,loo,regular_oversampling,XG,2,0.6261904761904763,0.5,0.6744186046511628,0.5384615384615384,0.4666666666666667,0.7857142857142857,7,6,22,8
