modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,phq,10,chi2,loo,regular_oversampling,NB,1,0.18,0.0,0.20930232558139536,0.0,0.0,0.36,0,16,9,18
audio_open,phq,10,chi2,loo,regular_oversampling,LR,1,0.2,0.0,0.23255813953488372,0.0,0.0,0.4,0,15,10,18
audio_open,phq,10,chi2,loo,regular_oversampling,SVC1,1,0.28777777777777774,0.06451612903225808,0.32558139534883723,0.07692307692307693,0.05555555555555555,0.52,1,12,13,17
audio_open,phq,10,chi2,loo,regular_oversampling,SVC2,1,0.21999999999999997,0.0,0.2558139534883721,0.0,0.0,0.44,0,14,11,18
audio_open,phq,10,chi2,loo,regular_oversampling,XG,1,0.4144444444444444,0.358974358974359,0.4186046511627907,0.3333333333333333,0.3888888888888889,0.44,7,14,11,11
audio_open,phq,10,chi2,loo,regular_oversampling,kNN3,1,0.35444444444444445,0.3333333333333333,0.3488372093023256,0.2916666666666667,0.3888888888888889,0.32,7,17,8,11
audio_open,phq,10,chi2,loo,regular_oversampling,RF,1,0.44666666666666666,0.34285714285714286,0.46511627906976744,0.35294117647058826,0.3333333333333333,0.56,6,11,14,12
audio_open,phq,10,chi2,loo,regular_oversampling,NB,2,0.3077777777777778,0.06666666666666667,0.3488372093023256,0.08333333333333333,0.05555555555555555,0.56,1,11,14,17
audio_open,phq,10,chi2,loo,regular_oversampling,LR,2,0.03999999999999998,0.0,0.046511627906976744,0.0,0.0,0.08,0,23,2,18
audio_open,phq,10,chi2,loo,regular_oversampling,SVC1,2,0.11555555555555555,0.09523809523809525,0.11627906976744186,0.08333333333333333,0.1111111111111111,0.12,2,22,3,16
audio_open,phq,10,chi2,loo,regular_oversampling,SVC2,2,0.08777777777777779,0.04878048780487805,0.09302325581395349,0.043478260869565216,0.05555555555555555,0.12,1,22,3,17
audio_open,phq,10,chi2,loo,regular_oversampling,XG,2,0.39888888888888885,0.28571428571428575,0.4186046511627907,0.29411764705882354,0.2777777777777778,0.52,5,12,13,13
audio_open,phq,10,chi2,loo,regular_oversampling,kNN3,2,0.2511111111111111,0.19999999999999998,0.2558139534883721,0.18181818181818182,0.2222222222222222,0.28,4,18,7,14
audio_open,phq,10,chi2,loo,regular_oversampling,RF,2,0.2911111111111111,0.2105263157894737,0.3023255813953488,0.2,0.2222222222222222,0.36,4,16,9,14
audio_open,phq,10,chi2,loo,regular_oversampling,NB,3,0.13555555555555557,0.0975609756097561,0.13953488372093023,0.08695652173913043,0.1111111111111111,0.16,2,21,4,16
audio_open,phq,10,chi2,loo,regular_oversampling,LR,3,0.13555555555555557,0.0975609756097561,0.13953488372093023,0.08695652173913043,0.1111111111111111,0.16,2,21,4,16
audio_open,phq,10,chi2,loo,regular_oversampling,SVC1,3,0.11555555555555555,0.09523809523809525,0.11627906976744186,0.08333333333333333,0.1111111111111111,0.12,2,22,3,16
audio_open,phq,10,chi2,loo,regular_oversampling,SVC2,3,0.15555555555555553,0.09999999999999999,0.16279069767441862,0.09090909090909091,0.1111111111111111,0.2,2,20,5,16
audio_open,phq,10,chi2,loo,regular_oversampling,XG,3,0.23555555555555557,0.1111111111111111,0.2558139534883721,0.1111111111111111,0.1111111111111111,0.36,2,16,9,16
audio_open,phq,10,chi2,loo,regular_oversampling,kNN3,3,0.2711111111111111,0.20512820512820512,0.27906976744186046,0.19047619047619047,0.2222222222222222,0.32,4,17,8,14
audio_open,phq,10,chi2,loo,regular_oversampling,RF,3,0.22333333333333336,0.15384615384615383,0.23255813953488372,0.14285714285714285,0.16666666666666666,0.28,3,18,7,15
audio_open,phq,10,chi2,loo,regular_oversampling,NB,4,0.17555555555555555,0.10256410256410256,0.18604651162790697,0.09523809523809523,0.1111111111111111,0.24,2,19,6,16
audio_open,phq,10,chi2,loo,regular_oversampling,LR,4,0.16777777777777778,0.05405405405405406,0.18604651162790697,0.05263157894736842,0.05555555555555555,0.28,1,18,7,17
audio_open,phq,10,chi2,loo,regular_oversampling,SVC1,4,0.08777777777777779,0.04878048780487805,0.09302325581395349,0.043478260869565216,0.05555555555555555,0.12,1,22,3,17
audio_open,phq,10,chi2,loo,regular_oversampling,SVC2,4,0.17555555555555555,0.10256410256410256,0.18604651162790697,0.09523809523809523,0.1111111111111111,0.24,2,19,6,16
audio_open,phq,10,chi2,loo,regular_oversampling,XG,4,0.2633333333333333,0.16216216216216214,0.27906976744186046,0.15789473684210525,0.16666666666666666,0.36,3,16,9,15
audio_open,phq,10,chi2,loo,regular_oversampling,kNN3,4,0.2633333333333333,0.16216216216216214,0.27906976744186046,0.15789473684210525,0.16666666666666666,0.36,3,16,9,15
audio_open,phq,10,chi2,loo,regular_oversampling,RF,4,0.2555555555555556,0.11428571428571428,0.27906976744186046,0.11764705882352941,0.1111111111111111,0.4,2,15,10,16
audio_open,phq,10,chi2,loo,regular_oversampling,NB,5,0.2633333333333333,0.16216216216216214,0.27906976744186046,0.15789473684210525,0.16666666666666666,0.36,3,16,9,15
audio_open,phq,10,chi2,loo,regular_oversampling,LR,5,0.18777777777777777,0.05555555555555555,0.20930232558139536,0.05555555555555555,0.05555555555555555,0.32,1,17,8,17
audio_open,phq,10,chi2,loo,regular_oversampling,SVC1,5,0.16777777777777778,0.05405405405405406,0.18604651162790697,0.05263157894736842,0.05555555555555555,0.28,1,18,7,17
audio_open,phq,10,chi2,loo,regular_oversampling,SVC2,5,0.20333333333333334,0.15,0.20930232558139536,0.13636363636363635,0.16666666666666666,0.24,3,19,6,15
audio_open,phq,10,chi2,loo,regular_oversampling,XG,5,0.2555555555555556,0.11428571428571428,0.27906976744186046,0.11764705882352941,0.1111111111111111,0.4,2,15,10,16
audio_open,phq,10,chi2,loo,regular_oversampling,kNN3,5,0.3555555555555555,0.13333333333333333,0.3953488372093023,0.16666666666666666,0.1111111111111111,0.6,2,10,15,16
audio_open,phq,10,chi2,loo,regular_oversampling,RF,5,0.27555555555555555,0.11764705882352941,0.3023255813953488,0.125,0.1111111111111111,0.44,2,14,11,16
audio_open,phq,10,chi2,loo,regular_oversampling,NB,6,0.2833333333333334,0.16666666666666666,0.3023255813953488,0.16666666666666666,0.16666666666666666,0.4,3,15,10,15
