modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,phq,10,pca,loo,regular_oversampling,NB,1,0.49111111111111116,0.2857142857142857,0.5348837209302325,0.4,0.2222222222222222,0.76,4,6,19,14
audio_open,phq,10,pca,loo,regular_oversampling,LR,1,0.45000000000000007,0.42857142857142855,0.4418604651162791,0.375,0.5,0.4,9,15,10,9
audio_open,phq,10,pca,loo,regular_oversampling,SVC1,1,0.4988888888888889,0.33333333333333337,0.5348837209302325,0.4166666666666667,0.2777777777777778,0.72,5,7,18,13
audio_open,phq,10,pca,loo,regular_oversampling,SVC2,1,0.5222222222222221,0.4444444444444444,0.5348837209302325,0.4444444444444444,0.4444444444444444,0.6,8,10,15,10
audio_open,phq,10,pca,loo,regular_oversampling,XG,1,0.59,0.5142857142857143,0.6046511627906976,0.5294117647058824,0.5,0.68,9,8,17,9
audio_open,phq,10,pca,loo,regular_oversampling,kNN3,1,0.51,0.4615384615384615,0.5116279069767442,0.42857142857142855,0.5,0.52,9,12,13,9
audio_open,phq,10,pca,loo,regular_oversampling,RF,1,0.6100000000000001,0.5294117647058824,0.627906976744186,0.5625,0.5,0.72,9,7,18,9
audio_open,phq,10,pca,loo,regular_oversampling,NB,2,0.5188888888888888,0.3448275862068966,0.5581395348837209,0.45454545454545453,0.2777777777777778,0.76,5,6,19,13
audio_open,phq,10,pca,loo,regular_oversampling,LR,2,0.3466666666666667,0.3,0.3488372093023256,0.2727272727272727,0.3333333333333333,0.36,6,16,9,12
audio_open,phq,10,pca,loo,regular_oversampling,SVC1,2,0.5188888888888888,0.3448275862068966,0.5581395348837209,0.45454545454545453,0.2777777777777778,0.76,5,6,19,13
audio_open,phq,10,pca,loo,regular_oversampling,SVC2,2,0.3788888888888889,0.2777777777777778,0.3953488372093023,0.2777777777777778,0.2777777777777778,0.48,5,13,12,13
audio_open,phq,10,pca,loo,regular_oversampling,XG,2,0.4666666666666666,0.35294117647058826,0.4883720930232558,0.375,0.3333333333333333,0.6,6,10,15,12
audio_open,phq,10,pca,loo,regular_oversampling,kNN3,2,0.6455555555555554,0.5945945945945946,0.6511627906976745,0.5789473684210527,0.6111111111111112,0.68,11,8,17,7
audio_open,phq,10,pca,loo,regular_oversampling,RF,2,0.5499999999999999,0.4864864864864865,0.5581395348837209,0.47368421052631576,0.5,0.6,9,10,15,9
audio_open,phq,10,pca,loo,regular_oversampling,NB,3,0.5222222222222221,0.4444444444444444,0.5348837209302325,0.4444444444444444,0.4444444444444444,0.6,8,10,15,10
audio_open,phq,10,pca,loo,regular_oversampling,LR,3,0.47444444444444445,0.3888888888888889,0.4883720930232558,0.3888888888888889,0.3888888888888889,0.56,7,11,14,11
audio_open,phq,10,pca,loo,regular_oversampling,SVC1,3,0.6333333333333333,0.6,0.627906976744186,0.5454545454545454,0.6666666666666666,0.6,12,10,15,6
audio_open,phq,10,pca,loo,regular_oversampling,SVC2,3,0.53,0.4736842105263158,0.5348837209302325,0.45,0.5,0.56,9,11,14,9
audio_open,phq,10,pca,loo,regular_oversampling,XG,3,0.4388888888888889,0.303030303030303,0.46511627906976744,0.3333333333333333,0.2777777777777778,0.6,5,10,15,13
audio_open,phq,10,pca,loo,regular_oversampling,kNN3,3,0.59,0.5142857142857143,0.6046511627906976,0.5294117647058824,0.5,0.68,9,8,17,9
audio_open,phq,10,pca,loo,regular_oversampling,RF,3,0.48666666666666664,0.3636363636363636,0.5116279069767442,0.4,0.3333333333333333,0.64,6,9,16,12
audio_open,phq,10,pca,loo,regular_oversampling,NB,4,0.53,0.4736842105263158,0.5348837209302325,0.45,0.5,0.56,9,11,14,9
audio_open,phq,10,pca,loo,regular_oversampling,LR,4,0.5144444444444444,0.411764705882353,0.5348837209302325,0.4375,0.3888888888888889,0.64,7,9,16,11
audio_open,phq,10,pca,loo,regular_oversampling,SVC1,4,0.5255555555555556,0.5116279069767442,0.5116279069767442,0.44,0.6111111111111112,0.44,11,14,11,7
audio_open,phq,10,pca,loo,regular_oversampling,SVC2,4,0.44666666666666666,0.34285714285714286,0.46511627906976744,0.35294117647058826,0.3333333333333333,0.56,6,11,14,12
audio_open,phq,10,pca,loo,regular_oversampling,XG,4,0.39111111111111113,0.2424242424242424,0.4186046511627907,0.26666666666666666,0.2222222222222222,0.56,4,11,14,14
audio_open,phq,10,pca,loo,regular_oversampling,kNN3,4,0.53,0.4736842105263158,0.5348837209302325,0.45,0.5,0.56,9,11,14,9
audio_open,phq,10,pca,loo,regular_oversampling,RF,4,0.39888888888888885,0.28571428571428575,0.4186046511627907,0.29411764705882354,0.2777777777777778,0.52,5,12,13,13
