modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,q9,1,pca,loo,regular_oversampling,NB,1,0.5751231527093597,0.4,0.6511627906976745,0.45454545454545453,0.35714285714285715,0.7931034482758621,5,6,23,9
audio_open,q9,1,pca,loo,regular_oversampling,LR,1,0.560344827586207,0.43750000000000006,0.5813953488372093,0.3888888888888889,0.5,0.6206896551724138,7,11,18,7
audio_open,q9,1,pca,loo,regular_oversampling,SVC1,1,0.6096059113300493,0.43478260869565216,0.6976744186046512,0.5555555555555556,0.35714285714285715,0.8620689655172413,5,4,25,9
audio_open,q9,1,pca,loo,regular_oversampling,SVC2,1,0.5763546798029557,0.42857142857142855,0.627906976744186,0.42857142857142855,0.42857142857142855,0.7241379310344828,6,8,21,8
audio_open,q9,1,pca,loo,regular_oversampling,XG,1,0.6293103448275861,0.5,0.6744186046511628,0.5,0.5,0.7586206896551724,7,7,22,7
audio_open,q9,1,pca,loo,regular_oversampling,kNN3,1,0.6293103448275861,0.5,0.6744186046511628,0.5,0.5,0.7586206896551724,7,7,22,7
audio_open,q9,1,pca,loo,regular_oversampling,RF,1,0.6108374384236454,0.4615384615384615,0.6744186046511628,0.5,0.42857142857142855,0.7931034482758621,6,6,23,8
audio_open,q9,1,pca,loo,regular_oversampling,NB,2,0.7339901477832512,0.64,0.7906976744186046,0.7272727272727273,0.5714285714285714,0.896551724137931,8,3,26,6
audio_open,q9,1,pca,loo,regular_oversampling,LR,2,0.5948275862068966,0.4666666666666667,0.627906976744186,0.4375,0.5,0.6896551724137931,7,9,20,7
audio_open,q9,1,pca,loo,regular_oversampling,SVC1,2,0.6982758620689655,0.5833333333333334,0.7674418604651163,0.7,0.5,0.896551724137931,7,3,26,7
audio_open,q9,1,pca,loo,regular_oversampling,SVC2,2,0.6293103448275861,0.5,0.6744186046511628,0.5,0.5,0.7586206896551724,7,7,22,7
audio_open,q9,1,pca,loo,regular_oversampling,XG,2,0.6982758620689655,0.5833333333333334,0.7674418604651163,0.7,0.5,0.896551724137931,7,3,26,7
audio_open,q9,1,pca,loo,regular_oversampling,kNN3,2,0.6280788177339902,0.4799999999999999,0.6976744186046512,0.5454545454545454,0.42857142857142855,0.8275862068965517,6,5,24,8
audio_open,q9,1,pca,loo,regular_oversampling,RF,2,0.6096059113300493,0.43478260869565216,0.6976744186046512,0.5555555555555556,0.35714285714285715,0.8620689655172413,5,4,25,9
audio_open,q9,1,pca,loo,regular_oversampling,NB,3,0.6650246305418719,0.5517241379310344,0.6976744186046512,0.5333333333333333,0.5714285714285714,0.7586206896551724,8,7,22,6
audio_open,q9,1,pca,loo,regular_oversampling,LR,3,0.6120689655172414,0.4827586206896552,0.6511627906976745,0.4666666666666667,0.5,0.7241379310344828,7,8,21,7
audio_open,q9,1,pca,loo,regular_oversampling,SVC1,3,0.6477832512315271,0.5333333333333333,0.6744186046511628,0.5,0.5714285714285714,0.7241379310344828,8,8,21,6
audio_open,q9,1,pca,loo,regular_oversampling,SVC2,3,0.5960591133004927,0.48484848484848486,0.6046511627906976,0.42105263157894735,0.5714285714285714,0.6206896551724138,8,11,18,6
audio_open,q9,1,pca,loo,regular_oversampling,XG,3,0.645320197044335,0.5,0.7209302325581395,0.6,0.42857142857142855,0.8620689655172413,6,4,25,8
audio_open,q9,1,pca,loo,regular_oversampling,kNN3,3,0.5591133004926109,0.4137931034482759,0.6046511627906976,0.4,0.42857142857142855,0.6896551724137931,6,9,20,8
audio_open,q9,1,pca,loo,regular_oversampling,RF,3,0.5738916256157635,0.36363636363636365,0.6744186046511628,0.5,0.2857142857142857,0.8620689655172413,4,4,25,10
audio_open,q9,1,pca,loo,regular_oversampling,NB,4,0.7007389162561576,0.6000000000000001,0.7209302325581395,0.5625,0.6428571428571429,0.7586206896551724,9,7,22,5
audio_open,q9,1,pca,loo,regular_oversampling,LR,4,0.6133004926108374,0.5,0.627906976744186,0.4444444444444444,0.5714285714285714,0.6551724137931034,8,10,19,6
audio_open,q9,1,pca,loo,regular_oversampling,SVC1,4,0.7536945812807883,0.6666666666666666,0.7674418604651163,0.625,0.7142857142857143,0.7931034482758621,10,6,23,4
audio_open,q9,1,pca,loo,regular_oversampling,SVC2,4,0.6133004926108374,0.5,0.627906976744186,0.4444444444444444,0.5714285714285714,0.6551724137931034,8,10,19,6
audio_open,q9,1,pca,loo,regular_oversampling,XG,4,0.6280788177339902,0.4799999999999999,0.6976744186046512,0.5454545454545454,0.42857142857142855,0.8275862068965517,6,5,24,8
audio_open,q9,1,pca,loo,regular_oversampling,kNN3,4,0.666256157635468,0.5625000000000001,0.6744186046511628,0.5,0.6428571428571429,0.6896551724137931,9,9,20,5
audio_open,q9,1,pca,loo,regular_oversampling,RF,4,0.6625615763546798,0.5217391304347826,0.7441860465116279,0.6666666666666666,0.42857142857142855,0.896551724137931,6,3,26,8
audio_open,q9,1,pca,loo,regular_oversampling,NB,5,0.5751231527093597,0.4,0.6511627906976745,0.45454545454545453,0.35714285714285715,0.7931034482758621,5,6,23,9
audio_open,q9,1,pca,loo,regular_oversampling,LR,5,0.6305418719211823,0.5161290322580646,0.6511627906976745,0.47058823529411764,0.5714285714285714,0.6896551724137931,8,9,20,6
audio_open,q9,1,pca,loo,regular_oversampling,SVC1,5,0.6995073891625616,0.5925925925925927,0.7441860465116279,0.6153846153846154,0.5714285714285714,0.8275862068965517,8,5,24,6
audio_open,q9,1,pca,loo,regular_oversampling,SVC2,5,0.6145320197044335,0.5142857142857143,0.6046511627906976,0.42857142857142855,0.6428571428571429,0.5862068965517241,9,12,17,5
audio_open,q9,1,pca,loo,regular_oversampling,XG,5,0.6810344827586207,0.56,0.7441860465116279,0.6363636363636364,0.5,0.8620689655172413,7,4,25,7
audio_open,q9,1,pca,loo,regular_oversampling,kNN3,5,0.54064039408867,0.3703703703703704,0.6046511627906976,0.38461538461538464,0.35714285714285715,0.7241379310344828,5,8,21,9
audio_open,q9,1,pca,loo,regular_oversampling,RF,5,0.6096059113300493,0.43478260869565216,0.6976744186046512,0.5555555555555556,0.35714285714285715,0.8620689655172413,5,4,25,9
audio_open,q9,1,pca,loo,regular_oversampling,NB,6,0.4864532019704433,0.25,0.5813953488372093,0.3,0.21428571428571427,0.7586206896551724,3,7,22,11
audio_open,q9,1,pca,loo,regular_oversampling,LR,6,0.5948275862068966,0.4666666666666667,0.627906976744186,0.4375,0.5,0.6896551724137931,7,9,20,7
audio_open,q9,1,pca,loo,regular_oversampling,SVC1,6,0.6650246305418719,0.5517241379310344,0.6976744186046512,0.5333333333333333,0.5714285714285714,0.7586206896551724,8,7,22,6
audio_open,q9,1,pca,loo,regular_oversampling,SVC2,6,0.5061576354679803,0.3448275862068965,0.5581395348837209,0.3333333333333333,0.35714285714285715,0.6551724137931034,5,10,19,9
audio_open,q9,1,pca,loo,regular_oversampling,XG,6,0.6280788177339902,0.4799999999999999,0.6976744186046512,0.5454545454545454,0.42857142857142855,0.8275862068965517,6,5,24,8
audio_open,q9,1,pca,loo,regular_oversampling,kNN3,6,0.6637931034482759,0.5384615384615384,0.7209302325581395,0.5833333333333334,0.5,0.8275862068965517,7,5,24,7
audio_open,q9,1,pca,loo,regular_oversampling,RF,6,0.6625615763546798,0.5217391304347826,0.7441860465116279,0.6666666666666666,0.42857142857142855,0.896551724137931,6,3,26,8
audio_open,q9,1,pca,loo,regular_oversampling,NB,7,0.5578817733990148,0.3846153846153846,0.627906976744186,0.4166666666666667,0.35714285714285715,0.7586206896551724,5,7,22,9
audio_open,q9,1,pca,loo,regular_oversampling,LR,7,0.560344827586207,0.43750000000000006,0.5813953488372093,0.3888888888888889,0.5,0.6206896551724138,7,11,18,7
audio_open,q9,1,pca,loo,regular_oversampling,SVC1,7,0.6293103448275861,0.5,0.6744186046511628,0.5,0.5,0.7586206896551724,7,7,22,7
audio_open,q9,1,pca,loo,regular_oversampling,SVC2,7,0.5615763546798029,0.4571428571428571,0.5581395348837209,0.38095238095238093,0.5714285714285714,0.5517241379310345,8,13,16,6
audio_open,q9,1,pca,loo,regular_oversampling,XG,7,0.5394088669950738,0.3333333333333333,0.627906976744186,0.4,0.2857142857142857,0.7931034482758621,4,6,23,10
audio_open,q9,1,pca,loo,regular_oversampling,kNN3,7,0.5935960591133005,0.4444444444444445,0.6511627906976745,0.46153846153846156,0.42857142857142855,0.7586206896551724,6,7,22,8
audio_open,q9,1,pca,loo,regular_oversampling,RF,7,0.5738916256157635,0.36363636363636365,0.6744186046511628,0.5,0.2857142857142857,0.8620689655172413,4,4,25,10
audio_open,q9,1,pca,loo,regular_oversampling,NB,8,0.4864532019704433,0.25,0.5813953488372093,0.3,0.21428571428571427,0.7586206896551724,3,7,22,11
audio_open,q9,1,pca,loo,regular_oversampling,LR,8,0.5948275862068966,0.4666666666666667,0.627906976744186,0.4375,0.5,0.6896551724137931,7,9,20,7
audio_open,q9,1,pca,loo,regular_oversampling,SVC1,8,0.645320197044335,0.5,0.7209302325581395,0.6,0.42857142857142855,0.8620689655172413,6,4,25,8
audio_open,q9,1,pca,loo,regular_oversampling,SVC2,8,0.49014778325123154,0.36363636363636365,0.5116279069767442,0.3157894736842105,0.42857142857142855,0.5517241379310345,6,13,16,8
audio_open,q9,1,pca,loo,regular_oversampling,XG,8,0.5209359605911329,0.2727272727272727,0.627906976744186,0.375,0.21428571428571427,0.8275862068965517,3,5,24,11
audio_open,q9,1,pca,loo,regular_oversampling,kNN3,8,0.5751231527093597,0.4,0.6511627906976745,0.45454545454545453,0.35714285714285715,0.7931034482758621,5,6,23,9
audio_open,q9,1,pca,loo,regular_oversampling,RF,8,0.5726600985221675,0.3157894736842105,0.6976744186046512,0.6,0.21428571428571427,0.9310344827586207,3,2,27,11
audio_open,q9,1,pca,loo,regular_oversampling,NB,9,0.4150246305418719,0.09090909090909091,0.5348837209302325,0.125,0.07142857142857142,0.7586206896551724,1,7,22,13
audio_open,q9,1,pca,loo,regular_oversampling,LR,9,0.5233990147783252,0.35714285714285715,0.5813953488372093,0.35714285714285715,0.35714285714285715,0.6896551724137931,5,9,20,9
audio_open,q9,1,pca,loo,regular_oversampling,SVC1,9,0.5935960591133005,0.4444444444444445,0.6511627906976745,0.46153846153846156,0.42857142857142855,0.7586206896551724,6,7,22,8
audio_open,q9,1,pca,loo,regular_oversampling,SVC2,9,0.560344827586207,0.43750000000000006,0.5813953488372093,0.3888888888888889,0.5,0.6206896551724138,7,11,18,7
audio_open,q9,1,pca,loo,regular_oversampling,XG,9,0.5566502463054186,0.34782608695652173,0.6511627906976745,0.4444444444444444,0.2857142857142857,0.8275862068965517,4,5,24,10
audio_open,q9,1,pca,loo,regular_oversampling,kNN3,9,0.6810344827586207,0.56,0.7441860465116279,0.6363636363636364,0.5,0.8620689655172413,7,4,25,7
audio_open,q9,1,pca,loo,regular_oversampling,RF,9,0.5554187192118226,0.3,0.6744186046511628,0.5,0.21428571428571427,0.896551724137931,3,3,26,11
audio_open,q9,1,pca,loo,regular_oversampling,NB,10,0.46798029556650245,0.18181818181818182,0.5813953488372093,0.25,0.14285714285714285,0.7931034482758621,2,6,23,12
audio_open,q9,1,pca,loo,regular_oversampling,LR,10,0.5233990147783252,0.35714285714285715,0.5813953488372093,0.35714285714285715,0.35714285714285715,0.6896551724137931,5,9,20,9
audio_open,q9,1,pca,loo,regular_oversampling,SVC1,10,0.6810344827586207,0.56,0.7441860465116279,0.6363636363636364,0.5,0.8620689655172413,7,4,25,7
audio_open,q9,1,pca,loo,regular_oversampling,SVC2,10,0.48768472906403937,0.29629629629629634,0.5581395348837209,0.3076923076923077,0.2857142857142857,0.6896551724137931,4,9,20,10
audio_open,q9,1,pca,loo,regular_oversampling,XG,10,0.5751231527093597,0.4,0.6511627906976745,0.45454545454545453,0.35714285714285715,0.7931034482758621,5,6,23,9
audio_open,q9,1,pca,loo,regular_oversampling,kNN3,10,0.7179802955665024,0.6206896551724138,0.7441860465116279,0.6,0.6428571428571429,0.7931034482758621,9,6,23,5
audio_open,q9,1,pca,loo,regular_oversampling,RF,10,0.5554187192118226,0.3,0.6744186046511628,0.5,0.21428571428571427,0.896551724137931,3,3,26,11
