modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,gad,10,etc,loo,regular_oversampling,NB,1,0.39285714285714285,0.24242424242424243,0.4318181818181818,0.23529411764705882,0.25,0.5357142857142857,4,13,15,12
audio_open,gad,10,etc,loo,regular_oversampling,LR,1,0.39285714285714285,0.24242424242424243,0.4318181818181818,0.23529411764705882,0.25,0.5357142857142857,4,13,15,12
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,1,0.42410714285714285,0.29411764705882354,0.45454545454545453,0.2777777777777778,0.3125,0.5357142857142857,5,13,15,11
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,1,0.41071428571428564,0.25,0.45454545454545453,0.25,0.25,0.5714285714285714,4,12,16,12
audio_open,gad,10,etc,loo,regular_oversampling,XG,1,0.5089285714285714,0.375,0.5454545454545454,0.375,0.375,0.6428571428571429,6,10,18,10
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,1,0.5044642857142857,0.39999999999999997,0.5227272727272727,0.3684210526315789,0.4375,0.5714285714285714,7,12,16,9
audio_open,gad,10,etc,loo,regular_oversampling,RF,1,0.5446428571428572,0.39999999999999997,0.5909090909090909,0.42857142857142855,0.375,0.7142857142857143,6,8,20,10
audio_open,gad,10,etc,loo,regular_oversampling,NB,2,0.46875,0.37837837837837834,0.4772727272727273,0.3333333333333333,0.4375,0.5,7,14,14,9
audio_open,gad,10,etc,loo,regular_oversampling,LR,2,0.45089285714285715,0.3684210526315789,0.45454545454545453,0.3181818181818182,0.4375,0.4642857142857143,7,15,13,9
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,2,0.4553571428571428,0.34285714285714286,0.4772727272727273,0.3157894736842105,0.375,0.5357142857142857,6,13,15,10
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,2,0.48660714285714285,0.38888888888888884,0.5,0.35,0.4375,0.5357142857142857,7,13,15,9
audio_open,gad,10,etc,loo,regular_oversampling,XG,2,0.5535714285714286,0.45714285714285713,0.5681818181818182,0.42105263157894735,0.5,0.6071428571428571,8,11,17,8
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,2,0.4910714285714286,0.3636363636363636,0.5227272727272727,0.35294117647058826,0.375,0.6071428571428571,6,11,17,10
audio_open,gad,10,etc,loo,regular_oversampling,RF,2,0.5401785714285714,0.42424242424242425,0.5681818181818182,0.4117647058823529,0.4375,0.6428571428571429,7,10,18,9
audio_open,gad,10,etc,loo,regular_oversampling,NB,3,0.4910714285714286,0.3636363636363636,0.5227272727272727,0.35294117647058826,0.375,0.6071428571428571,6,11,17,10
audio_open,gad,10,etc,loo,regular_oversampling,LR,3,0.4553571428571428,0.34285714285714286,0.4772727272727273,0.3157894736842105,0.375,0.5357142857142857,6,13,15,10
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,3,0.4910714285714286,0.3636363636363636,0.5227272727272727,0.35294117647058826,0.375,0.6071428571428571,6,11,17,10
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,3,0.4732142857142857,0.35294117647058826,0.5,0.3333333333333333,0.375,0.5714285714285714,6,12,16,10
audio_open,gad,10,etc,loo,regular_oversampling,XG,3,0.5892857142857143,0.48484848484848486,0.6136363636363636,0.47058823529411764,0.5,0.6785714285714286,8,9,19,8
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,3,0.4955357142857143,0.43902439024390244,0.4772727272727273,0.36,0.5625,0.42857142857142855,9,16,12,7
audio_open,gad,10,etc,loo,regular_oversampling,RF,3,0.5267857142857143,0.38709677419354843,0.5681818181818182,0.4,0.375,0.6785714285714286,6,9,19,10
audio_open,gad,10,etc,loo,regular_oversampling,NB,4,0.48660714285714285,0.38888888888888884,0.5,0.35,0.4375,0.5357142857142857,7,13,15,9
audio_open,gad,10,etc,loo,regular_oversampling,LR,4,0.5178571428571429,0.4324324324324324,0.5227272727272727,0.38095238095238093,0.5,0.5357142857142857,8,13,15,8
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,4,0.4732142857142857,0.35294117647058826,0.5,0.3333333333333333,0.375,0.5714285714285714,6,12,16,10
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,4,0.46875,0.37837837837837834,0.4772727272727273,0.3333333333333333,0.4375,0.5,7,14,14,9
audio_open,gad,10,etc,loo,regular_oversampling,XG,4,0.5267857142857143,0.38709677419354843,0.5681818181818182,0.4,0.375,0.6785714285714286,6,9,19,10
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,4,0.5446428571428571,0.48780487804878053,0.5227272727272727,0.4,0.625,0.4642857142857143,10,15,13,6
audio_open,gad,10,etc,loo,regular_oversampling,RF,4,0.5133928571428571,0.3448275862068966,0.5681818181818182,0.38461538461538464,0.3125,0.7142857142857143,5,8,20,11
audio_open,gad,10,etc,loo,regular_oversampling,NB,5,0.4419642857142857,0.30303030303030304,0.4772727272727273,0.29411764705882354,0.3125,0.5714285714285714,5,12,16,11
audio_open,gad,10,etc,loo,regular_oversampling,LR,5,0.5044642857142857,0.39999999999999997,0.5227272727272727,0.3684210526315789,0.4375,0.5714285714285714,7,12,16,9
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,5,0.4598214285714286,0.3125,0.5,0.3125,0.3125,0.6071428571428571,5,11,17,11
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,5,0.5044642857142857,0.39999999999999997,0.5227272727272727,0.3684210526315789,0.4375,0.5714285714285714,7,12,16,9
audio_open,gad,10,etc,loo,regular_oversampling,XG,5,0.5401785714285714,0.42424242424242425,0.5681818181818182,0.4117647058823529,0.4375,0.6428571428571429,7,10,18,9
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,5,0.36607142857142855,0.3,0.36363636363636365,0.25,0.375,0.35714285714285715,6,18,10,10
audio_open,gad,10,etc,loo,regular_oversampling,RF,5,0.5133928571428571,0.3448275862068966,0.5681818181818182,0.38461538461538464,0.3125,0.7142857142857143,5,8,20,11
audio_open,gad,10,etc,loo,regular_oversampling,NB,6,0.4419642857142857,0.30303030303030304,0.4772727272727273,0.29411764705882354,0.3125,0.5714285714285714,5,12,16,11
audio_open,gad,10,etc,loo,regular_oversampling,LR,6,0.4375,0.33333333333333326,0.45454545454545453,0.3,0.375,0.5,6,14,14,10
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,6,0.39285714285714285,0.24242424242424243,0.4318181818181818,0.23529411764705882,0.25,0.5357142857142857,4,13,15,12
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,6,0.5223214285714286,0.411764705882353,0.5454545454545454,0.3888888888888889,0.4375,0.6071428571428571,7,11,17,9
audio_open,gad,10,etc,loo,regular_oversampling,XG,6,0.4776785714285714,0.3225806451612903,0.5227272727272727,0.3333333333333333,0.3125,0.6428571428571429,5,10,18,11
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,6,0.4642857142857143,0.4,0.45454545454545453,0.3333333333333333,0.5,0.42857142857142855,8,16,12,8
audio_open,gad,10,etc,loo,regular_oversampling,RF,6,0.5446428571428572,0.39999999999999997,0.5909090909090909,0.42857142857142855,0.375,0.7142857142857143,6,8,20,10
audio_open,gad,10,etc,loo,regular_oversampling,NB,7,0.4464285714285714,0.26666666666666666,0.5,0.2857142857142857,0.25,0.6428571428571429,4,10,18,12
audio_open,gad,10,etc,loo,regular_oversampling,LR,7,0.5178571428571429,0.4324324324324324,0.5227272727272727,0.38095238095238093,0.5,0.5357142857142857,8,13,15,8
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,7,0.4598214285714286,0.3125,0.5,0.3125,0.3125,0.6071428571428571,5,11,17,11
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,7,0.4910714285714286,0.3636363636363636,0.5227272727272727,0.35294117647058826,0.375,0.6071428571428571,6,11,17,10
audio_open,gad,10,etc,loo,regular_oversampling,XG,7,0.4732142857142857,0.35294117647058826,0.5,0.3333333333333333,0.375,0.5714285714285714,6,12,16,10
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,7,0.4419642857142857,0.30303030303030304,0.4772727272727273,0.29411764705882354,0.3125,0.5714285714285714,5,12,16,11
audio_open,gad,10,etc,loo,regular_oversampling,RF,7,0.4776785714285714,0.3225806451612903,0.5227272727272727,0.3333333333333333,0.3125,0.6428571428571429,5,10,18,11
audio_open,gad,10,etc,loo,regular_oversampling,NB,8,0.4955357142857143,0.3333333333333333,0.5454545454545454,0.35714285714285715,0.3125,0.6785714285714286,5,9,19,11
audio_open,gad,10,etc,loo,regular_oversampling,LR,8,0.5044642857142857,0.39999999999999997,0.5227272727272727,0.3684210526315789,0.4375,0.5714285714285714,7,12,16,9
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,8,0.3794642857142857,0.19354838709677422,0.4318181818181818,0.2,0.1875,0.5714285714285714,3,12,16,13
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,8,0.4732142857142857,0.35294117647058826,0.5,0.3333333333333333,0.375,0.5714285714285714,6,12,16,10
audio_open,gad,10,etc,loo,regular_oversampling,XG,8,0.5580357142857143,0.4375,0.5909090909090909,0.4375,0.4375,0.6785714285714286,7,9,19,9
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,8,0.5223214285714286,0.411764705882353,0.5454545454545454,0.3888888888888889,0.4375,0.6071428571428571,7,11,17,9
audio_open,gad,10,etc,loo,regular_oversampling,RF,8,0.53125,0.35714285714285715,0.5909090909090909,0.4166666666666667,0.3125,0.75,5,7,21,11
audio_open,gad,10,etc,loo,regular_oversampling,NB,9,0.5178571428571428,0.3076923076923077,0.5909090909090909,0.4,0.25,0.7857142857142857,4,6,22,12
audio_open,gad,10,etc,loo,regular_oversampling,LR,9,0.4732142857142857,0.35294117647058826,0.5,0.3333333333333333,0.375,0.5714285714285714,6,12,16,10
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,9,0.5089285714285714,0.375,0.5454545454545454,0.375,0.375,0.6428571428571429,6,10,18,10
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,9,0.5223214285714286,0.411764705882353,0.5454545454545454,0.3888888888888889,0.4375,0.6071428571428571,7,11,17,9
audio_open,gad,10,etc,loo,regular_oversampling,XG,9,0.5580357142857143,0.4375,0.5909090909090909,0.4375,0.4375,0.6785714285714286,7,9,19,9
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,9,0.5178571428571429,0.4324324324324324,0.5227272727272727,0.38095238095238093,0.5,0.5357142857142857,8,13,15,8
audio_open,gad,10,etc,loo,regular_oversampling,RF,9,0.5669642857142857,0.38461538461538464,0.6363636363636364,0.5,0.3125,0.8214285714285714,5,5,23,11
audio_open,gad,10,etc,loo,regular_oversampling,NB,10,0.5491071428571429,0.3703703703703703,0.6136363636363636,0.45454545454545453,0.3125,0.7857142857142857,5,6,22,11
audio_open,gad,10,etc,loo,regular_oversampling,LR,10,0.4732142857142857,0.35294117647058826,0.5,0.3333333333333333,0.375,0.5714285714285714,6,12,16,10
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,10,0.39285714285714285,0.24242424242424243,0.4318181818181818,0.23529411764705882,0.25,0.5357142857142857,4,13,15,12
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,10,0.42410714285714285,0.29411764705882354,0.45454545454545453,0.2777777777777778,0.3125,0.5357142857142857,5,13,15,11
audio_open,gad,10,etc,loo,regular_oversampling,XG,10,0.5892857142857143,0.48484848484848486,0.6136363636363636,0.47058823529411764,0.5,0.6785714285714286,8,9,19,8
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,10,0.48660714285714285,0.38888888888888884,0.5,0.35,0.4375,0.5357142857142857,7,13,15,9
audio_open,gad,10,etc,loo,regular_oversampling,RF,10,0.5669642857142857,0.38461538461538464,0.6363636363636364,0.5,0.3125,0.8214285714285714,5,5,23,11
