modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,gad,10,chi2,loo,regular_oversampling,NB,1,0.6026785714285714,0.5652173913043479,0.5454545454545454,0.43333333333333335,0.8125,0.39285714285714285,13,17,11,3
audio_open,gad,10,chi2,loo,regular_oversampling,LR,1,0.5758928571428572,0.5238095238095238,0.5454545454545454,0.4230769230769231,0.6875,0.4642857142857143,11,15,13,5
audio_open,gad,10,chi2,loo,regular_oversampling,SVC1,1,0.5223214285714286,0.4888888888888889,0.4772727272727273,0.3793103448275862,0.6875,0.35714285714285715,11,18,10,5
audio_open,gad,10,chi2,loo,regular_oversampling,SVC2,1,0.6026785714285714,0.5652173913043479,0.5454545454545454,0.43333333333333335,0.8125,0.39285714285714285,13,17,11,3
audio_open,gad,10,chi2,loo,regular_oversampling,XG,1,0.6026785714285714,0.5142857142857142,0.6136363636363636,0.47368421052631576,0.5625,0.6428571428571429,9,10,18,7
audio_open,gad,10,chi2,loo,regular_oversampling,kNN3,1,0.4642857142857143,0.4,0.45454545454545453,0.3333333333333333,0.5,0.42857142857142855,8,16,12,8
audio_open,gad,10,chi2,loo,regular_oversampling,RF,1,0.5401785714285714,0.42424242424242425,0.5681818181818182,0.4117647058823529,0.4375,0.6428571428571429,7,10,18,9
audio_open,gad,10,chi2,loo,regular_oversampling,NB,2,0.6160714285714286,0.5405405405405405,0.6136363636363636,0.47619047619047616,0.625,0.6071428571428571,10,11,17,6
audio_open,gad,10,chi2,loo,regular_oversampling,LR,2,0.5803571428571429,0.5128205128205128,0.5681818181818182,0.43478260869565216,0.625,0.5357142857142857,10,13,15,6
audio_open,gad,10,chi2,loo,regular_oversampling,SVC1,2,0.6294642857142857,0.5641025641025642,0.6136363636363636,0.4782608695652174,0.6875,0.5714285714285714,11,12,16,5
audio_open,gad,10,chi2,loo,regular_oversampling,SVC2,2,0.5580357142857143,0.5116279069767441,0.5227272727272727,0.4074074074074074,0.6875,0.42857142857142855,11,16,12,5
audio_open,gad,10,chi2,loo,regular_oversampling,XG,2,0.6071428571428571,0.5,0.6363636363636364,0.5,0.5,0.7142857142857143,8,8,20,8
audio_open,gad,10,chi2,loo,regular_oversampling,kNN3,2,0.5535714285714286,0.45714285714285713,0.5681818181818182,0.42105263157894735,0.5,0.6071428571428571,8,11,17,8
audio_open,gad,10,chi2,loo,regular_oversampling,RF,2,0.5892857142857143,0.48484848484848486,0.6136363636363636,0.47058823529411764,0.5,0.6785714285714286,8,9,19,8
audio_open,gad,10,chi2,loo,regular_oversampling,NB,3,0.4375,0.33333333333333326,0.45454545454545453,0.3,0.375,0.5,6,14,14,10
audio_open,gad,10,chi2,loo,regular_oversampling,LR,3,0.4955357142857143,0.43902439024390244,0.4772727272727273,0.36,0.5625,0.42857142857142855,9,16,12,7
audio_open,gad,10,chi2,loo,regular_oversampling,SVC1,3,0.59375,0.5365853658536586,0.5681818181818182,0.44,0.6875,0.5,11,14,14,5
audio_open,gad,10,chi2,loo,regular_oversampling,SVC2,3,0.4642857142857143,0.4,0.45454545454545453,0.3333333333333333,0.5,0.42857142857142855,8,16,12,8
audio_open,gad,10,chi2,loo,regular_oversampling,XG,3,0.5133928571428571,0.3448275862068966,0.5681818181818182,0.38461538461538464,0.3125,0.7142857142857143,5,8,20,11
audio_open,gad,10,chi2,loo,regular_oversampling,kNN3,3,0.6607142857142857,0.6,0.6363636363636364,0.5,0.75,0.5714285714285714,12,12,16,4
audio_open,gad,10,chi2,loo,regular_oversampling,RF,3,0.53125,0.35714285714285715,0.5909090909090909,0.4166666666666667,0.3125,0.75,5,7,21,11
audio_open,gad,10,chi2,loo,regular_oversampling,NB,4,0.32142857142857145,0.2162162162162162,0.3409090909090909,0.19047619047619047,0.25,0.39285714285714285,4,17,11,12
audio_open,gad,10,chi2,loo,regular_oversampling,LR,4,0.32142857142857145,0.2162162162162162,0.3409090909090909,0.19047619047619047,0.25,0.39285714285714285,4,17,11,12
audio_open,gad,10,chi2,loo,regular_oversampling,SVC1,4,0.35714285714285715,0.22857142857142856,0.38636363636363635,0.21052631578947367,0.25,0.4642857142857143,4,15,13,12
audio_open,gad,10,chi2,loo,regular_oversampling,SVC2,4,0.32142857142857145,0.2162162162162162,0.3409090909090909,0.19047619047619047,0.25,0.39285714285714285,4,17,11,12
