modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,phq,10,etc,loo,regular_oversampling,NB,1,0.5227743271221532,0.5116279069767442,0.5227272727272727,0.5,0.5238095238095238,0.5217391304347826,11,11,12,10
audio_open,phq,10,etc,loo,regular_oversampling,LR,1,0.5227743271221532,0.5116279069767442,0.5227272727272727,0.5,0.5238095238095238,0.5217391304347826,11,11,12,10
audio_open,phq,10,etc,loo,regular_oversampling,SVC1,1,0.5227743271221532,0.5116279069767442,0.5227272727272727,0.5,0.5238095238095238,0.5217391304347826,11,11,12,10
audio_open,phq,10,etc,loo,regular_oversampling,SVC2,1,0.5227743271221532,0.5116279069767442,0.5227272727272727,0.5,0.5238095238095238,0.5217391304347826,11,11,12,10
audio_open,phq,10,etc,loo,regular_oversampling,XG,1,0.5186335403726708,0.4615384615384615,0.5227272727272727,0.5,0.42857142857142855,0.6086956521739131,9,9,14,12
audio_open,phq,10,etc,loo,regular_oversampling,kNN3,1,0.6356107660455487,0.6190476190476191,0.6363636363636364,0.6190476190476191,0.6190476190476191,0.6521739130434783,13,8,15,8
audio_open,phq,10,etc,loo,regular_oversampling,RF,1,0.5227743271221532,0.5116279069767442,0.5227272727272727,0.5,0.5238095238095238,0.5217391304347826,11,11,12,10
audio_open,phq,10,etc,loo,regular_oversampling,NB,2,0.5424430641821947,0.5,0.5454545454545454,0.5263157894736842,0.47619047619047616,0.6086956521739131,10,9,14,11
audio_open,phq,10,etc,loo,regular_oversampling,LR,2,0.5010351966873706,0.5,0.5,0.4782608695652174,0.5238095238095238,0.4782608695652174,11,12,11,10
audio_open,phq,10,etc,loo,regular_oversampling,SVC1,2,0.4772256728778468,0.46511627906976744,0.4772727272727273,0.45454545454545453,0.47619047619047616,0.4782608695652174,10,12,11,11
audio_open,phq,10,etc,loo,regular_oversampling,SVC2,2,0.5703933747412009,0.5777777777777778,0.5681818181818182,0.5416666666666666,0.6190476190476191,0.5217391304347826,13,11,12,8
audio_open,phq,10,etc,loo,regular_oversampling,XG,2,0.5641821946169773,0.5128205128205129,0.5681818181818182,0.5555555555555556,0.47619047619047616,0.6521739130434783,10,8,15,11
audio_open,phq,10,etc,loo,regular_oversampling,kNN3,2,0.5683229813664596,0.5581395348837208,0.5681818181818182,0.5454545454545454,0.5714285714285714,0.5652173913043478,12,10,13,9
audio_open,phq,10,etc,loo,regular_oversampling,RF,2,0.5641821946169773,0.5128205128205129,0.5681818181818182,0.5555555555555556,0.47619047619047616,0.6521739130434783,10,8,15,11
audio_open,phq,10,etc,loo,regular_oversampling,NB,3,0.5207039337474121,0.4878048780487805,0.5227272727272727,0.5,0.47619047619047616,0.5652173913043478,10,10,13,11
audio_open,phq,10,etc,loo,regular_oversampling,LR,3,0.6356107660455487,0.6190476190476191,0.6363636363636364,0.6190476190476191,0.6190476190476191,0.6521739130434783,13,8,15,8
audio_open,phq,10,etc,loo,regular_oversampling,SVC1,3,0.587991718426501,0.5500000000000002,0.5909090909090909,0.5789473684210527,0.5238095238095238,0.6521739130434783,11,8,15,10
audio_open,phq,10,etc,loo,regular_oversampling,SVC2,3,0.5921325051759835,0.5909090909090909,0.5909090909090909,0.5652173913043478,0.6190476190476191,0.5652173913043478,13,10,13,8
audio_open,phq,10,etc,loo,regular_oversampling,XG,3,0.5424430641821947,0.5,0.5454545454545454,0.5263157894736842,0.47619047619047616,0.6086956521739131,10,9,14,11
audio_open,phq,10,etc,loo,regular_oversampling,kNN3,3,0.546583850931677,0.5454545454545454,0.5454545454545454,0.5217391304347826,0.5714285714285714,0.5217391304347826,12,11,12,9
audio_open,phq,10,etc,loo,regular_oversampling,RF,3,0.5424430641821947,0.5,0.5454545454545454,0.5263157894736842,0.47619047619047616,0.6086956521739131,10,9,14,11
audio_open,phq,10,etc,loo,regular_oversampling,NB,4,0.5445134575569358,0.5238095238095238,0.5454545454545454,0.5238095238095238,0.5238095238095238,0.5652173913043478,11,10,13,10
audio_open,phq,10,etc,loo,regular_oversampling,LR,4,0.681159420289855,0.6666666666666666,0.6818181818181818,0.6666666666666666,0.6666666666666666,0.6956521739130435,14,7,16,7
audio_open,phq,10,etc,loo,regular_oversampling,SVC1,4,0.6118012422360248,0.5853658536585366,0.6136363636363636,0.6,0.5714285714285714,0.6521739130434783,12,8,15,9
audio_open,phq,10,etc,loo,regular_oversampling,SVC2,4,0.6356107660455487,0.6190476190476191,0.6363636363636364,0.6190476190476191,0.6190476190476191,0.6521739130434783,13,8,15,8
audio_open,phq,10,etc,loo,regular_oversampling,XG,4,0.6376811594202899,0.6363636363636365,0.6363636363636364,0.6086956521739131,0.6666666666666666,0.6086956521739131,14,9,14,7
audio_open,phq,10,etc,loo,regular_oversampling,kNN3,4,0.546583850931677,0.5454545454545454,0.5454545454545454,0.5217391304347826,0.5714285714285714,0.5217391304347826,12,11,12,9
audio_open,phq,10,etc,loo,regular_oversampling,RF,4,0.5662525879917184,0.5365853658536585,0.5681818181818182,0.55,0.5238095238095238,0.6086956521739131,11,9,14,10
audio_open,phq,10,etc,loo,regular_oversampling,NB,5,0.5445134575569358,0.5238095238095238,0.5454545454545454,0.5238095238095238,0.5238095238095238,0.5652173913043478,11,10,13,10
audio_open,phq,10,etc,loo,regular_oversampling,LR,5,0.5662525879917184,0.5365853658536585,0.5681818181818182,0.55,0.5238095238095238,0.6086956521739131,11,9,14,10
audio_open,phq,10,etc,loo,regular_oversampling,SVC1,5,0.5445134575569358,0.5238095238095238,0.5454545454545454,0.5238095238095238,0.5238095238095238,0.5652173913043478,11,10,13,10
audio_open,phq,10,etc,loo,regular_oversampling,SVC2,5,0.5424430641821947,0.5,0.5454545454545454,0.5263157894736842,0.47619047619047616,0.6086956521739131,10,9,14,11
audio_open,phq,10,etc,loo,regular_oversampling,XG,5,0.5641821946169773,0.5128205128205129,0.5681818181818182,0.5555555555555556,0.47619047619047616,0.6521739130434783,10,8,15,11
audio_open,phq,10,etc,loo,regular_oversampling,kNN3,5,0.572463768115942,0.5957446808510638,0.5681818181818182,0.5384615384615384,0.6666666666666666,0.4782608695652174,14,12,11,7
audio_open,phq,10,etc,loo,regular_oversampling,RF,5,0.5424430641821947,0.5,0.5454545454545454,0.5263157894736842,0.47619047619047616,0.6086956521739131,10,9,14,11
audio_open,phq,10,etc,loo,regular_oversampling,NB,6,0.5227743271221532,0.5116279069767442,0.5227272727272727,0.5,0.5238095238095238,0.5217391304347826,11,11,12,10
audio_open,phq,10,etc,loo,regular_oversampling,LR,6,0.5662525879917184,0.5365853658536585,0.5681818181818182,0.55,0.5238095238095238,0.6086956521739131,11,9,14,10
audio_open,phq,10,etc,loo,regular_oversampling,SVC1,6,0.5227743271221532,0.5116279069767442,0.5227272727272727,0.5,0.5238095238095238,0.5217391304347826,11,11,12,10
audio_open,phq,10,etc,loo,regular_oversampling,SVC2,6,0.5683229813664596,0.5581395348837208,0.5681818181818182,0.5454545454545454,0.5714285714285714,0.5652173913043478,12,10,13,9
audio_open,phq,10,etc,loo,regular_oversampling,XG,6,0.587991718426501,0.5500000000000002,0.5909090909090909,0.5789473684210527,0.5238095238095238,0.6521739130434783,11,8,15,10
audio_open,phq,10,etc,loo,regular_oversampling,kNN3,6,0.5010351966873706,0.5,0.5,0.4782608695652174,0.5238095238095238,0.4782608695652174,11,12,11,10
audio_open,phq,10,etc,loo,regular_oversampling,RF,6,0.5227743271221532,0.5116279069767442,0.5227272727272727,0.5,0.5238095238095238,0.5217391304347826,11,11,12,10
audio_open,phq,10,etc,loo,regular_oversampling,NB,7,0.5010351966873706,0.5,0.5,0.4782608695652174,0.5238095238095238,0.4782608695652174,11,12,11,10
audio_open,phq,10,etc,loo,regular_oversampling,LR,7,0.5900621118012422,0.5714285714285714,0.5909090909090909,0.5714285714285714,0.5714285714285714,0.6086956521739131,12,9,14,9
audio_open,phq,10,etc,loo,regular_oversampling,SVC1,7,0.5227743271221532,0.5116279069767442,0.5227272727272727,0.5,0.5238095238095238,0.5217391304347826,11,11,12,10
audio_open,phq,10,etc,loo,regular_oversampling,SVC2,7,0.5662525879917184,0.5365853658536585,0.5681818181818182,0.55,0.5238095238095238,0.6086956521739131,11,9,14,10
audio_open,phq,10,etc,loo,regular_oversampling,XG,7,0.5227743271221532,0.5116279069767442,0.5227272727272727,0.5,0.5238095238095238,0.5217391304347826,11,11,12,10
audio_open,phq,10,etc,loo,regular_oversampling,kNN3,7,0.5486542443064182,0.5652173913043478,0.5454545454545454,0.52,0.6190476190476191,0.4782608695652174,13,12,11,8
