modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,q9,1,chi2,loo,regular_oversampling,NB,1,0.5632183908045977,0.3846153846153846,0.6363636363636364,0.45454545454545453,0.3333333333333333,0.7931034482758621,5,6,23,10
audio_open,q9,1,chi2,loo,regular_oversampling,LR,1,0.5954022988505747,0.4666666666666667,0.6363636363636364,0.4666666666666667,0.4666666666666667,0.7241379310344828,7,8,21,8
audio_open,q9,1,chi2,loo,regular_oversampling,SVC1,1,0.6137931034482758,0.4615384615384615,0.6818181818181818,0.5454545454545454,0.4,0.8275862068965517,6,5,24,9
audio_open,q9,1,chi2,loo,regular_oversampling,SVC2,1,0.5804597701149425,0.4,0.6590909090909091,0.5,0.3333333333333333,0.8275862068965517,5,5,24,10
audio_open,q9,1,chi2,loo,regular_oversampling,XG,1,0.5609195402298851,0.43749999999999994,0.5909090909090909,0.4117647058823529,0.4666666666666667,0.6551724137931034,7,10,19,8
audio_open,q9,1,chi2,loo,regular_oversampling,kNN3,1,0.49195402298850577,0.3888888888888889,0.5,0.3333333333333333,0.4666666666666667,0.5172413793103449,7,14,15,8
audio_open,q9,1,chi2,loo,regular_oversampling,RF,1,0.5448275862068965,0.4000000000000001,0.5909090909090909,0.4,0.4,0.6896551724137931,6,9,20,9
audio_open,q9,1,chi2,loo,regular_oversampling,NB,2,0.5609195402298851,0.43749999999999994,0.5909090909090909,0.4117647058823529,0.4666666666666667,0.6551724137931034,7,10,19,8
audio_open,q9,1,chi2,loo,regular_oversampling,LR,2,0.6103448275862069,0.5142857142857143,0.6136363636363636,0.45,0.6,0.6206896551724138,9,11,18,6
audio_open,q9,1,chi2,loo,regular_oversampling,SVC1,2,0.5436781609195402,0.42424242424242425,0.5681818181818182,0.3888888888888889,0.4666666666666667,0.6206896551724138,7,11,18,8
audio_open,q9,1,chi2,loo,regular_oversampling,SVC2,2,0.6448275862068966,0.5454545454545454,0.6590909090909091,0.5,0.6,0.6896551724137931,9,9,20,6
audio_open,q9,1,chi2,loo,regular_oversampling,XG,2,0.49425287356321834,0.3333333333333333,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.6551724137931034,5,10,19,10
audio_open,q9,1,chi2,loo,regular_oversampling,kNN3,2,0.5413793103448276,0.4615384615384615,0.5227272727272727,0.375,0.6,0.4827586206896552,9,15,14,6
audio_open,q9,1,chi2,loo,regular_oversampling,RF,2,0.47586206896551725,0.35294117647058826,0.5,0.3157894736842105,0.4,0.5517241379310345,6,13,16,9
audio_open,q9,1,chi2,loo,regular_oversampling,NB,3,0.5264367816091955,0.4117647058823529,0.5454545454545454,0.3684210526315789,0.4666666666666667,0.5862068965517241,7,12,17,8
audio_open,q9,1,chi2,loo,regular_oversampling,LR,3,0.6103448275862069,0.5142857142857143,0.6136363636363636,0.45,0.6,0.6206896551724138,9,11,18,6
audio_open,q9,1,chi2,loo,regular_oversampling,SVC1,3,0.5609195402298851,0.43749999999999994,0.5909090909090909,0.4117647058823529,0.4666666666666667,0.6551724137931034,7,10,19,8
audio_open,q9,1,chi2,loo,regular_oversampling,SVC2,3,0.6103448275862069,0.5142857142857143,0.6136363636363636,0.45,0.6,0.6206896551724138,9,11,18,6
audio_open,q9,1,chi2,loo,regular_oversampling,XG,3,0.5103448275862069,0.37500000000000006,0.5454545454545454,0.35294117647058826,0.4,0.6206896551724138,6,11,18,9
audio_open,q9,1,chi2,loo,regular_oversampling,kNN3,3,0.5241379310344828,0.45,0.5,0.36,0.6,0.4482758620689655,9,16,13,6
audio_open,q9,1,chi2,loo,regular_oversampling,RF,3,0.4931034482758621,0.3636363636363636,0.5227272727272727,0.3333333333333333,0.4,0.5862068965517241,6,12,17,9
audio_open,q9,1,chi2,loo,regular_oversampling,NB,4,0.3919540229885057,0.2424242424242424,0.4318181818181818,0.2222222222222222,0.26666666666666666,0.5172413793103449,4,14,15,11
