modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,gad,10,pca,loo,regular_oversampling,NB,1,0.5238095238095237,0.3571428571428571,0.5813953488372093,0.38461538461538464,0.3333333333333333,0.7142857142857143,5,8,20,10
audio_open,gad,10,pca,loo,regular_oversampling,LR,1,0.5547619047619048,0.43749999999999994,0.5813953488372093,0.4117647058823529,0.4666666666666667,0.6428571428571429,7,10,18,8
audio_open,gad,10,pca,loo,regular_oversampling,SVC1,1,0.55,0.47368421052631576,0.5348837209302325,0.391304347826087,0.6,0.5,9,14,14,6
audio_open,gad,10,pca,loo,regular_oversampling,SVC2,1,0.575,0.42857142857142855,0.627906976744186,0.46153846153846156,0.4,0.75,6,7,21,9
audio_open,gad,10,pca,loo,regular_oversampling,XG,1,0.4214285714285714,0.21428571428571427,0.4883720930232558,0.23076923076923078,0.2,0.6428571428571429,3,10,18,12
audio_open,gad,10,pca,loo,regular_oversampling,kNN3,1,0.48571428571428565,0.3636363636363636,0.5116279069767442,0.3333333333333333,0.4,0.5714285714285714,6,12,16,9
audio_open,gad,10,pca,loo,regular_oversampling,RF,1,0.4392857142857143,0.22222222222222224,0.5116279069767442,0.25,0.2,0.6785714285714286,3,9,19,12
audio_open,gad,10,pca,loo,regular_oversampling,NB,2,0.4928571428571428,0.25,0.5813953488372093,0.3333333333333333,0.2,0.7857142857142857,3,6,22,12
audio_open,gad,10,pca,loo,regular_oversampling,LR,2,0.536904761904762,0.42424242424242425,0.5581395348837209,0.3888888888888889,0.4666666666666667,0.6071428571428571,7,11,17,8
audio_open,gad,10,pca,loo,regular_oversampling,SVC1,2,0.41666666666666663,0.29411764705882354,0.4418604651162791,0.2631578947368421,0.3333333333333333,0.5,5,14,14,10
audio_open,gad,10,pca,loo,regular_oversampling,SVC2,2,0.5059523809523809,0.3448275862068965,0.5581395348837209,0.35714285714285715,0.3333333333333333,0.6785714285714286,5,9,19,10
audio_open,gad,10,pca,loo,regular_oversampling,XG,2,0.3678571428571428,0.19354838709677422,0.4186046511627907,0.1875,0.2,0.5357142857142857,3,13,15,12
audio_open,gad,10,pca,loo,regular_oversampling,kNN3,2,0.40119047619047615,0.25,0.4418604651162791,0.23529411764705882,0.26666666666666666,0.5357142857142857,4,13,15,11
audio_open,gad,10,pca,loo,regular_oversampling,RF,2,0.48571428571428565,0.3636363636363636,0.5116279069767442,0.3333333333333333,0.4,0.5714285714285714,6,12,16,9
audio_open,gad,10,pca,loo,regular_oversampling,NB,3,0.5190476190476191,0.4117647058823529,0.5348837209302325,0.3684210526315789,0.4666666666666667,0.5714285714285714,7,12,16,8
audio_open,gad,10,pca,loo,regular_oversampling,LR,3,0.5726190476190477,0.45161290322580644,0.6046511627906976,0.4375,0.4666666666666667,0.6785714285714286,7,9,19,8
audio_open,gad,10,pca,loo,regular_oversampling,SVC1,3,0.37857142857142856,0.3076923076923077,0.37209302325581395,0.25,0.4,0.35714285714285715,6,18,10,9
audio_open,gad,10,pca,loo,regular_oversampling,SVC2,3,0.5345238095238094,0.4444444444444444,0.5348837209302325,0.38095238095238093,0.5333333333333333,0.5357142857142857,8,13,15,7
audio_open,gad,10,pca,loo,regular_oversampling,XG,3,0.35238095238095235,0.1379310344827586,0.4186046511627907,0.14285714285714285,0.13333333333333333,0.5714285714285714,2,12,16,13
audio_open,gad,10,pca,loo,regular_oversampling,kNN3,3,0.37857142857142856,0.3076923076923077,0.37209302325581395,0.25,0.4,0.35714285714285715,6,18,10,9
audio_open,gad,10,pca,loo,regular_oversampling,RF,3,0.4392857142857143,0.22222222222222224,0.5116279069767442,0.25,0.2,0.6785714285714286,3,9,19,12
