modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,q9,1,etc,loo,regular_oversampling,NB,1,0.4347290640394088,0.22222222222222224,0.5116279069767442,0.23076923076923078,0.21428571428571427,0.6551724137931034,3,10,19,11
audio_open,q9,1,etc,loo,regular_oversampling,LR,1,0.4359605911330049,0.26666666666666666,0.4883720930232558,0.25,0.2857142857142857,0.5862068965517241,4,12,17,10
audio_open,q9,1,etc,loo,regular_oversampling,SVC1,1,0.4347290640394088,0.22222222222222224,0.5116279069767442,0.23076923076923078,0.21428571428571427,0.6551724137931034,3,10,19,11
audio_open,q9,1,etc,loo,regular_oversampling,SVC2,1,0.4729064039408866,0.3529411764705882,0.4883720930232558,0.3,0.42857142857142855,0.5172413793103449,6,14,15,8
audio_open,q9,1,etc,loo,regular_oversampling,XG,1,0.38300492610837433,0.19999999999999998,0.4418604651162791,0.1875,0.21428571428571427,0.5517241379310345,3,13,16,11
audio_open,q9,1,etc,loo,regular_oversampling,kNN3,1,0.41995073891625617,0.2941176470588235,0.4418604651162791,0.25,0.35714285714285715,0.4827586206896552,5,15,14,9
audio_open,q9,1,etc,loo,regular_oversampling,RF,1,0.4002463054187192,0.20689655172413796,0.46511627906976744,0.2,0.21428571428571427,0.5862068965517241,3,12,17,11
audio_open,q9,1,etc,loo,regular_oversampling,NB,2,0.4002463054187192,0.20689655172413796,0.46511627906976744,0.2,0.21428571428571427,0.5862068965517241,3,12,17,11
audio_open,q9,1,etc,loo,regular_oversampling,LR,2,0.38300492610837433,0.19999999999999998,0.4418604651162791,0.1875,0.21428571428571427,0.5517241379310345,3,13,16,11
audio_open,q9,1,etc,loo,regular_oversampling,SVC1,2,0.39901477832512317,0.15384615384615383,0.4883720930232558,0.16666666666666666,0.14285714285714285,0.6551724137931034,2,10,19,12
audio_open,q9,1,etc,loo,regular_oversampling,SVC2,2,0.3300492610837438,0.13333333333333333,0.3953488372093023,0.125,0.14285714285714285,0.5172413793103449,2,14,15,12
audio_open,q9,1,etc,loo,regular_oversampling,XG,2,0.4507389162561576,0.17391304347826086,0.5581395348837209,0.2222222222222222,0.14285714285714285,0.7586206896551724,2,7,22,12
audio_open,q9,1,etc,loo,regular_oversampling,kNN3,2,0.39901477832512317,0.15384615384615383,0.4883720930232558,0.16666666666666666,0.14285714285714285,0.6551724137931034,2,10,19,12
audio_open,q9,1,etc,loo,regular_oversampling,RF,2,0.45197044334975367,0.23076923076923075,0.5348837209302325,0.25,0.21428571428571427,0.6896551724137931,3,9,20,11
audio_open,q9,1,etc,loo,regular_oversampling,NB,3,0.417487684729064,0.21428571428571427,0.4883720930232558,0.21428571428571427,0.21428571428571427,0.6206896551724138,3,11,18,11
