modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,gad,10,chi2,loo,regular_oversampling,NB,1,0.5,0.0,0.6511627906976745,0.0,0.0,1.0,0,0,28,15
audio_open,gad,10,chi2,loo,regular_oversampling,LR,1,0.5,0.0,0.6511627906976745,0.0,0.0,1.0,0,0,28,15
audio_open,gad,10,chi2,loo,regular_oversampling,SVC1,1,0.5,0.0,0.6511627906976745,0.0,0.0,1.0,0,0,28,15
audio_open,gad,10,chi2,loo,regular_oversampling,SVC2,1,0.5,0.0,0.6511627906976745,0.0,0.0,1.0,0,0,28,15
audio_open,gad,10,chi2,loo,regular_oversampling,XG,1,0.5,0.0,0.6511627906976745,0.0,0.0,1.0,0,0,28,15
audio_open,gad,10,chi2,loo,regular_oversampling,kNN3,1,0.5,0.0,0.6511627906976745,0.0,0.0,1.0,0,0,28,15
audio_open,gad,10,chi2,loo,regular_oversampling,RF,1,0.5,0.0,0.6511627906976745,0.0,0.0,1.0,0,0,28,15
audio_open,gad,10,chi2,loo,regular_oversampling,NB,2,0.5666666666666667,0.23529411764705882,0.6976744186046512,1.0,0.13333333333333333,1.0,2,0,28,13
audio_open,gad,10,chi2,loo,regular_oversampling,LR,2,0.5666666666666667,0.23529411764705882,0.6976744186046512,1.0,0.13333333333333333,1.0,2,0,28,13
audio_open,gad,10,chi2,loo,regular_oversampling,SVC1,2,0.5666666666666667,0.23529411764705882,0.6976744186046512,1.0,0.13333333333333333,1.0,2,0,28,13
audio_open,gad,10,chi2,loo,regular_oversampling,SVC2,2,0.5666666666666667,0.23529411764705882,0.6976744186046512,1.0,0.13333333333333333,1.0,2,0,28,13
audio_open,gad,10,chi2,loo,regular_oversampling,XG,2,0.5666666666666667,0.23529411764705882,0.6976744186046512,1.0,0.13333333333333333,1.0,2,0,28,13
audio_open,gad,10,chi2,loo,regular_oversampling,kNN3,2,0.5666666666666667,0.23529411764705882,0.6976744186046512,1.0,0.13333333333333333,1.0,2,0,28,13
audio_open,gad,10,chi2,loo,regular_oversampling,RF,2,0.5666666666666667,0.23529411764705882,0.6976744186046512,1.0,0.13333333333333333,1.0,2,0,28,13
audio_open,gad,10,chi2,loo,regular_oversampling,NB,3,0.5642857142857143,0.3,0.6744186046511628,0.6,0.2,0.9285714285714286,3,2,26,12
audio_open,gad,10,chi2,loo,regular_oversampling,LR,3,0.5642857142857143,0.3,0.6744186046511628,0.6,0.2,0.9285714285714286,3,2,26,12
audio_open,gad,10,chi2,loo,regular_oversampling,SVC1,3,0.5642857142857143,0.3,0.6744186046511628,0.6,0.2,0.9285714285714286,3,2,26,12
audio_open,gad,10,chi2,loo,regular_oversampling,SVC2,3,0.5642857142857143,0.3,0.6744186046511628,0.6,0.2,0.9285714285714286,3,2,26,12
audio_open,gad,10,chi2,loo,regular_oversampling,XG,3,0.5488095238095237,0.2222222222222222,0.6744186046511628,0.6666666666666666,0.13333333333333333,0.9642857142857143,2,1,27,13
audio_open,gad,10,chi2,loo,regular_oversampling,kNN3,3,0.5642857142857143,0.3,0.6744186046511628,0.6,0.2,0.9285714285714286,3,2,26,12
audio_open,gad,10,chi2,loo,regular_oversampling,RF,3,0.5642857142857143,0.3,0.6744186046511628,0.6,0.2,0.9285714285714286,3,2,26,12
audio_open,gad,10,chi2,loo,regular_oversampling,NB,4,0.4952380952380953,0.19047619047619044,0.6046511627906976,0.3333333333333333,0.13333333333333333,0.8571428571428571,2,4,24,13
audio_open,gad,10,chi2,loo,regular_oversampling,LR,4,0.4952380952380953,0.19047619047619044,0.6046511627906976,0.3333333333333333,0.13333333333333333,0.8571428571428571,2,4,24,13
audio_open,gad,10,chi2,loo,regular_oversampling,SVC1,4,0.5464285714285714,0.28571428571428575,0.6511627906976745,0.5,0.2,0.8928571428571429,3,3,25,12
audio_open,gad,10,chi2,loo,regular_oversampling,SVC2,4,0.513095238095238,0.2,0.627906976744186,0.4,0.13333333333333333,0.8928571428571429,2,3,25,13
audio_open,gad,10,chi2,loo,regular_oversampling,XG,4,0.44642857142857145,0.0,0.5813953488372093,0.0,0.0,0.8928571428571429,0,3,25,15
audio_open,gad,10,chi2,loo,regular_oversampling,kNN3,4,0.513095238095238,0.2,0.627906976744186,0.4,0.13333333333333333,0.8928571428571429,2,3,25,13
audio_open,gad,10,chi2,loo,regular_oversampling,RF,4,0.513095238095238,0.2,0.627906976744186,0.4,0.13333333333333333,0.8928571428571429,2,3,25,13
audio_open,gad,10,chi2,loo,regular_oversampling,NB,5,0.4928571428571428,0.25,0.5813953488372093,0.3333333333333333,0.2,0.7857142857142857,3,6,22,12
audio_open,gad,10,chi2,loo,regular_oversampling,LR,5,0.475,0.24,0.5581395348837209,0.3,0.2,0.75,3,7,21,12
audio_open,gad,10,chi2,loo,regular_oversampling,SVC1,5,0.5261904761904761,0.32,0.6046511627906976,0.4,0.26666666666666666,0.7857142857142857,4,6,22,11
audio_open,gad,10,chi2,loo,regular_oversampling,SVC2,5,0.4952380952380953,0.19047619047619044,0.6046511627906976,0.3333333333333333,0.13333333333333333,0.8571428571428571,2,4,24,13
audio_open,gad,10,chi2,loo,regular_oversampling,XG,5,0.46190476190476193,0.1,0.5813953488372093,0.2,0.06666666666666667,0.8571428571428571,1,4,24,14
