modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,gad,10,etc,loo,regular_oversampling,NB,1,0.3011904761904762,0.0689655172413793,0.37209302325581395,0.07142857142857142,0.06666666666666667,0.5357142857142857,1,13,15,14
audio_open,gad,10,etc,loo,regular_oversampling,LR,1,0.3011904761904762,0.0689655172413793,0.37209302325581395,0.07142857142857142,0.06666666666666667,0.5357142857142857,1,13,15,14
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,1,0.3547619047619047,0.07692307692307691,0.4418604651162791,0.09090909090909091,0.06666666666666667,0.6428571428571429,1,10,18,14
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,1,0.3011904761904762,0.0689655172413793,0.37209302325581395,0.07142857142857142,0.06666666666666667,0.5357142857142857,1,13,15,14
audio_open,gad,10,etc,loo,regular_oversampling,XG,1,0.3702380952380953,0.14285714285714288,0.4418604651162791,0.15384615384615385,0.13333333333333333,0.6071428571428571,2,11,17,13
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,1,0.5107142857142857,0.26086956521739135,0.6046511627906976,0.375,0.2,0.8214285714285714,3,5,23,12
audio_open,gad,10,etc,loo,regular_oversampling,RF,1,0.3702380952380953,0.14285714285714288,0.4418604651162791,0.15384615384615385,0.13333333333333333,0.6071428571428571,2,11,17,13
audio_open,gad,10,etc,loo,regular_oversampling,NB,2,0.44642857142857145,0.0,0.5813953488372093,0.0,0.0,0.8928571428571429,0,3,25,15
audio_open,gad,10,etc,loo,regular_oversampling,LR,2,0.319047619047619,0.07142857142857144,0.3953488372093023,0.07692307692307693,0.06666666666666667,0.5714285714285714,1,12,16,14
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,2,0.3547619047619047,0.07692307692307691,0.4418604651162791,0.09090909090909091,0.06666666666666667,0.6428571428571429,1,10,18,14
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,2,0.319047619047619,0.07142857142857144,0.3953488372093023,0.07692307692307693,0.06666666666666667,0.5714285714285714,1,12,16,14
audio_open,gad,10,etc,loo,regular_oversampling,XG,2,0.3547619047619047,0.07692307692307691,0.4418604651162791,0.09090909090909091,0.06666666666666667,0.6428571428571429,1,10,18,14
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,2,0.44166666666666665,0.16666666666666669,0.5348837209302325,0.2222222222222222,0.13333333333333333,0.75,2,7,21,13
audio_open,gad,10,etc,loo,regular_oversampling,RF,2,0.35238095238095235,0.1379310344827586,0.4186046511627907,0.14285714285714285,0.13333333333333333,0.5714285714285714,2,12,16,13
audio_open,gad,10,etc,loo,regular_oversampling,NB,3,0.4642857142857143,0.0,0.6046511627906976,0.0,0.0,0.9285714285714286,0,2,26,15
audio_open,gad,10,etc,loo,regular_oversampling,LR,3,0.38809523809523805,0.14814814814814814,0.46511627906976744,0.16666666666666666,0.13333333333333333,0.6428571428571429,2,10,18,13
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,3,0.4083333333333334,0.08695652173913045,0.5116279069767442,0.125,0.06666666666666667,0.75,1,7,21,14
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,3,0.4083333333333334,0.08695652173913045,0.5116279069767442,0.125,0.06666666666666667,0.75,1,7,21,14
audio_open,gad,10,etc,loo,regular_oversampling,XG,3,0.4238095238095238,0.16,0.5116279069767442,0.2,0.13333333333333333,0.7142857142857143,2,8,20,13
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,3,0.5464285714285714,0.28571428571428575,0.6511627906976745,0.5,0.2,0.8928571428571429,3,3,25,12
audio_open,gad,10,etc,loo,regular_oversampling,RF,3,0.45714285714285713,0.23076923076923075,0.5348837209302325,0.2727272727272727,0.2,0.7142857142857143,3,8,20,12
audio_open,gad,10,etc,loo,regular_oversampling,NB,4,0.48214285714285715,0.0,0.627906976744186,0.0,0.0,0.9642857142857143,0,1,27,15
audio_open,gad,10,etc,loo,regular_oversampling,LR,4,0.3702380952380953,0.14285714285714288,0.4418604651162791,0.15384615384615385,0.13333333333333333,0.6071428571428571,2,11,17,13
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,4,0.4261904761904762,0.09090909090909091,0.5348837209302325,0.14285714285714285,0.06666666666666667,0.7857142857142857,1,6,22,14
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,4,0.4107142857142857,0.0,0.5348837209302325,0.0,0.0,0.8214285714285714,0,5,23,15
audio_open,gad,10,etc,loo,regular_oversampling,XG,4,0.4547619047619047,0.2758620689655172,0.5116279069767442,0.2857142857142857,0.26666666666666666,0.6428571428571429,4,10,18,11
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,4,0.47738095238095235,0.18181818181818182,0.5813953488372093,0.2857142857142857,0.13333333333333333,0.8214285714285714,2,5,23,13
audio_open,gad,10,etc,loo,regular_oversampling,RF,4,0.40595238095238095,0.15384615384615383,0.4883720930232558,0.18181818181818182,0.13333333333333333,0.6785714285714286,2,9,19,13
audio_open,gad,10,etc,loo,regular_oversampling,NB,5,0.48214285714285715,0.0,0.627906976744186,0.0,0.0,0.9642857142857143,0,1,27,15
audio_open,gad,10,etc,loo,regular_oversampling,LR,5,0.4261904761904762,0.09090909090909091,0.5348837209302325,0.14285714285714285,0.06666666666666667,0.7857142857142857,1,6,22,14
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,5,0.4285714285714286,0.0,0.5581395348837209,0.0,0.0,0.8571428571428571,0,4,24,15
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,5,0.46190476190476193,0.1,0.5813953488372093,0.2,0.06666666666666667,0.8571428571428571,1,4,24,14
audio_open,gad,10,etc,loo,regular_oversampling,XG,5,0.47261904761904766,0.28571428571428575,0.5348837209302325,0.3076923076923077,0.26666666666666666,0.6785714285714286,4,9,19,11
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,5,0.5285714285714286,0.27272727272727276,0.627906976744186,0.42857142857142855,0.2,0.8571428571428571,3,4,24,12
audio_open,gad,10,etc,loo,regular_oversampling,RF,5,0.475,0.24,0.5581395348837209,0.3,0.2,0.75,3,7,21,12
audio_open,gad,10,etc,loo,regular_oversampling,NB,6,0.4976190476190476,0.1111111111111111,0.627906976744186,0.3333333333333333,0.06666666666666667,0.9285714285714286,1,2,26,14
audio_open,gad,10,etc,loo,regular_oversampling,LR,6,0.44166666666666665,0.16666666666666669,0.5348837209302325,0.2222222222222222,0.13333333333333333,0.75,2,7,21,13
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,6,0.4285714285714286,0.0,0.5581395348837209,0.0,0.0,0.8571428571428571,0,4,24,15
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,6,0.4107142857142857,0.0,0.5348837209302325,0.0,0.0,0.8214285714285714,0,5,23,15
audio_open,gad,10,etc,loo,regular_oversampling,XG,6,0.5083333333333333,0.30769230769230765,0.5813953488372093,0.36363636363636365,0.26666666666666666,0.75,4,7,21,11
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,6,0.4952380952380953,0.19047619047619044,0.6046511627906976,0.3333333333333333,0.13333333333333333,0.8571428571428571,2,4,24,13
audio_open,gad,10,etc,loo,regular_oversampling,RF,6,0.4261904761904762,0.09090909090909091,0.5348837209302325,0.14285714285714285,0.06666666666666667,0.7857142857142857,1,6,22,14
audio_open,gad,10,etc,loo,regular_oversampling,NB,7,0.513095238095238,0.2,0.627906976744186,0.4,0.13333333333333333,0.8928571428571429,2,3,25,13
audio_open,gad,10,etc,loo,regular_oversampling,LR,7,0.475,0.24,0.5581395348837209,0.3,0.2,0.75,3,7,21,12
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,7,0.5107142857142857,0.26086956521739135,0.6046511627906976,0.375,0.2,0.8214285714285714,3,5,23,12
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,7,0.4261904761904762,0.09090909090909091,0.5348837209302325,0.14285714285714285,0.06666666666666667,0.7857142857142857,1,6,22,14
audio_open,gad,10,etc,loo,regular_oversampling,XG,7,0.49047619047619045,0.2962962962962963,0.5581395348837209,0.3333333333333333,0.26666666666666666,0.7142857142857143,4,8,20,11
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,7,0.6107142857142857,0.4615384615384615,0.6744186046511628,0.5454545454545454,0.4,0.8214285714285714,6,5,23,9
audio_open,gad,10,etc,loo,regular_oversampling,RF,7,0.5083333333333333,0.30769230769230765,0.5813953488372093,0.36363636363636365,0.26666666666666666,0.75,4,7,21,11
audio_open,gad,10,etc,loo,regular_oversampling,NB,8,0.5797619047619047,0.36363636363636365,0.6744186046511628,0.5714285714285714,0.26666666666666666,0.8928571428571429,4,3,25,11
audio_open,gad,10,etc,loo,regular_oversampling,LR,8,0.5083333333333333,0.30769230769230765,0.5813953488372093,0.36363636363636365,0.26666666666666666,0.75,4,7,21,11
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,8,0.5595238095238094,0.3846153846153846,0.627906976744186,0.45454545454545453,0.3333333333333333,0.7857142857142857,5,6,22,10
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,8,0.4928571428571428,0.25,0.5813953488372093,0.3333333333333333,0.2,0.7857142857142857,3,6,22,12
audio_open,gad,10,etc,loo,regular_oversampling,XG,8,0.375,0.0,0.4883720930232558,0.0,0.0,0.75,0,7,21,15
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,8,0.561904761904762,0.3478260869565218,0.6511627906976745,0.5,0.26666666666666666,0.8571428571428571,4,4,24,11
audio_open,gad,10,etc,loo,regular_oversampling,RF,8,0.4595238095238095,0.1739130434782609,0.5581395348837209,0.25,0.13333333333333333,0.7857142857142857,2,6,22,13
audio_open,gad,10,etc,loo,regular_oversampling,NB,9,0.561904761904762,0.3478260869565218,0.6511627906976745,0.5,0.26666666666666666,0.8571428571428571,4,4,24,11
audio_open,gad,10,etc,loo,regular_oversampling,LR,9,0.5083333333333333,0.30769230769230765,0.5813953488372093,0.36363636363636365,0.26666666666666666,0.75,4,7,21,11
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,9,0.5595238095238094,0.3846153846153846,0.627906976744186,0.45454545454545453,0.3333333333333333,0.7857142857142857,5,6,22,10
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,9,0.4595238095238095,0.1739130434782609,0.5581395348837209,0.25,0.13333333333333333,0.7857142857142857,2,6,22,13
audio_open,gad,10,etc,loo,regular_oversampling,XG,9,0.33690476190476193,0.07407407407407407,0.4186046511627907,0.08333333333333333,0.06666666666666667,0.6071428571428571,1,11,17,14
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,9,0.49047619047619045,0.2962962962962963,0.5581395348837209,0.3333333333333333,0.26666666666666666,0.7142857142857143,4,8,20,11
audio_open,gad,10,etc,loo,regular_oversampling,RF,9,0.45714285714285713,0.23076923076923075,0.5348837209302325,0.2727272727272727,0.2,0.7142857142857143,3,8,20,12
audio_open,gad,10,etc,loo,regular_oversampling,NB,10,0.5464285714285714,0.28571428571428575,0.6511627906976745,0.5,0.2,0.8928571428571429,3,3,25,12
audio_open,gad,10,etc,loo,regular_oversampling,LR,10,0.475,0.24,0.5581395348837209,0.3,0.2,0.75,3,7,21,12
audio_open,gad,10,etc,loo,regular_oversampling,SVC1,10,0.5416666666666666,0.3703703703703704,0.6046511627906976,0.4166666666666667,0.3333333333333333,0.75,5,7,21,10
audio_open,gad,10,etc,loo,regular_oversampling,SVC2,10,0.5107142857142857,0.26086956521739135,0.6046511627906976,0.375,0.2,0.8214285714285714,3,5,23,12
audio_open,gad,10,etc,loo,regular_oversampling,XG,10,0.3726190476190476,0.08,0.46511627906976744,0.1,0.06666666666666667,0.6785714285714286,1,9,19,14
audio_open,gad,10,etc,loo,regular_oversampling,kNN3,10,0.5083333333333333,0.30769230769230765,0.5813953488372093,0.36363636363636365,0.26666666666666666,0.75,4,7,21,11
audio_open,gad,10,etc,loo,regular_oversampling,RF,10,0.4238095238095238,0.16,0.5116279069767442,0.2,0.13333333333333333,0.7142857142857143,2,8,20,13
