modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,q9,1,chi2,loo,regular_oversampling,NB,1,0.4827586206896552,0.0,0.6511627906976745,0.0,0.0,0.9655172413793104,0,1,28,14
audio_open,q9,1,chi2,loo,regular_oversampling,LR,1,0.4827586206896552,0.0,0.6511627906976745,0.0,0.0,0.9655172413793104,0,1,28,14
audio_open,q9,1,chi2,loo,regular_oversampling,SVC1,1,0.4827586206896552,0.0,0.6511627906976745,0.0,0.0,0.9655172413793104,0,1,28,14
audio_open,q9,1,chi2,loo,regular_oversampling,SVC2,1,0.4827586206896552,0.0,0.6511627906976745,0.0,0.0,0.9655172413793104,0,1,28,14
audio_open,q9,1,chi2,loo,regular_oversampling,XG,1,0.4827586206896552,0.0,0.6511627906976745,0.0,0.0,0.9655172413793104,0,1,28,14
audio_open,q9,1,chi2,loo,regular_oversampling,kNN3,1,0.4827586206896552,0.0,0.6511627906976745,0.0,0.0,0.9655172413793104,0,1,28,14
audio_open,q9,1,chi2,loo,regular_oversampling,RF,1,0.4827586206896552,0.0,0.6511627906976745,0.0,0.0,0.9655172413793104,0,1,28,14
audio_open,q9,1,chi2,loo,regular_oversampling,NB,2,0.5024630541871921,0.2,0.627906976744186,0.3333333333333333,0.14285714285714285,0.8620689655172413,2,4,25,12
audio_open,q9,1,chi2,loo,regular_oversampling,LR,2,0.4507389162561576,0.17391304347826086,0.5581395348837209,0.2222222222222222,0.14285714285714285,0.7586206896551724,2,7,22,12
audio_open,q9,1,chi2,loo,regular_oversampling,SVC1,2,0.5197044334975369,0.21052631578947364,0.6511627906976745,0.4,0.14285714285714285,0.896551724137931,2,3,26,12
audio_open,q9,1,chi2,loo,regular_oversampling,SVC2,2,0.5197044334975369,0.21052631578947364,0.6511627906976745,0.4,0.14285714285714285,0.896551724137931,2,3,26,12
audio_open,q9,1,chi2,loo,regular_oversampling,XG,2,0.43103448275862066,0.0,0.5813953488372093,0.0,0.0,0.8620689655172413,0,4,25,14
audio_open,q9,1,chi2,loo,regular_oversampling,kNN3,2,0.4839901477832512,0.11111111111111112,0.627906976744186,0.25,0.07142857142857142,0.896551724137931,1,3,26,13
audio_open,q9,1,chi2,loo,regular_oversampling,RF,2,0.5197044334975369,0.21052631578947364,0.6511627906976745,0.4,0.14285714285714285,0.896551724137931,2,3,26,12
audio_open,q9,1,chi2,loo,regular_oversampling,NB,3,0.48522167487684725,0.19047619047619047,0.6046511627906976,0.2857142857142857,0.14285714285714285,0.8275862068965517,2,5,24,12
audio_open,q9,1,chi2,loo,regular_oversampling,LR,3,0.4507389162561576,0.17391304347826086,0.5581395348837209,0.2222222222222222,0.14285714285714285,0.7586206896551724,2,7,22,12
audio_open,q9,1,chi2,loo,regular_oversampling,SVC1,3,0.48522167487684725,0.19047619047619047,0.6046511627906976,0.2857142857142857,0.14285714285714285,0.8275862068965517,2,5,24,12
audio_open,q9,1,chi2,loo,regular_oversampling,SVC2,3,0.5197044334975369,0.21052631578947364,0.6511627906976745,0.4,0.14285714285714285,0.896551724137931,2,3,26,12
audio_open,q9,1,chi2,loo,regular_oversampling,XG,3,0.4482758620689655,0.0,0.6046511627906976,0.0,0.0,0.896551724137931,0,3,26,14
audio_open,q9,1,chi2,loo,regular_oversampling,kNN3,3,0.5197044334975369,0.21052631578947364,0.6511627906976745,0.4,0.14285714285714285,0.896551724137931,2,3,26,12
audio_open,q9,1,chi2,loo,regular_oversampling,RF,3,0.5197044334975369,0.21052631578947364,0.6511627906976745,0.4,0.14285714285714285,0.896551724137931,2,3,26,12
audio_open,q9,1,chi2,loo,regular_oversampling,NB,4,0.4507389162561576,0.17391304347826086,0.5581395348837209,0.2222222222222222,0.14285714285714285,0.7586206896551724,2,7,22,12
audio_open,q9,1,chi2,loo,regular_oversampling,LR,4,0.41625615763546797,0.16,0.5116279069767442,0.18181818181818182,0.14285714285714285,0.6896551724137931,2,9,20,12
audio_open,q9,1,chi2,loo,regular_oversampling,SVC1,4,0.4507389162561576,0.17391304347826086,0.5581395348837209,0.2222222222222222,0.14285714285714285,0.7586206896551724,2,7,22,12
audio_open,q9,1,chi2,loo,regular_oversampling,SVC2,4,0.44950738916256155,0.1,0.5813953488372093,0.16666666666666666,0.07142857142857142,0.8275862068965517,1,5,24,13
audio_open,q9,1,chi2,loo,regular_oversampling,XG,4,0.4482758620689655,0.0,0.6046511627906976,0.0,0.0,0.896551724137931,0,3,26,14
audio_open,q9,1,chi2,loo,regular_oversampling,kNN3,4,0.43226600985221675,0.09523809523809523,0.5581395348837209,0.14285714285714285,0.07142857142857142,0.7931034482758621,1,6,23,13
audio_open,q9,1,chi2,loo,regular_oversampling,RF,4,0.46798029556650245,0.18181818181818182,0.5813953488372093,0.25,0.14285714285714285,0.7931034482758621,2,6,23,12
audio_open,q9,1,chi2,loo,regular_oversampling,NB,5,0.46798029556650245,0.18181818181818182,0.5813953488372093,0.25,0.14285714285714285,0.7931034482758621,2,6,23,12
audio_open,q9,1,chi2,loo,regular_oversampling,LR,5,0.3805418719211823,0.08333333333333333,0.4883720930232558,0.1,0.07142857142857142,0.6896551724137931,1,9,20,13
