modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_open,q9,1,etc,loo,regular_oversampling,NB,1,0.2931034482758621,0.0,0.3953488372093023,0.0,0.0,0.5862068965517241,0,12,17,14
audio_open,q9,1,etc,loo,regular_oversampling,LR,1,0.2931034482758621,0.0,0.3953488372093023,0.0,0.0,0.5862068965517241,0,12,17,14
audio_open,q9,1,etc,loo,regular_oversampling,SVC1,1,0.3620689655172414,0.0,0.4883720930232558,0.0,0.0,0.7241379310344828,0,8,21,14
audio_open,q9,1,etc,loo,regular_oversampling,SVC2,1,0.2931034482758621,0.0,0.3953488372093023,0.0,0.0,0.5862068965517241,0,12,17,14
audio_open,q9,1,etc,loo,regular_oversampling,XG,1,0.44950738916256155,0.1,0.5813953488372093,0.16666666666666666,0.07142857142857142,0.8275862068965517,1,5,24,13
audio_open,q9,1,etc,loo,regular_oversampling,kNN3,1,0.46798029556650245,0.18181818181818182,0.5813953488372093,0.25,0.14285714285714285,0.7931034482758621,2,6,23,12
audio_open,q9,1,etc,loo,regular_oversampling,RF,1,0.48522167487684725,0.19047619047619047,0.6046511627906976,0.2857142857142857,0.14285714285714285,0.8275862068965517,2,5,24,12
audio_open,q9,1,etc,loo,regular_oversampling,NB,2,0.43103448275862066,0.0,0.5813953488372093,0.0,0.0,0.8620689655172413,0,4,25,14
audio_open,q9,1,etc,loo,regular_oversampling,LR,2,0.4716748768472907,0.3225806451612903,0.5116279069767442,0.29411764705882354,0.35714285714285715,0.5862068965517241,5,12,17,9
audio_open,q9,1,etc,loo,regular_oversampling,SVC1,2,0.4716748768472907,0.3225806451612903,0.5116279069767442,0.29411764705882354,0.35714285714285715,0.5862068965517241,5,12,17,9
audio_open,q9,1,etc,loo,regular_oversampling,SVC2,2,0.4716748768472907,0.3225806451612903,0.5116279069767442,0.29411764705882354,0.35714285714285715,0.5862068965517241,5,12,17,9
audio_open,q9,1,etc,loo,regular_oversampling,XG,2,0.38300492610837433,0.19999999999999998,0.4418604651162791,0.1875,0.21428571428571427,0.5517241379310345,3,13,16,11
audio_open,q9,1,etc,loo,regular_oversampling,kNN3,2,0.49014778325123154,0.36363636363636365,0.5116279069767442,0.3157894736842105,0.42857142857142855,0.5517241379310345,6,13,16,8
audio_open,q9,1,etc,loo,regular_oversampling,RF,2,0.4347290640394088,0.22222222222222224,0.5116279069767442,0.23076923076923078,0.21428571428571427,0.6551724137931034,3,10,19,11
audio_open,q9,1,etc,loo,regular_oversampling,NB,3,0.518472906403941,0.125,0.6744186046511628,0.5,0.07142857142857142,0.9655172413793104,1,1,28,13
audio_open,q9,1,etc,loo,regular_oversampling,LR,3,0.40147783251231517,0.25,0.4418604651162791,0.2222222222222222,0.2857142857142857,0.5172413793103449,4,14,15,10
audio_open,q9,1,etc,loo,regular_oversampling,SVC1,3,0.3842364532019704,0.24242424242424243,0.4186046511627907,0.21052631578947367,0.2857142857142857,0.4827586206896552,4,15,14,10
audio_open,q9,1,etc,loo,regular_oversampling,SVC2,3,0.41871921182266003,0.2580645161290323,0.46511627906976744,0.23529411764705882,0.2857142857142857,0.5517241379310345,4,13,16,10
audio_open,q9,1,etc,loo,regular_oversampling,XG,3,0.6108374384236454,0.4615384615384615,0.6744186046511628,0.5,0.42857142857142855,0.7931034482758621,6,6,23,8
audio_open,q9,1,etc,loo,regular_oversampling,kNN3,3,0.38300492610837433,0.19999999999999998,0.4418604651162791,0.1875,0.21428571428571427,0.5517241379310345,3,13,16,11
audio_open,q9,1,etc,loo,regular_oversampling,RF,3,0.45197044334975367,0.23076923076923075,0.5348837209302325,0.25,0.21428571428571427,0.6896551724137931,3,9,20,11
audio_open,q9,1,etc,loo,regular_oversampling,NB,4,0.518472906403941,0.125,0.6744186046511628,0.5,0.07142857142857142,0.9655172413793104,1,1,28,13
audio_open,q9,1,etc,loo,regular_oversampling,LR,4,0.54064039408867,0.3703703703703704,0.6046511627906976,0.38461538461538464,0.35714285714285715,0.7241379310344828,5,8,21,9
audio_open,q9,1,etc,loo,regular_oversampling,SVC1,4,0.4889162561576355,0.3333333333333333,0.5348837209302325,0.3125,0.35714285714285715,0.6206896551724138,5,11,18,9
audio_open,q9,1,etc,loo,regular_oversampling,SVC2,4,0.54064039408867,0.3703703703703704,0.6046511627906976,0.38461538461538464,0.35714285714285715,0.7241379310344828,5,8,21,9
