modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,NB,1,0.43769230769230766,0.2916666666666667,0.40869565217391307,0.45161290322580644,0.2153846153846154,0.66,28,34,66,102
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,LR,1,0.4600000000000001,0.5138339920948617,0.4652173913043478,0.5284552845528455,0.5,0.42,65,58,42,65
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,SVC1,1,0.4553846153846154,0.4,0.4391304347826087,0.5058823529411764,0.33076923076923076,0.58,43,42,58,87
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,SVC2,1,0.47000000000000003,0.456140350877193,0.4608695652173913,0.5306122448979592,0.4,0.54,52,46,54,78
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,XG,1,0.5153846153846153,0.5542168674698795,0.5173913043478261,0.5798319327731093,0.5307692307692308,0.5,69,50,50,61
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,kNN3,1,0.533076923076923,0.570281124497992,0.5347826086956522,0.5966386554621849,0.5461538461538461,0.52,71,48,52,59
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,RF,1,0.5053846153846153,0.5498007968127491,0.508695652173913,0.5702479338842975,0.5307692307692308,0.48,69,52,48,61
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,NB,2,0.4684615384615385,0.43946188340807174,0.45652173913043476,0.5268817204301075,0.3769230769230769,0.56,49,44,56,81
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,LR,2,0.4803846153846154,0.48068669527896996,0.47391304347826085,0.5436893203883495,0.4307692307692308,0.53,56,47,53,74
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,SVC1,2,0.5115384615384615,0.4888888888888889,0.5,0.5789473684210527,0.4230769230769231,0.6,55,40,60,75
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,SVC2,2,0.5065384615384616,0.48672566371681414,0.4956521739130435,0.5729166666666666,0.4230769230769231,0.59,55,41,59,75
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,XG,2,0.5034615384615384,0.5725190839694657,0.5130434782608696,0.5681818181818182,0.5769230769230769,0.43,75,57,43,55
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,kNN3,2,0.4673076923076923,0.5080645161290324,0.46956521739130436,0.5338983050847458,0.4846153846153846,0.45,63,55,45,67
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,RF,2,0.46884615384615386,0.5217391304347826,0.47391304347826085,0.5365853658536586,0.5076923076923077,0.43,66,57,43,64
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,NB,3,0.39999999999999997,0.4297520661157025,0.4,0.4642857142857143,0.4,0.4,52,60,40,78
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,LR,3,0.44000000000000006,0.5058365758754864,0.44782608695652176,0.5118110236220472,0.5,0.38,65,62,38,65
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,SVC1,3,0.5499999999999999,0.5531914893617021,0.5434782608695652,0.6190476190476191,0.5,0.6,65,40,60,65
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,SVC2,3,0.4211538461538461,0.4942084942084942,0.43043478260869567,0.49612403100775193,0.49230769230769234,0.35,64,65,35,66
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,XG,3,0.5146153846153846,0.5736434108527132,0.5217391304347826,0.578125,0.5692307692307692,0.46,74,54,46,56
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,kNN3,3,0.475,0.52,0.4782608695652174,0.5416666666666666,0.5,0.45,65,55,45,65
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,RF,3,0.475,0.52,0.4782608695652174,0.5416666666666666,0.5,0.45,65,55,45,65
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,NB,4,0.38923076923076927,0.2995169082125604,0.3695652173913043,0.4025974025974026,0.23846153846153847,0.54,31,46,54,99
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,LR,4,0.44807692307692304,0.4773662551440329,0.44782608695652176,0.5132743362831859,0.4461538461538462,0.45,58,55,45,72
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,SVC1,4,0.5192307692307693,0.5022026431718063,0.508695652173913,0.5876288659793815,0.43846153846153846,0.6,57,40,60,73
moodable_audio_closed_cleaned_gender,phq,10,pca,loo,regular_oversampling,SVC2,4,0.45346153846153847,0.4336283185840708,0.4434782608695652,0.5104166666666666,0.3769230769230769,0.53,49,47,53,81
