modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,1,0.3238095238095238,0.1818181818181818,0.35714285714285715,0.17391304347826086,0.19047619047619047,0.45714285714285713,4,19,16,17
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,1,0.2714285714285714,0.13333333333333333,0.30357142857142855,0.125,0.14285714285714285,0.4,3,21,14,18
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,1,0.35714285714285715,0.32727272727272727,0.3392857142857143,0.2647058823529412,0.42857142857142855,0.2857142857142857,9,25,10,12
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,1,0.35238095238095235,0.19047619047619047,0.39285714285714285,0.19047619047619047,0.19047619047619047,0.5142857142857142,4,17,18,17
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,1,0.47619047619047616,0.3636363636363636,0.5,0.34782608695652173,0.38095238095238093,0.5714285714285714,8,15,20,13
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,1,0.46190476190476193,0.35555555555555557,0.48214285714285715,0.3333333333333333,0.38095238095238093,0.5428571428571428,8,16,19,13
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,1,0.47619047619047616,0.3636363636363636,0.5,0.34782608695652173,0.38095238095238093,0.5714285714285714,8,15,20,13
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,2,0.4714285714285714,0.19354838709677416,0.5535714285714286,0.3,0.14285714285714285,0.8,3,7,28,18
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,2,0.49999999999999994,0.3243243243243243,0.5535714285714286,0.375,0.2857142857142857,0.7142857142857143,6,10,25,15
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,2,0.5714285714285714,0.45,0.6071428571428571,0.47368421052631576,0.42857142857142855,0.7142857142857143,9,10,25,12
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,2,0.4523809523809524,0.22857142857142854,0.5178571428571429,0.2857142857142857,0.19047619047619047,0.7142857142857143,4,10,25,17
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,2,0.6285714285714286,0.5,0.6785714285714286,0.6,0.42857142857142855,0.8285714285714286,9,6,29,12
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,2,0.5523809523809524,0.4545454545454545,0.5714285714285714,0.43478260869565216,0.47619047619047616,0.6285714285714286,10,13,22,11
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,2,0.6142857142857143,0.4864864864864864,0.6607142857142857,0.5625,0.42857142857142855,0.8,9,7,28,12
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,3,0.32857142857142857,0.0,0.4107142857142857,0.0,0.0,0.6571428571428571,0,12,23,21
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,3,0.5952380952380952,0.4878048780487805,0.625,0.5,0.47619047619047616,0.7142857142857143,10,10,25,11
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,3,0.5380952380952382,0.4444444444444445,0.5535714285714286,0.4166666666666667,0.47619047619047616,0.6,10,14,21,11
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,3,0.5666666666666667,0.46511627906976744,0.5892857142857143,0.45454545454545453,0.47619047619047616,0.6571428571428571,10,12,23,11
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,3,0.6047619047619046,0.4571428571428571,0.6607142857142857,0.5714285714285714,0.38095238095238093,0.8285714285714286,8,6,29,13
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,3,0.5142857142857142,0.4090909090909091,0.5357142857142857,0.391304347826087,0.42857142857142855,0.6,9,14,21,12
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,3,0.5619047619047619,0.42105263157894735,0.6071428571428571,0.47058823529411764,0.38095238095238093,0.7428571428571429,8,9,26,13
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,4,0.4666666666666667,0.07692307692307693,0.5714285714285714,0.2,0.047619047619047616,0.8857142857142857,1,4,31,20
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,4,0.5571428571428572,0.4390243902439024,0.5892857142857143,0.45,0.42857142857142855,0.6857142857142857,9,11,24,12
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,4,0.5238095238095238,0.43478260869565216,0.5357142857142857,0.4,0.47619047619047616,0.5714285714285714,10,15,20,11
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,4,0.5571428571428572,0.4390243902439024,0.5892857142857143,0.45,0.42857142857142855,0.6857142857142857,9,11,24,12
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,4,0.6333333333333333,0.5365853658536585,0.6607142857142857,0.55,0.5238095238095238,0.7428571428571429,11,9,26,10
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,4,0.5523809523809524,0.5,0.5357142857142857,0.41935483870967744,0.6190476190476191,0.4857142857142857,13,18,17,8
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,4,0.6000000000000001,0.4736842105263158,0.6428571428571429,0.5294117647058824,0.42857142857142855,0.7714285714285715,9,8,27,12
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,5,0.5095238095238096,0.08695652173913042,0.625,0.5,0.047619047619047616,0.9714285714285714,1,1,34,20
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,5,0.5380952380952382,0.4444444444444445,0.5535714285714286,0.4166666666666667,0.47619047619047616,0.6,10,14,21,11
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,5,0.519047619047619,0.4489795918367347,0.5178571428571429,0.39285714285714285,0.5238095238095238,0.5142857142857142,11,17,18,10
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,5,0.5238095238095238,0.43478260869565216,0.5357142857142857,0.4,0.47619047619047616,0.5714285714285714,10,15,20,11
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,5,0.5571428571428572,0.4390243902439024,0.5892857142857143,0.45,0.42857142857142855,0.6857142857142857,9,11,24,12
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,5,0.4904761904761905,0.4313725490196078,0.48214285714285715,0.36666666666666664,0.5238095238095238,0.45714285714285713,11,19,16,10
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,RF,5,0.5619047619047619,0.42105263157894735,0.6071428571428571,0.47058823529411764,0.38095238095238093,0.7428571428571429,8,9,26,13
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,NB,6,0.5095238095238096,0.08695652173913042,0.625,0.5,0.047619047619047616,0.9714285714285714,1,1,34,20
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,LR,6,0.5428571428571429,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.6571428571428571,9,12,23,12
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC1,6,0.4714285714285714,0.3829787234042554,0.48214285714285715,0.34615384615384615,0.42857142857142855,0.5142857142857142,9,17,18,12
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,SVC2,6,0.5238095238095238,0.43478260869565216,0.5357142857142857,0.4,0.47619047619047616,0.5714285714285714,10,15,20,11
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,XG,6,0.6333333333333333,0.5365853658536585,0.6607142857142857,0.55,0.5238095238095238,0.7428571428571429,11,9,26,10
emu_audio_closed_cleaned_gender,gad,10,chi2,loo,regular_oversampling,kNN3,6,0.519047619047619,0.4489795918367347,0.5178571428571429,0.39285714285714285,0.5238095238095238,0.5142857142857142,11,17,18,10
