modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,NB,1,0.607918263090677,0.6071428571428571,0.6071428571428571,0.5862068965517241,0.6296296296296297,0.5862068965517241,17,12,17,10
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,LR,1,0.623882503192848,0.6037735849056604,0.625,0.6153846153846154,0.5925925925925926,0.6551724137931034,16,10,19,11
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC1,1,0.6424010217113665,0.6296296296296297,0.6428571428571429,0.6296296296296297,0.6296296296296297,0.6551724137931034,17,10,19,10
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC2,1,0.5734355044699873,0.5862068965517241,0.5714285714285714,0.5483870967741935,0.6296296296296297,0.5172413793103449,17,14,15,10
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,XG,1,0.553639846743295,0.5454545454545454,0.5535714285714286,0.5357142857142857,0.5555555555555556,0.5517241379310345,15,13,16,12
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,kNN3,1,0.6621966794380587,0.6666666666666667,0.6607142857142857,0.6333333333333333,0.7037037037037037,0.6206896551724138,19,11,18,8
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,RF,1,0.5721583652618135,0.5714285714285714,0.5714285714285714,0.5517241379310345,0.5925925925925926,0.5517241379310345,16,13,16,11
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,NB,2,0.5376756066411238,0.5517241379310345,0.5357142857142857,0.5161290322580645,0.5925925925925926,0.4827586206896552,16,15,14,11
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,LR,2,0.5178799489144317,0.509090909090909,0.5178571428571429,0.5,0.5185185185185185,0.5172413793103449,14,14,15,13
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC1,2,0.5721583652618135,0.5714285714285714,0.5714285714285714,0.5517241379310345,0.5925925925925926,0.5517241379310345,16,13,16,11
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC2,2,0.5006385696040868,0.5,0.5,0.4827586206896552,0.5185185185185185,0.4827586206896552,14,15,14,13
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,XG,2,0.5351213282247765,0.5185185185185185,0.5357142857142857,0.5185185185185185,0.5185185185185185,0.5517241379310345,14,13,16,13
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,kNN3,2,0.5376756066411238,0.5517241379310345,0.5357142857142857,0.5161290322580645,0.5925925925925926,0.4827586206896552,16,15,14,11
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,RF,2,0.553639846743295,0.5454545454545454,0.5535714285714286,0.5357142857142857,0.5555555555555556,0.5517241379310345,15,13,16,12
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,NB,3,0.6091954022988505,0.6206896551724138,0.6071428571428571,0.5806451612903226,0.6666666666666666,0.5517241379310345,18,13,16,9
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,LR,3,0.6091954022988505,0.6206896551724138,0.6071428571428571,0.5806451612903226,0.6666666666666666,0.5517241379310345,18,13,16,9
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC1,3,0.5932311621966794,0.6229508196721312,0.5892857142857143,0.5588235294117647,0.7037037037037037,0.4827586206896552,19,15,14,8
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC2,3,0.5747126436781609,0.6,0.5714285714285714,0.5454545454545454,0.6666666666666666,0.4827586206896552,18,15,14,9
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,XG,3,0.623882503192848,0.6037735849056604,0.625,0.6153846153846154,0.5925925925925926,0.6551724137931034,16,10,19,11
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,kNN3,3,0.5363984674329502,0.5357142857142857,0.5357142857142857,0.5172413793103449,0.5555555555555556,0.5172413793103449,15,14,15,12
