modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,NB,1,0.5007002801120448,0.4727272727272727,0.4727272727272727,0.38235294117647056,0.6190476190476191,0.38235294117647056,13,21,13,8
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,LR,1,0.5210084033613445,0.47058823529411764,0.509090909090909,0.4,0.5714285714285714,0.47058823529411764,12,18,16,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,1,0.48039215686274506,0.4745762711864407,0.43636363636363634,0.3684210526315789,0.6666666666666666,0.29411764705882354,14,24,10,7
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,1,0.5007002801120448,0.4727272727272727,0.4727272727272727,0.38235294117647056,0.6190476190476191,0.38235294117647056,13,21,13,8
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,XG,1,0.4278711484593838,0.25641025641025644,0.4727272727272727,0.2777777777777778,0.23809523809523808,0.6176470588235294,5,13,21,16
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,kNN3,1,0.42016806722689076,0.36000000000000004,0.41818181818181815,0.3103448275862069,0.42857142857142855,0.4117647058823529,9,20,14,12
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,RF,1,0.4425770308123249,0.2631578947368421,0.4909090909090909,0.29411764705882354,0.23809523809523808,0.6470588235294118,5,12,22,16
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,NB,2,0.5742296918767508,0.52,0.5636363636363636,0.4482758620689655,0.6190476190476191,0.5294117647058824,13,16,18,8
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,LR,2,0.5357142857142857,0.48000000000000004,0.5272727272727272,0.41379310344827586,0.5714285714285714,0.5,12,17,17,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,2,0.5210084033613445,0.47058823529411764,0.509090909090909,0.4,0.5714285714285714,0.47058823529411764,12,18,16,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,2,0.5448179271708683,0.5,0.5272727272727272,0.41935483870967744,0.6190476190476191,0.47058823529411764,13,18,16,8
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,XG,2,0.4698879551820728,0.3636363636363636,0.4909090909090909,0.34782608695652173,0.38095238095238093,0.5588235294117647,8,15,19,13
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,kNN3,2,0.4236694677871148,0.39999999999999997,0.4,0.3235294117647059,0.5238095238095238,0.3235294117647059,11,23,11,10
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,RF,2,0.4110644257703081,0.3333333333333333,0.41818181818181815,0.2962962962962963,0.38095238095238093,0.4411764705882353,8,19,15,13
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,NB,3,0.5833333333333333,0.5384615384615384,0.5636363636363636,0.45161290322580644,0.6666666666666666,0.5,14,17,17,7
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,LR,3,0.5357142857142857,0.48000000000000004,0.5272727272727272,0.41379310344827586,0.5714285714285714,0.5,12,17,17,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,3,0.4971988795518207,0.44,0.4909090909090909,0.3793103448275862,0.5238095238095238,0.47058823529411764,11,18,16,10
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,3,0.4915966386554621,0.4528301886792453,0.4727272727272727,0.375,0.5714285714285714,0.4117647058823529,12,20,14,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,XG,3,0.4551820728291316,0.35555555555555557,0.4727272727272727,0.3333333333333333,0.38095238095238093,0.5294117647058824,8,16,18,13
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,kNN3,3,0.5448179271708683,0.5,0.5272727272727272,0.41935483870967744,0.6190476190476191,0.47058823529411764,13,18,16,8
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,RF,3,0.44047619047619047,0.34782608695652173,0.45454545454545453,0.32,0.38095238095238093,0.5,8,17,17,13
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,NB,4,0.45308123249299714,0.4150943396226415,0.43636363636363634,0.34375,0.5238095238095238,0.38235294117647056,11,21,13,10
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,LR,4,0.5357142857142857,0.48000000000000004,0.5272727272727272,0.41379310344827586,0.5714285714285714,0.5,12,17,17,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,4,0.3963585434173669,0.32653061224489793,0.4,0.2857142857142857,0.38095238095238093,0.4117647058823529,8,20,14,13
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,4,0.4621848739495798,0.43636363636363634,0.43636363636363634,0.35294117647058826,0.5714285714285714,0.35294117647058826,12,22,12,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,XG,4,0.4313725490196078,0.31818181818181823,0.45454545454545453,0.30434782608695654,0.3333333333333333,0.5294117647058824,7,16,18,14
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,kNN3,4,0.4915966386554621,0.4528301886792453,0.4727272727272727,0.375,0.5714285714285714,0.4117647058823529,12,20,14,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,RF,4,0.37815126050420167,0.26666666666666666,0.4,0.25,0.2857142857142857,0.47058823529411764,6,18,16,15
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,NB,5,0.5651260504201681,0.5,0.5636363636363636,0.4444444444444444,0.5714285714285714,0.5588235294117647,12,15,19,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,LR,5,0.5448179271708683,0.5,0.5272727272727272,0.41935483870967744,0.6190476190476191,0.47058823529411764,13,18,16,8
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,5,0.48809523809523814,0.4166666666666667,0.4909090909090909,0.37037037037037035,0.47619047619047616,0.5,10,17,17,11
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,5,0.5595238095238095,0.5098039215686274,0.5454545454545454,0.43333333333333335,0.6190476190476191,0.5,13,17,17,8
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,XG,5,0.49369747899159666,0.39999999999999997,0.509090909090909,0.375,0.42857142857142855,0.5588235294117647,9,15,19,12
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,kNN3,5,0.4824929971988795,0.4313725490196078,0.4727272727272727,0.36666666666666664,0.5238095238095238,0.4411764705882353,11,19,15,10
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,RF,5,0.5560224089635855,0.4782608695652174,0.5636363636363636,0.44,0.5238095238095238,0.5882352941176471,11,14,20,10
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,NB,6,0.680672268907563,0.6250000000000001,0.6727272727272727,0.5555555555555556,0.7142857142857143,0.6470588235294118,15,12,22,6
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,LR,6,0.5357142857142857,0.48000000000000004,0.5272727272727272,0.41379310344827586,0.5714285714285714,0.5,12,17,17,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,6,0.5469187675070029,0.4545454545454545,0.5636363636363636,0.43478260869565216,0.47619047619047616,0.6176470588235294,10,13,21,11
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,6,0.5210084033613445,0.47058823529411764,0.509090909090909,0.4,0.5714285714285714,0.47058823529411764,12,18,16,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,XG,6,0.5357142857142857,0.48000000000000004,0.5272727272727272,0.41379310344827586,0.5714285714285714,0.5,12,17,17,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,kNN3,6,0.645658263305322,0.6037735849056604,0.6181818181818182,0.5,0.7619047619047619,0.5294117647058824,16,16,18,5
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,RF,6,0.5028011204481793,0.42553191489361697,0.509090909090909,0.38461538461538464,0.47619047619047616,0.5294117647058824,10,16,18,11
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,NB,7,0.5945378151260504,0.5217391304347826,0.6,0.48,0.5714285714285714,0.6176470588235294,12,13,21,9
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,LR,7,0.6127450980392156,0.56,0.6,0.4827586206896552,0.6666666666666666,0.5588235294117647,14,15,19,7
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,7,0.600140056022409,0.5116279069767442,0.6181818181818182,0.5,0.5238095238095238,0.6764705882352942,11,11,23,10
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,7,0.6274509803921569,0.5714285714285715,0.6181818181818182,0.5,0.6666666666666666,0.5882352941176471,14,14,20,7
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,XG,7,0.5175070028011205,0.43478260869565216,0.5272727272727272,0.4,0.47619047619047616,0.5588235294117647,10,15,19,11
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,kNN3,7,0.6603641456582633,0.6153846153846153,0.6363636363636364,0.5161290322580645,0.7619047619047619,0.5588235294117647,16,15,19,5
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,RF,7,0.5322128851540616,0.4444444444444445,0.5454545454545454,0.4166666666666667,0.47619047619047616,0.5882352941176471,10,14,20,11
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,NB,8,0.5707282913165266,0.4888888888888889,0.5818181818181818,0.4583333333333333,0.5238095238095238,0.6176470588235294,11,13,21,10
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,LR,8,0.5560224089635855,0.4782608695652174,0.5636363636363636,0.44,0.5238095238095238,0.5882352941176471,11,14,20,10
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC1,8,0.49369747899159666,0.39999999999999997,0.509090909090909,0.375,0.42857142857142855,0.5588235294117647,9,15,19,12
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,SVC2,8,0.6036414565826331,0.5416666666666666,0.6,0.48148148148148145,0.6190476190476191,0.5882352941176471,13,14,20,8
emu_audio_open_uncleaned_gender,gad,10,etc,loo,regular_oversampling,XG,8,0.5175070028011205,0.43478260869565216,0.5272727272727272,0.4,0.47619047619047616,0.5588235294117647,10,15,19,11
