modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,NB,1,0.7841634738186463,0.7692307692307692,0.7857142857142857,0.8,0.7407407407407407,0.8275862068965517,20,5,24,7
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,LR,1,0.8199233716475095,0.8076923076923077,0.8214285714285714,0.84,0.7777777777777778,0.8620689655172413,21,4,25,6
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC1,1,0.8397190293742018,0.8363636363636364,0.8392857142857143,0.8214285714285714,0.8518518518518519,0.8275862068965517,23,5,24,4
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC2,1,0.8199233716475095,0.8076923076923077,0.8214285714285714,0.84,0.7777777777777778,0.8620689655172413,21,4,25,6
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,XG,1,0.7126436781609194,0.6923076923076923,0.7142857142857143,0.72,0.6666666666666666,0.7586206896551724,18,7,22,9
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,kNN3,1,0.7854406130268199,0.7777777777777778,0.7857142857142857,0.7777777777777778,0.7777777777777778,0.7931034482758621,21,6,23,6
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,RF,1,0.7126436781609194,0.6923076923076923,0.7142857142857143,0.72,0.6666666666666666,0.7586206896551724,18,7,22,9
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,NB,2,0.7484035759897829,0.7307692307692308,0.75,0.76,0.7037037037037037,0.7931034482758621,19,6,23,8
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,LR,2,0.8384418901660281,0.830188679245283,0.8392857142857143,0.8461538461538461,0.8148148148148148,0.8620689655172413,22,4,25,5
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC1,2,0.8384418901660281,0.830188679245283,0.8392857142857143,0.8461538461538461,0.8148148148148148,0.8620689655172413,22,4,25,5
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,SVC2,2,0.8371647509578544,0.823529411764706,0.8392857142857143,0.875,0.7777777777777778,0.896551724137931,21,3,26,6
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,XG,2,0.8212005108556832,0.8148148148148148,0.8214285714285714,0.8148148148148148,0.8148148148148148,0.8275862068965517,22,5,24,5
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,kNN3,2,0.8039591315453385,0.7999999999999999,0.8035714285714286,0.7857142857142857,0.8148148148148148,0.7931034482758621,22,6,23,5
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,RF,2,0.7656449553001277,0.7450980392156864,0.7678571428571429,0.7916666666666666,0.7037037037037037,0.8275862068965517,19,5,24,8
emu_audio_closed_cleaned_gender,phq,10,etc,loo,regular_oversampling,NB,3,0.8026819923371648,0.7924528301886792,0.8035714285714286,0.8076923076923077,0.7777777777777778,0.8275862068965517,21,5,24,6
