modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,NB,1,0.8403361344537814,0.7999999999999999,0.8363636363636363,0.75,0.8571428571428571,0.8235294117647058,18,6,28,3
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,LR,1,0.8550420168067226,0.8181818181818182,0.8545454545454545,0.782608695652174,0.8571428571428571,0.8529411764705882,18,5,29,3
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,SVC1,1,0.8459383753501399,0.8095238095238095,0.8545454545454545,0.8095238095238095,0.8095238095238095,0.8823529411764706,17,4,30,4
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,SVC2,1,0.8312324929971988,0.7906976744186046,0.8363636363636363,0.7727272727272727,0.8095238095238095,0.8529411764705882,17,5,29,4
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,XG,1,0.8165266106442577,0.7727272727272727,0.8181818181818182,0.7391304347826086,0.8095238095238095,0.8235294117647058,17,6,28,4
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,kNN3,1,0.7485994397759104,0.6956521739130435,0.7454545454545455,0.64,0.7619047619047619,0.7352941176470589,16,9,25,5
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,RF,1,0.7689075630252101,0.7142857142857143,0.7818181818181819,0.7142857142857143,0.7142857142857143,0.8235294117647058,15,6,28,6
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,NB,2,0.8403361344537814,0.7999999999999999,0.8363636363636363,0.75,0.8571428571428571,0.8235294117647058,18,6,28,3
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,LR,2,0.8403361344537814,0.7999999999999999,0.8363636363636363,0.75,0.8571428571428571,0.8235294117647058,18,6,28,3
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,SVC1,2,0.8697478991596639,0.8372093023255814,0.8727272727272727,0.8181818181818182,0.8571428571428571,0.8823529411764706,18,4,30,3
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,SVC2,2,0.8165266106442577,0.7727272727272727,0.8181818181818182,0.7391304347826086,0.8095238095238095,0.8235294117647058,17,6,28,4
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,XG,2,0.7927170868347339,0.7441860465116279,0.8,0.7272727272727273,0.7619047619047619,0.8235294117647058,16,6,28,5
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,kNN3,2,0.7780112044817927,0.7272727272727272,0.7818181818181819,0.6956521739130435,0.7619047619047619,0.7941176470588235,16,7,27,5
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,RF,2,0.7598039215686274,0.7,0.7818181818181819,0.7368421052631579,0.6666666666666666,0.8529411764705882,14,5,29,7
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,NB,3,0.8165266106442577,0.7727272727272727,0.8181818181818182,0.7391304347826086,0.8095238095238095,0.8235294117647058,17,6,28,4
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,LR,3,0.8165266106442577,0.7727272727272727,0.8181818181818182,0.7391304347826086,0.8095238095238095,0.8235294117647058,17,6,28,4
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,SVC1,3,0.8459383753501399,0.8095238095238095,0.8545454545454545,0.8095238095238095,0.8095238095238095,0.8823529411764706,17,4,30,4
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,SVC2,3,0.8312324929971988,0.7906976744186046,0.8363636363636363,0.7727272727272727,0.8095238095238095,0.8529411764705882,17,5,29,4
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,XG,3,0.8074229691876751,0.7619047619047619,0.8181818181818182,0.7619047619047619,0.7619047619047619,0.8529411764705882,16,5,29,5
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,kNN3,3,0.7247899159663866,0.6666666666666666,0.7272727272727273,0.625,0.7142857142857143,0.7352941176470589,15,9,25,6
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,RF,3,0.8130252100840336,0.7692307692307692,0.8363636363636363,0.8333333333333334,0.7142857142857143,0.9117647058823529,15,3,31,6
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,NB,4,0.8018207282913167,0.7555555555555556,0.8,0.7083333333333334,0.8095238095238095,0.7941176470588235,17,7,27,4
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,LR,4,0.8018207282913167,0.7555555555555556,0.8,0.7083333333333334,0.8095238095238095,0.7941176470588235,17,7,27,4
emu_audio_open_uncleaned_gender,gad,10,pca,loo,regular_oversampling,SVC1,4,0.8312324929971988,0.7906976744186046,0.8363636363636363,0.7727272727272727,0.8095238095238095,0.8529411764705882,17,5,29,4
