modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,NB,1,0.41904761904761906,0.25,0.4642857142857143,0.2631578947368421,0.23809523809523808,0.6,5,14,21,16
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,LR,1,0.5238095238095238,0.43478260869565216,0.5357142857142857,0.4,0.47619047619047616,0.5714285714285714,10,15,20,11
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,SVC1,1,0.5095238095238096,0.42553191489361697,0.5178571428571429,0.38461538461538464,0.47619047619047616,0.5428571428571428,10,16,19,11
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,SVC2,1,0.3571428571428571,0.25531914893617025,0.375,0.23076923076923078,0.2857142857142857,0.42857142857142855,6,20,15,15
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,XG,1,0.43809523809523815,0.31818181818181823,0.4642857142857143,0.30434782608695654,0.3333333333333333,0.5428571428571428,7,16,19,14
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,kNN3,1,0.43333333333333335,0.3404255319148936,0.44642857142857145,0.3076923076923077,0.38095238095238093,0.4857142857142857,8,18,17,13
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,RF,1,0.49047619047619045,0.37209302325581395,0.5178571428571429,0.36363636363636365,0.38095238095238093,0.6,8,14,21,13
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,NB,2,0.4238095238095238,0.2162162162162162,0.48214285714285715,0.25,0.19047619047619047,0.6571428571428571,4,12,23,17
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,LR,2,0.5047619047619047,0.38095238095238093,0.5357142857142857,0.38095238095238093,0.38095238095238093,0.6285714285714286,8,13,22,13
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,SVC1,2,0.5476190476190476,0.41025641025641024,0.5892857142857143,0.4444444444444444,0.38095238095238093,0.7142857142857143,8,10,25,13
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,SVC2,2,0.49999999999999994,0.3243243243243243,0.5535714285714286,0.375,0.2857142857142857,0.7142857142857143,6,10,25,15
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,XG,2,0.45238095238095233,0.3255813953488372,0.48214285714285715,0.3181818181818182,0.3333333333333333,0.5714285714285714,7,15,20,14
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,kNN3,2,0.36190476190476195,0.22727272727272724,0.39285714285714285,0.21739130434782608,0.23809523809523808,0.4857142857142857,5,18,17,16
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,RF,2,0.42857142857142855,0.2857142857142857,0.4642857142857143,0.2857142857142857,0.2857142857142857,0.5714285714285714,6,15,20,15
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,NB,3,0.4904761904761905,0.2857142857142857,0.5535714285714286,0.35714285714285715,0.23809523809523808,0.7428571428571429,5,9,26,16
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,LR,3,0.5476190476190476,0.41025641025641024,0.5892857142857143,0.4444444444444444,0.38095238095238093,0.7142857142857143,8,10,25,13
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,SVC1,3,0.48571428571428565,0.31578947368421056,0.5357142857142857,0.35294117647058826,0.2857142857142857,0.6857142857142857,6,11,24,15
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,SVC2,3,0.4523809523809524,0.22857142857142854,0.5178571428571429,0.2857142857142857,0.19047619047619047,0.7142857142857143,4,10,25,17
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,XG,3,0.4571428571428571,0.3,0.5,0.3157894736842105,0.2857142857142857,0.6285714285714286,6,13,22,15
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,kNN3,3,0.4809523809523809,0.3414634146341463,0.5178571428571429,0.35,0.3333333333333333,0.6285714285714286,7,13,22,14
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,RF,3,0.4761904761904762,0.2777777777777778,0.5357142857142857,0.3333333333333333,0.23809523809523808,0.7142857142857143,5,10,25,16
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,NB,4,0.4380952380952381,0.2222222222222222,0.5,0.26666666666666666,0.19047619047619047,0.6857142857142857,4,11,24,17
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,LR,4,0.4666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.6,7,14,21,14
emu_audio_closed_cleaned_gender,q9,1,etc,loo,regular_oversampling,SVC1,4,0.49999999999999994,0.3243243243243243,0.5535714285714286,0.375,0.2857142857142857,0.7142857142857143,6,10,25,15
