modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,NB,1,0.512993762993763,0.33333333333333337,0.5555555555555556,0.4375,0.2692307692307692,0.7567567567567568,7,9,28,19
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,LR,1,0.510914760914761,0.3829787234042554,0.5396825396825397,0.42857142857142855,0.34615384615384615,0.6756756756756757,9,12,25,17
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,SVC1,1,0.5358627858627859,0.43999999999999995,0.5555555555555556,0.4583333333333333,0.4230769230769231,0.6486486486486487,11,13,24,15
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,SVC2,1,0.512993762993763,0.33333333333333337,0.5555555555555556,0.4375,0.2692307692307692,0.7567567567567568,7,9,28,19
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,XG,1,0.3856548856548857,0.24489795918367346,0.4126984126984127,0.2608695652173913,0.23076923076923078,0.5405405405405406,6,17,20,20
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,kNN3,1,0.5088357588357588,0.4230769230769231,0.5238095238095238,0.4230769230769231,0.4230769230769231,0.5945945945945946,11,15,22,15
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,RF,1,0.36070686070686064,0.17391304347826086,0.3968253968253968,0.2,0.15384615384615385,0.5675675675675675,4,16,21,22
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,NB,2,0.4994802494802495,0.3255813953488372,0.5396825396825397,0.4117647058823529,0.2692307692307692,0.7297297297297297,7,10,27,19
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,LR,2,0.512993762993763,0.33333333333333337,0.5555555555555556,0.4375,0.2692307692307692,0.7567567567567568,7,9,28,19
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,SVC1,2,0.5358627858627859,0.43999999999999995,0.5555555555555556,0.4583333333333333,0.4230769230769231,0.6486486486486487,11,13,24,15
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,SVC2,2,0.48232848232848224,0.21621621621621623,0.5396825396825397,0.36363636363636365,0.15384615384615385,0.8108108108108109,4,7,30,22
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,XG,2,0.503118503118503,0.4,0.5238095238095238,0.4166666666666667,0.38461538461538464,0.6216216216216216,10,14,23,16
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,kNN3,2,0.5088357588357588,0.4230769230769231,0.5238095238095238,0.4230769230769231,0.4230769230769231,0.5945945945945946,11,15,22,15
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,RF,2,0.5530145530145529,0.5,0.5555555555555556,0.4666666666666667,0.5384615384615384,0.5675675675675675,14,16,21,12
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,NB,3,0.58991683991684,0.47826086956521735,0.6190476190476191,0.55,0.4230769230769231,0.7567567567567568,11,9,28,15
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,LR,3,0.4838877338877339,0.36734693877551017,0.5079365079365079,0.391304347826087,0.34615384615384615,0.6216216216216216,9,14,23,17
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,SVC1,3,0.5608108108108109,0.49056603773584906,0.5714285714285714,0.48148148148148145,0.5,0.6216216216216216,13,14,23,13
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,SVC2,3,0.5265072765072765,0.3414634146341463,0.5714285714285714,0.4666666666666667,0.2692307692307692,0.7837837837837838,7,8,29,19
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,XG,3,0.5415800415800416,0.46153846153846156,0.5555555555555556,0.46153846153846156,0.46153846153846156,0.6216216216216216,12,14,23,14
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,kNN3,3,0.5472972972972973,0.4814814814814815,0.5555555555555556,0.4642857142857143,0.5,0.5945945945945946,13,15,22,13
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,RF,3,0.5878378378378379,0.5098039215686274,0.6031746031746031,0.52,0.5,0.6756756756756757,13,12,25,13
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,NB,4,0.6148648648648648,0.5306122448979592,0.6349206349206349,0.5652173913043478,0.5,0.7297297297297297,13,10,27,13
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,LR,4,0.6127858627858628,0.5555555555555555,0.6190476190476191,0.5357142857142857,0.5769230769230769,0.6486486486486487,15,13,24,11
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,SVC1,4,0.5800415800415799,0.5185185185185186,0.5873015873015873,0.5,0.5384615384615384,0.6216216216216216,14,14,23,12
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,SVC2,4,0.5706860706860707,0.4444444444444444,0.6031746031746031,0.5263157894736842,0.38461538461538464,0.7567567567567568,10,9,28,16
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,XG,4,0.6340956340956341,0.5599999999999999,0.6507936507936508,0.5833333333333334,0.5384615384615384,0.7297297297297297,14,10,27,12
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,kNN3,4,0.5010395010395011,0.43636363636363634,0.5079365079365079,0.41379310344827586,0.46153846153846156,0.5405405405405406,12,17,20,14
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,RF,4,0.5800415800415799,0.5185185185185186,0.5873015873015873,0.5,0.5384615384615384,0.6216216216216216,14,14,23,12
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,NB,5,0.6533264033264033,0.5882352941176471,0.6666666666666666,0.6,0.5769230769230769,0.7297297297297297,15,10,27,11
emu_audio_closed_uncleaned_gender,q9,1,etc,loo,regular_oversampling,LR,5,0.5608108108108109,0.49056603773584906,0.5714285714285714,0.48148148148148145,0.5,0.6216216216216216,13,14,23,13
