modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,NB,1,0.5227272727272727,0.21428571428571427,0.6,0.5,0.13636363636363635,0.9090909090909091,3,3,30,19
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,LR,1,0.5833333333333334,0.4117647058823529,0.6363636363636364,0.5833333333333334,0.3181818181818182,0.8484848484848485,7,5,28,15
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC1,1,0.4848484848484848,0.14285714285714288,0.5636363636363636,0.3333333333333333,0.09090909090909091,0.8787878787878788,2,4,29,20
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC2,1,0.5075757575757576,0.08333333333333334,0.6,0.5,0.045454545454545456,0.9696969696969697,1,1,32,21
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,XG,1,0.5,0.380952380952381,0.5272727272727272,0.4,0.36363636363636365,0.6363636363636364,8,12,21,14
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,kNN3,1,0.5833333333333334,0.5,0.6,0.5,0.5,0.6666666666666666,11,11,22,11
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,RF,1,0.4772727272727273,0.3414634146341463,0.509090909090909,0.3684210526315789,0.3181818181818182,0.6363636363636364,7,12,21,15
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,NB,2,0.5151515151515151,0.33333333333333326,0.5636363636363636,0.42857142857142855,0.2727272727272727,0.7575757575757576,6,8,25,16
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,LR,2,0.4015151515151515,0.30434782608695654,0.41818181818181815,0.2916666666666667,0.3181818181818182,0.48484848484848486,7,17,16,15
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC1,2,0.34090909090909094,0.22222222222222224,0.36363636363636365,0.21739130434782608,0.22727272727272727,0.45454545454545453,5,18,15,17
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC2,2,0.3787878787878788,0.2666666666666666,0.4,0.2608695652173913,0.2727272727272727,0.48484848484848486,6,17,16,16
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,XG,2,0.37121212121212116,0.2916666666666667,0.38181818181818183,0.2692307692307692,0.3181818181818182,0.42424242424242425,7,19,14,15
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,kNN3,2,0.4696969696969697,0.40816326530612246,0.4727272727272727,0.37037037037037035,0.45454545454545453,0.48484848484848486,10,17,16,12
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,RF,2,0.43181818181818177,0.3181818181818182,0.45454545454545453,0.3181818181818182,0.3181818181818182,0.5454545454545454,7,15,18,15
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,NB,3,0.5151515151515152,0.3902439024390244,0.5454545454545454,0.42105263157894735,0.36363636363636365,0.6666666666666666,8,11,22,14
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,LR,3,0.45454545454545453,0.3555555555555555,0.4727272727272727,0.34782608695652173,0.36363636363636365,0.5454545454545454,8,15,18,14
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC1,3,0.45454545454545453,0.3555555555555555,0.4727272727272727,0.34782608695652173,0.36363636363636365,0.5454545454545454,8,15,18,14
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC2,3,0.46969696969696967,0.36363636363636365,0.4909090909090909,0.36363636363636365,0.36363636363636365,0.5757575757575758,8,14,19,14
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,XG,3,0.41666666666666663,0.31111111111111117,0.43636363636363634,0.30434782608695654,0.3181818181818182,0.5151515151515151,7,16,17,15
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,kNN3,3,0.6666666666666667,0.6274509803921569,0.6545454545454545,0.5517241379310345,0.7272727272727273,0.6060606060606061,16,13,20,6
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,RF,3,0.4924242424242425,0.35000000000000003,0.5272727272727272,0.3888888888888889,0.3181818181818182,0.6666666666666666,7,11,22,15
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,NB,4,0.5151515151515152,0.3902439024390244,0.5454545454545454,0.42105263157894735,0.36363636363636365,0.6666666666666666,8,11,22,14
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,LR,4,0.4924242424242424,0.4,0.509090909090909,0.391304347826087,0.4090909090909091,0.5757575757575758,9,14,19,13
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC1,4,0.5454545454545454,0.45454545454545453,0.5636363636363636,0.45454545454545453,0.45454545454545453,0.6363636363636364,10,12,21,12
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC2,4,0.537878787878788,0.4285714285714286,0.5636363636363636,0.45,0.4090909090909091,0.6666666666666666,9,11,22,13
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,XG,4,0.4924242424242424,0.4,0.509090909090909,0.391304347826087,0.4090909090909091,0.5757575757575758,9,14,19,13
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,kNN3,4,0.6287878787878789,0.5652173913043478,0.6363636363636364,0.5416666666666666,0.5909090909090909,0.6666666666666666,13,11,22,9
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,RF,4,0.45454545454545453,0.3555555555555555,0.4727272727272727,0.34782608695652173,0.36363636363636365,0.5454545454545454,8,15,18,14
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,NB,5,0.5454545454545455,0.41025641025641024,0.5818181818181818,0.47058823529411764,0.36363636363636365,0.7272727272727273,8,9,24,14
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,LR,5,0.5833333333333334,0.5,0.6,0.5,0.5,0.6666666666666666,11,11,22,11
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC1,5,0.5833333333333334,0.5,0.6,0.5,0.5,0.6666666666666666,11,11,22,11
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC2,5,0.5984848484848485,0.5116279069767442,0.6181818181818182,0.5238095238095238,0.5,0.696969696969697,11,10,23,11
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,XG,5,0.46212121212121215,0.3829787234042554,0.4727272727272727,0.36,0.4090909090909091,0.5151515151515151,9,16,17,13
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,kNN3,5,0.5454545454545454,0.45454545454545453,0.5636363636363636,0.45454545454545453,0.45454545454545453,0.6363636363636364,10,12,21,12
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,RF,5,0.4696969696969697,0.40816326530612246,0.4727272727272727,0.37037037037037035,0.45454545454545453,0.48484848484848486,10,17,16,12
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,NB,6,0.5757575757575757,0.43243243243243246,0.6181818181818182,0.5333333333333333,0.36363636363636365,0.7878787878787878,8,7,26,14
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,LR,6,0.5606060606060607,0.46511627906976744,0.5818181818181818,0.47619047619047616,0.45454545454545453,0.6666666666666666,10,11,22,12
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC1,6,0.6363636363636364,0.5581395348837208,0.6545454545454545,0.5714285714285714,0.5454545454545454,0.7272727272727273,12,9,24,10
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,SVC2,6,0.5530303030303031,0.43902439024390244,0.5818181818181818,0.47368421052631576,0.4090909090909091,0.696969696969697,9,10,23,13
emu_audio_open_uncleaned_gender,q9,1,chi2,loo,regular_oversampling,XG,6,0.4696969696969697,0.40816326530612246,0.4727272727272727,0.37037037037037035,0.45454545454545453,0.48484848484848486,10,17,16,12
