modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,1,0.857358870967742,0.8571428571428571,0.8571428571428571,0.8709677419354839,0.84375,0.8709677419354839,27,4,27,5
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,1,0.857358870967742,0.8571428571428571,0.8571428571428571,0.8709677419354839,0.84375,0.8709677419354839,27,4,27,5
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,1,0.8412298387096774,0.84375,0.8412698412698413,0.84375,0.84375,0.8387096774193549,27,5,26,5
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,1,0.857358870967742,0.8571428571428571,0.8571428571428571,0.8709677419354839,0.84375,0.8709677419354839,27,4,27,5
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,1,0.8876008064516129,0.8985507246376812,0.8888888888888888,0.8378378378378378,0.96875,0.8064516129032258,31,6,25,1
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,1,0.8876008064516129,0.8985507246376812,0.8888888888888888,0.8378378378378378,0.96875,0.8064516129032258,31,6,25,1
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,1,0.8876008064516129,0.8985507246376812,0.8888888888888888,0.8378378378378378,0.96875,0.8064516129032258,31,6,25,1
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,2,0.8104838709677419,0.7999999999999999,0.8095238095238095,0.8571428571428571,0.75,0.8709677419354839,24,4,27,8
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,2,0.8104838709677419,0.7999999999999999,0.8095238095238095,0.8571428571428571,0.75,0.8709677419354839,24,4,27,8
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,2,0.7782258064516128,0.7741935483870969,0.7777777777777778,0.8,0.75,0.8064516129032258,24,6,25,8
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,2,0.826108870967742,0.8196721311475409,0.8253968253968254,0.8620689655172413,0.78125,0.8709677419354839,25,4,27,7
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,2,0.7620967741935484,0.7619047619047619,0.7619047619047619,0.7741935483870968,0.75,0.7741935483870968,24,7,24,8
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,2,0.8099798387096774,0.8064516129032259,0.8095238095238095,0.8333333333333334,0.78125,0.8387096774193549,25,5,26,7
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,2,0.8089717741935484,0.8181818181818182,0.8095238095238095,0.7941176470588235,0.84375,0.7741935483870968,27,7,24,5
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,3,0.858366935483871,0.847457627118644,0.8571428571428571,0.9259259259259259,0.78125,0.9354838709677419,25,2,29,7
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,3,0.8417338709677419,0.8387096774193549,0.8412698412698413,0.8666666666666667,0.8125,0.8709677419354839,26,4,27,6
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,3,0.8422379032258065,0.8333333333333334,0.8412698412698413,0.8928571428571429,0.78125,0.9032258064516129,25,3,28,7
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,3,0.8734879032258064,0.870967741935484,0.873015873015873,0.9,0.84375,0.9032258064516129,27,3,28,5
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,3,0.8251008064516129,0.8307692307692308,0.8253968253968254,0.8181818181818182,0.84375,0.8064516129032258,27,6,25,5
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,3,0.857358870967742,0.8571428571428571,0.8571428571428571,0.8709677419354839,0.84375,0.8709677419354839,27,4,27,5
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,3,0.8412298387096774,0.84375,0.8412698412698413,0.84375,0.84375,0.8387096774193549,27,5,26,5
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,4,0.6229838709677419,0.5,0.6190476190476191,0.75,0.375,0.8709677419354839,12,4,27,20
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,4,0.8099798387096774,0.8064516129032259,0.8095238095238095,0.8333333333333334,0.78125,0.8387096774193549,25,5,26,7
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,4,0.8578629032258064,0.8524590163934426,0.8571428571428571,0.896551724137931,0.8125,0.9032258064516129,26,3,28,6
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,4,0.8739919354838711,0.8666666666666666,0.873015873015873,0.9285714285714286,0.8125,0.9354838709677419,26,2,29,6
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,4,0.8402217741935484,0.8529411764705882,0.8412698412698413,0.8055555555555556,0.90625,0.7741935483870968,29,7,24,3
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,4,0.8734879032258064,0.870967741935484,0.873015873015873,0.9,0.84375,0.9032258064516129,27,3,28,5
emu_audio_closed_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,4,0.888608870967742,0.8923076923076922,0.8888888888888888,0.8787878787878788,0.90625,0.8709677419354839,29,4,27,3
