modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,NB,1,0.592741935483871,0.38095238095238093,0.5873015873015873,0.8,0.25,0.9354838709677419,8,2,29,24
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,LR,1,0.5715725806451613,0.5714285714285715,0.5714285714285714,0.5806451612903226,0.5625,0.5806451612903226,18,13,18,14
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC1,1,0.5257056451612903,0.46428571428571425,0.5238095238095238,0.5416666666666666,0.40625,0.6451612903225806,13,11,20,19
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC2,1,0.5730846774193549,0.5263157894736842,0.5714285714285714,0.6,0.46875,0.6774193548387096,15,10,21,17
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,XG,1,0.49193548387096775,0.5,0.49206349206349204,0.5,0.5,0.4838709677419355,16,16,15,16
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,kNN3,1,0.5398185483870968,0.5396825396825397,0.5396825396825397,0.5483870967741935,0.53125,0.5483870967741935,17,14,17,15
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,RF,1,0.46018145161290325,0.46875,0.4603174603174603,0.46875,0.46875,0.45161290322580644,15,17,14,17
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,NB,2,0.5766129032258064,0.37209302325581395,0.5714285714285714,0.7272727272727273,0.25,0.9032258064516129,8,3,28,24
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,LR,2,0.5710685483870968,0.5846153846153846,0.5714285714285714,0.5757575757575758,0.59375,0.5483870967741935,19,14,17,13
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC1,2,0.5544354838709677,0.5882352941176471,0.5555555555555556,0.5555555555555556,0.625,0.4838709677419355,20,16,15,12
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC2,2,0.5710685483870968,0.5846153846153846,0.5714285714285714,0.5757575757575758,0.59375,0.5483870967741935,19,14,17,13
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,XG,2,0.49243951612903225,0.4838709677419355,0.49206349206349204,0.5,0.46875,0.5161290322580645,15,15,16,17
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,kNN3,2,0.4627016129032258,0.3703703703703703,0.4603174603174603,0.45454545454545453,0.3125,0.6129032258064516,10,12,19,22
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,RF,2,0.5403225806451613,0.5245901639344263,0.5396825396825397,0.5517241379310345,0.5,0.5806451612903226,16,13,18,16
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,NB,3,0.5766129032258064,0.37209302325581395,0.5714285714285714,0.7272727272727273,0.25,0.9032258064516129,8,3,28,24
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,LR,3,0.5871975806451613,0.59375,0.5873015873015873,0.59375,0.59375,0.5806451612903226,19,13,18,13
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC1,3,0.5388104838709677,0.5671641791044776,0.5396825396825397,0.5428571428571428,0.59375,0.4838709677419355,19,16,15,13
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC2,3,0.5866935483870968,0.6060606060606061,0.5873015873015873,0.5882352941176471,0.625,0.5483870967741935,20,14,17,12
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,XG,3,0.41330645161290325,0.3934426229508197,0.4126984126984127,0.41379310344827586,0.375,0.45161290322580644,12,17,14,20
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,kNN3,3,0.4944556451612903,0.4074074074074074,0.49206349206349204,0.5,0.34375,0.6451612903225806,11,11,20,21
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,RF,3,0.5090725806451613,0.47457627118644063,0.5079365079365079,0.5185185185185185,0.4375,0.5806451612903226,14,13,18,18
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,NB,4,0.5105846774193549,0.4150943396226415,0.5079365079365079,0.5238095238095238,0.34375,0.6774193548387096,11,10,21,21
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,LR,4,0.5710685483870968,0.5846153846153846,0.5714285714285714,0.5757575757575758,0.59375,0.5483870967741935,19,14,17,13
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC1,4,0.6169354838709677,0.6666666666666665,0.6190476190476191,0.6,0.75,0.4838709677419355,24,16,15,8
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC2,4,0.5549395161290323,0.5757575757575757,0.5555555555555556,0.5588235294117647,0.59375,0.5161290322580645,19,15,16,13
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,XG,4,0.46068548387096775,0.45161290322580644,0.4603174603174603,0.4666666666666667,0.4375,0.4838709677419355,14,16,15,18
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,kNN3,4,0.5892137096774195,0.5357142857142857,0.5873015873015873,0.625,0.46875,0.7096774193548387,15,9,22,17
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,RF,4,0.5871975806451613,0.59375,0.5873015873015873,0.59375,0.59375,0.5806451612903226,19,13,18,13
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,NB,5,0.5604838709677419,0.36363636363636365,0.5555555555555556,0.6666666666666666,0.25,0.8709677419354839,8,4,27,24
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,LR,5,0.5393145161290323,0.5538461538461538,0.5396825396825397,0.5454545454545454,0.5625,0.5161290322580645,18,15,16,14
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC1,5,0.5393145161290323,0.5538461538461538,0.5396825396825397,0.5454545454545454,0.5625,0.5161290322580645,18,15,16,14
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC2,5,0.5388104838709677,0.5671641791044776,0.5396825396825397,0.5428571428571428,0.59375,0.4838709677419355,19,16,15,13
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,XG,5,0.5871975806451613,0.59375,0.5873015873015873,0.59375,0.59375,0.5806451612903226,19,13,18,13
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,kNN3,5,0.4627016129032258,0.3703703703703703,0.4603174603174603,0.45454545454545453,0.3125,0.6129032258064516,10,12,19,22
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,RF,5,0.5564516129032259,0.5333333333333333,0.5555555555555556,0.5714285714285714,0.5,0.6129032258064516,16,12,19,16
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,NB,6,0.6542338709677419,0.56,0.6507936507936508,0.7777777777777778,0.4375,0.8709677419354839,14,4,27,18
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,LR,6,0.5710685483870968,0.5846153846153846,0.5714285714285714,0.5757575757575758,0.59375,0.5483870967741935,19,14,17,13
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC1,6,0.5231854838709677,0.5454545454545455,0.5238095238095238,0.5294117647058824,0.5625,0.4838709677419355,18,16,15,14
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC2,6,0.5226814516129032,0.5588235294117648,0.5238095238095238,0.5277777777777778,0.59375,0.45161290322580644,19,17,14,13
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,XG,6,0.5715725806451613,0.5714285714285715,0.5714285714285714,0.5806451612903226,0.5625,0.5806451612903226,18,13,18,14
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,kNN3,6,0.47782258064516125,0.42105263157894735,0.47619047619047616,0.48,0.375,0.5806451612903226,12,13,18,20
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,RF,6,0.5564516129032259,0.5333333333333333,0.5555555555555556,0.5714285714285714,0.5,0.6129032258064516,16,12,19,16
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,NB,7,0.6542338709677419,0.56,0.6507936507936508,0.7777777777777778,0.4375,0.8709677419354839,14,4,27,18
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,LR,7,0.5715725806451613,0.5714285714285715,0.5714285714285714,0.5806451612903226,0.5625,0.5806451612903226,18,13,18,14
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC1,7,0.5393145161290323,0.5538461538461538,0.5396825396825397,0.5454545454545454,0.5625,0.5161290322580645,18,15,16,14
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC2,7,0.47580645161290325,0.49230769230769234,0.47619047619047616,0.48484848484848486,0.5,0.45161290322580644,16,17,14,16
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,XG,7,0.5393145161290323,0.5538461538461538,0.5396825396825397,0.5454545454545454,0.5625,0.5161290322580645,18,15,16,14
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,kNN3,7,0.5236895161290323,0.53125,0.5238095238095238,0.53125,0.53125,0.5161290322580645,17,15,16,15
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,RF,7,0.5070564516129032,0.5373134328358209,0.5079365079365079,0.5142857142857142,0.5625,0.45161290322580644,18,17,14,14
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,NB,8,0.6224798387096774,0.52,0.6190476190476191,0.7222222222222222,0.40625,0.8387096774193549,13,5,26,19
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,LR,8,0.46018145161290325,0.46875,0.4603174603174603,0.46875,0.46875,0.45161290322580644,15,17,14,17
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC1,8,0.5882056451612904,0.5666666666666667,0.5873015873015873,0.6071428571428571,0.53125,0.6451612903225806,17,11,20,15
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,SVC2,8,0.5252016129032259,0.4827586206896552,0.5238095238095238,0.5384615384615384,0.4375,0.6129032258064516,14,12,19,18
emu_audio_closed_uncleaned_demographic_gad,phq,10,pca,loo,regular_oversampling,XG,8,0.5549395161290323,0.5757575757575757,0.5555555555555556,0.5588235294117647,0.59375,0.5161290322580645,19,15,16,13
