modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,NB,1,0.8682795698924731,0.8333333333333334,0.8775510204081632,0.8333333333333334,0.8333333333333334,0.9032258064516129,15,3,28,3
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,LR,1,0.8682795698924731,0.8333333333333334,0.8775510204081632,0.8333333333333334,0.8333333333333334,0.9032258064516129,15,3,28,3
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,SVC1,1,0.8682795698924731,0.8333333333333334,0.8775510204081632,0.8333333333333334,0.8333333333333334,0.9032258064516129,15,3,28,3
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,SVC2,1,0.8682795698924731,0.8333333333333334,0.8775510204081632,0.8333333333333334,0.8333333333333334,0.9032258064516129,15,3,28,3
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,XG,1,0.8037634408602151,0.7499999999999999,0.7959183673469388,0.6818181818181818,0.8333333333333334,0.7741935483870968,15,7,24,3
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,kNN3,1,0.8082437275985663,0.7567567567567567,0.8163265306122449,0.7368421052631579,0.7777777777777778,0.8387096774193549,14,5,26,4
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,RF,1,0.7921146953405017,0.7368421052631577,0.7959183673469388,0.7,0.7777777777777778,0.8064516129032258,14,6,25,4
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,NB,2,0.692652329749104,0.6111111111111112,0.7142857142857143,0.6111111111111112,0.6111111111111112,0.7741935483870968,11,7,24,7
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,LR,2,0.7876344086021506,0.7317073170731708,0.7755102040816326,0.6521739130434783,0.8333333333333334,0.7419354838709677,15,8,23,3
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,SVC1,2,0.8082437275985663,0.7567567567567567,0.8163265306122449,0.7368421052631579,0.7777777777777778,0.8387096774193549,14,5,26,4
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,SVC2,2,0.8315412186379927,0.7804878048780488,0.8163265306122449,0.6956521739130435,0.8888888888888888,0.7741935483870968,16,7,24,2
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,XG,2,0.7526881720430106,0.6857142857142857,0.7755102040816326,0.7058823529411765,0.6666666666666666,0.8387096774193549,12,5,26,6
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,kNN3,2,0.7159498207885305,0.65,0.7142857142857143,0.5909090909090909,0.7222222222222222,0.7096774193548387,13,9,22,5
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,RF,2,0.736559139784946,0.6666666666666666,0.7551020408163265,0.6666666666666666,0.6666666666666666,0.8064516129032258,12,6,25,6
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,NB,3,0.6577060931899642,0.5333333333333333,0.7142857142857143,0.6666666666666666,0.4444444444444444,0.8709677419354839,8,4,27,10
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,LR,3,0.7876344086021506,0.7317073170731708,0.7755102040816326,0.6521739130434783,0.8333333333333334,0.7419354838709677,15,8,23,3
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,SVC1,3,0.7643369175627239,0.7027027027027027,0.7755102040816326,0.6842105263157895,0.7222222222222222,0.8064516129032258,13,6,25,5
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,SVC2,3,0.7876344086021506,0.7317073170731708,0.7755102040816326,0.6521739130434783,0.8333333333333334,0.7419354838709677,15,8,23,3
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,XG,3,0.736559139784946,0.6666666666666666,0.7551020408163265,0.6666666666666666,0.6666666666666666,0.8064516129032258,12,6,25,6
emu_audio_open_cleaned_demographic_phq,gad,10,chi2,loo,regular_oversampling,kNN3,3,0.7159498207885305,0.65,0.7142857142857143,0.5909090909090909,0.7222222222222222,0.7096774193548387,13,9,22,5
