modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,1,0.8366402116402116,0.8363636363636364,0.8363636363636363,0.8214285714285714,0.8518518518518519,0.8214285714285714,23,5,23,4
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,1,0.8366402116402116,0.8363636363636364,0.8363636363636363,0.8214285714285714,0.8518518518518519,0.8214285714285714,23,5,23,4
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,1,0.8366402116402116,0.8363636363636364,0.8363636363636363,0.8214285714285714,0.8518518518518519,0.8214285714285714,23,5,23,4
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,1,0.8366402116402116,0.8363636363636364,0.8363636363636363,0.8214285714285714,0.8518518518518519,0.8214285714285714,23,5,23,4
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,1,0.8194444444444444,0.8275862068965517,0.8181818181818182,0.7741935483870968,0.8888888888888888,0.75,24,7,21,3
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,1,0.798941798941799,0.7843137254901961,0.8,0.8333333333333334,0.7407407407407407,0.8571428571428571,20,4,24,7
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,1,0.7268518518518519,0.7169811320754716,0.7272727272727273,0.7307692307692307,0.7037037037037037,0.75,19,7,21,8
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,2,0.7089947089947091,0.7037037037037037,0.7090909090909091,0.7037037037037037,0.7037037037037037,0.7142857142857143,19,8,20,8
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,2,0.7268518518518519,0.7169811320754716,0.7272727272727273,0.7307692307692307,0.7037037037037037,0.75,19,7,21,8
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,2,0.7089947089947091,0.7037037037037037,0.7090909090909091,0.7037037037037037,0.7037037037037037,0.7142857142857143,19,8,20,8
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,2,0.7632275132275133,0.7547169811320754,0.7636363636363637,0.7692307692307693,0.7407407407407407,0.7857142857142857,20,6,22,7
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,2,0.7632275132275133,0.7547169811320754,0.7636363636363637,0.7692307692307693,0.7407407407407407,0.7857142857142857,20,6,22,7
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,2,0.6732804232804233,0.6785714285714286,0.6727272727272727,0.6551724137931034,0.7037037037037037,0.6428571428571429,19,10,18,8
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,2,0.7096560846560847,0.7142857142857143,0.7090909090909091,0.6896551724137931,0.7407407407407407,0.6785714285714286,20,9,19,7
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,3,0.6342592592592592,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.5185185185185185,0.75,14,7,21,13
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,3,0.7453703703703703,0.7407407407407407,0.7454545454545455,0.7407407407407407,0.7407407407407407,0.75,20,7,21,7
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,3,0.7824074074074074,0.7857142857142857,0.7818181818181819,0.7586206896551724,0.8148148148148148,0.75,22,7,21,5
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,3,0.7996031746031745,0.7924528301886792,0.8,0.8076923076923077,0.7777777777777778,0.8214285714285714,21,5,23,6
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,3,0.7632275132275133,0.7547169811320754,0.7636363636363637,0.7692307692307693,0.7407407407407407,0.7857142857142857,20,6,22,7
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,3,0.7288359788359787,0.7457627118644067,0.7272727272727273,0.6875,0.8148148148148148,0.6428571428571429,22,10,18,5
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,3,0.8181216931216931,0.8148148148148148,0.8181818181818182,0.8148148148148148,0.8148148148148148,0.8214285714285714,22,5,23,5
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,4,0.6349206349206349,0.6,0.6363636363636364,0.6521739130434783,0.5555555555555556,0.7142857142857143,15,8,20,12
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,4,0.7089947089947091,0.7037037037037037,0.7090909090909091,0.7037037037037037,0.7037037037037037,0.7142857142857143,19,8,20,8
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,4,0.7466931216931217,0.7586206896551724,0.7454545454545455,0.7096774193548387,0.8148148148148148,0.6785714285714286,22,9,19,5
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,4,0.7817460317460317,0.7777777777777778,0.7818181818181819,0.7777777777777778,0.7777777777777778,0.7857142857142857,21,6,22,6
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,4,0.7632275132275133,0.7547169811320754,0.7636363636363637,0.7692307692307693,0.7407407407407407,0.7857142857142857,20,6,22,7
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,4,0.6924603174603176,0.711864406779661,0.6909090909090909,0.65625,0.7777777777777778,0.6071428571428571,21,11,17,6
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,4,0.781084656084656,0.7692307692307692,0.7818181818181819,0.8,0.7407407407407407,0.8214285714285714,20,5,23,7
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,5,0.5992063492063492,0.576923076923077,0.6,0.6,0.5555555555555556,0.6428571428571429,15,10,18,12
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,5,0.7083333333333334,0.6923076923076923,0.7090909090909091,0.72,0.6666666666666666,0.75,18,7,21,9
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,5,0.6911375661375662,0.6909090909090909,0.6909090909090909,0.6785714285714286,0.7037037037037037,0.6785714285714286,19,9,19,8
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,5,0.726190476190476,0.7058823529411765,0.7272727272727273,0.75,0.6666666666666666,0.7857142857142857,18,6,22,9
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,5,0.781084656084656,0.7692307692307692,0.7818181818181819,0.8,0.7407407407407407,0.8214285714285714,20,5,23,7
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,5,0.6911375661375662,0.6909090909090909,0.6909090909090909,0.6785714285714286,0.7037037037037037,0.6785714285714286,19,9,19,8
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,5,0.7625661375661376,0.7450980392156864,0.7636363636363637,0.7916666666666666,0.7037037037037037,0.8214285714285714,19,5,23,8
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,6,0.5251322751322751,0.4583333333333333,0.5272727272727272,0.5238095238095238,0.4074074074074074,0.6428571428571429,11,10,18,16
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,6,0.6170634920634921,0.5882352941176471,0.6181818181818182,0.625,0.5555555555555556,0.6785714285714286,15,9,19,12
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,6,0.7083333333333334,0.6923076923076923,0.7090909090909091,0.72,0.6666666666666666,0.75,18,7,21,9
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,6,0.7083333333333334,0.6923076923076923,0.7090909090909091,0.72,0.6666666666666666,0.75,18,7,21,9
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,6,0.7447089947089947,0.7307692307692308,0.7454545454545455,0.76,0.7037037037037037,0.7857142857142857,19,6,22,8
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,6,0.6541005291005292,0.6415094339622641,0.6545454545454545,0.6538461538461539,0.6296296296296297,0.6785714285714286,17,9,19,10
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,6,0.7076719576719577,0.68,0.7090909090909091,0.7391304347826086,0.6296296296296297,0.7857142857142857,17,6,22,10
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,7,0.47023809523809523,0.3829787234042553,0.4727272727272727,0.45,0.3333333333333333,0.6071428571428571,9,11,17,18
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,7,0.5806878306878307,0.5490196078431373,0.5818181818181818,0.5833333333333334,0.5185185185185185,0.6428571428571429,14,10,18,13
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,7,0.6355820105820106,0.6153846153846153,0.6363636363636364,0.64,0.5925925925925926,0.6785714285714286,16,9,19,11
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,7,0.6534391534391535,0.627450980392157,0.6545454545454545,0.6666666666666666,0.5925925925925926,0.7142857142857143,16,8,20,11
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,7,0.781084656084656,0.7692307692307692,0.7818181818181819,0.8,0.7407407407407407,0.8214285714285714,20,5,23,7
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,7,0.6554232804232805,0.6666666666666667,0.6545454545454545,0.6333333333333333,0.7037037037037037,0.6071428571428571,19,11,17,8
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,7,0.5985449735449736,0.5599999999999999,0.6,0.6086956521739131,0.5185185185185185,0.6785714285714286,14,9,19,13
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,8,0.4345238095238095,0.36734693877551017,0.43636363636363634,0.4090909090909091,0.3333333333333333,0.5357142857142857,9,13,15,18
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,8,0.5621693121693121,0.52,0.5636363636363636,0.5652173913043478,0.48148148148148145,0.6428571428571429,13,10,18,14
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,8,0.6170634920634921,0.5882352941176471,0.6181818181818182,0.625,0.5555555555555556,0.6785714285714286,15,9,19,12
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC2,8,0.6534391534391535,0.627450980392157,0.6545454545454545,0.6666666666666666,0.5925925925925926,0.7142857142857143,16,8,20,11
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,XG,8,0.726190476190476,0.7058823529411765,0.7272727272727273,0.75,0.6666666666666666,0.7857142857142857,18,6,22,9
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,kNN3,8,0.6005291005291006,0.6071428571428571,0.6,0.5862068965517241,0.6296296296296297,0.5714285714285714,17,12,16,10
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,RF,8,0.6355820105820106,0.6153846153846153,0.6363636363636364,0.64,0.5925925925925926,0.6785714285714286,16,9,19,11
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,NB,9,0.416005291005291,0.3333333333333333,0.41818181818181815,0.38095238095238093,0.2962962962962963,0.5357142857142857,8,13,15,19
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,LR,9,0.5443121693121693,0.5098039215686274,0.5454545454545454,0.5416666666666666,0.48148148148148145,0.6071428571428571,13,11,17,14
emu_audio_open_uncleaned_demographic_gad,phq,10,chi2,loo,regular_oversampling,SVC1,9,0.5628306878306879,0.5384615384615384,0.5636363636363636,0.56,0.5185185185185185,0.6071428571428571,14,11,17,13
