modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
demographic_phq,gad,10,pca,loo,regular_oversampling,NB,1,0.45534924845269664,0.4571428571428572,0.4411764705882353,0.3902439024390244,0.5517241379310345,0.358974358974359,16,25,14,13
demographic_phq,gad,10,pca,loo,regular_oversampling,LR,1,0.46021220159151194,0.5063291139240508,0.4264705882352941,0.4,0.6896551724137931,0.23076923076923078,20,30,9,9
demographic_phq,gad,10,pca,loo,regular_oversampling,SVC1,1,0.4500442086648983,0.3333333333333333,0.47058823529411764,0.36,0.3103448275862069,0.5897435897435898,9,16,23,20
demographic_phq,gad,10,pca,loo,regular_oversampling,SVC2,1,0.4725906277630415,0.4788732394366197,0.45588235294117646,0.40476190476190477,0.5862068965517241,0.358974358974359,17,25,14,12
demographic_phq,gad,10,pca,loo,regular_oversampling,XG,1,0.6091954022988506,0.5517241379310345,0.6176470588235294,0.5517241379310345,0.5517241379310345,0.6666666666666666,16,13,26,13
demographic_phq,gad,10,pca,loo,regular_oversampling,kNN3,1,0.5450928381962864,0.507936507936508,0.5441176470588235,0.47058823529411764,0.5517241379310345,0.5384615384615384,16,18,21,13
demographic_phq,gad,10,pca,loo,regular_oversampling,RF,1,0.6091954022988506,0.5517241379310345,0.6176470588235294,0.5517241379310345,0.5517241379310345,0.6666666666666666,16,13,26,13
demographic_phq,gad,10,pca,loo,regular_oversampling,NB,2,0.4796640141467728,0.2978723404255319,0.5147058823529411,0.3888888888888889,0.2413793103448276,0.717948717948718,7,11,28,22
demographic_phq,gad,10,pca,loo,regular_oversampling,LR,2,0.5097259062776305,0.3404255319148936,0.5441176470588235,0.4444444444444444,0.27586206896551724,0.7435897435897436,8,10,29,21
demographic_phq,gad,10,pca,loo,regular_oversampling,SVC1,2,0.5141467727674623,0.3673469387755102,0.5441176470588235,0.45,0.3103448275862069,0.717948717948718,9,11,28,20
demographic_phq,gad,10,pca,loo,regular_oversampling,SVC2,2,0.5225464190981433,0.34782608695652173,0.5588235294117647,0.47058823529411764,0.27586206896551724,0.7692307692307693,8,9,30,21
demographic_phq,gad,10,pca,loo,regular_oversampling,XG,2,0.6392572944297082,0.5862068965517241,0.6470588235294118,0.5862068965517241,0.5862068965517241,0.6923076923076923,17,12,27,12
demographic_phq,gad,10,pca,loo,regular_oversampling,kNN3,2,0.6308576480990273,0.5901639344262296,0.6323529411764706,0.5625,0.6206896551724138,0.6410256410256411,18,14,25,11
demographic_phq,gad,10,pca,loo,regular_oversampling,RF,2,0.652077807250221,0.5964912280701754,0.6617647058823529,0.6071428571428571,0.5862068965517241,0.717948717948718,17,11,28,12
demographic_phq,gad,10,pca,loo,regular_oversampling,NB,3,0.8156498673740052,0.7936507936507937,0.8088235294117647,0.7352941176470589,0.8620689655172413,0.7692307692307693,25,9,30,4
demographic_phq,gad,10,pca,loo,regular_oversampling,LR,3,0.8112290008841733,0.7868852459016394,0.8088235294117647,0.75,0.8275862068965517,0.7948717948717948,24,8,31,5
demographic_phq,gad,10,pca,loo,regular_oversampling,SVC1,3,0.7727674624226348,0.75,0.7647058823529411,0.6857142857142857,0.8275862068965517,0.717948717948718,24,11,28,5
demographic_phq,gad,10,pca,loo,regular_oversampling,SVC2,3,0.7771883289124668,0.7575757575757576,0.7647058823529411,0.6756756756756757,0.8620689655172413,0.6923076923076923,25,12,27,4
demographic_phq,gad,10,pca,loo,regular_oversampling,XG,3,0.7767462422634837,0.7457627118644068,0.7794117647058824,0.7333333333333333,0.7586206896551724,0.7948717948717948,22,8,31,7
demographic_phq,gad,10,pca,loo,regular_oversampling,kNN3,3,0.6653404067197171,0.6349206349206349,0.6617647058823529,0.5882352941176471,0.6896551724137931,0.6410256410256411,20,14,25,9
demographic_phq,gad,10,pca,loo,regular_oversampling,RF,3,0.7639257294429708,0.7333333333333333,0.7647058823529411,0.7096774193548387,0.7586206896551724,0.7692307692307693,22,9,30,7
demographic_phq,gad,10,pca,loo,regular_oversampling,NB,4,0.845711759504863,0.8253968253968255,0.8382352941176471,0.7647058823529411,0.896551724137931,0.7948717948717948,26,8,31,3
demographic_phq,gad,10,pca,loo,regular_oversampling,LR,4,0.845711759504863,0.8253968253968255,0.8382352941176471,0.7647058823529411,0.896551724137931,0.7948717948717948,26,8,31,3
demographic_phq,gad,10,pca,loo,regular_oversampling,SVC1,4,0.8028293545534925,0.7812500000000001,0.7941176470588235,0.7142857142857143,0.8620689655172413,0.7435897435897436,25,10,29,4
demographic_phq,gad,10,pca,loo,regular_oversampling,SVC2,4,0.8244916003536693,0.8059701492537312,0.8088235294117647,0.7105263157894737,0.9310344827586207,0.717948717948718,27,11,28,2
demographic_phq,gad,10,pca,loo,regular_oversampling,XG,4,0.7767462422634837,0.7457627118644068,0.7794117647058824,0.7333333333333333,0.7586206896551724,0.7948717948717948,22,8,31,7
demographic_phq,gad,10,pca,loo,regular_oversampling,kNN3,4,0.6825817860300618,0.65625,0.6764705882352942,0.6,0.7241379310344828,0.6410256410256411,21,14,25,8
demographic_phq,gad,10,pca,loo,regular_oversampling,RF,4,0.7767462422634837,0.7457627118644068,0.7794117647058824,0.7333333333333333,0.7586206896551724,0.7948717948717948,22,8,31,7
demographic_phq,gad,10,pca,loo,regular_oversampling,NB,5,0.7639257294429708,0.7333333333333333,0.7647058823529411,0.7096774193548387,0.7586206896551724,0.7692307692307693,22,9,30,7
demographic_phq,gad,10,pca,loo,regular_oversampling,LR,5,0.8368700265251989,0.8135593220338982,0.8382352941176471,0.8,0.8275862068965517,0.8461538461538461,24,6,33,5
demographic_phq,gad,10,pca,loo,regular_oversampling,SVC1,5,0.759946949602122,0.7384615384615385,0.75,0.6666666666666666,0.8275862068965517,0.6923076923076923,24,12,27,5
demographic_phq,gad,10,pca,loo,regular_oversampling,SVC2,5,0.7727674624226348,0.75,0.7647058823529411,0.6857142857142857,0.8275862068965517,0.717948717948718,24,11,28,5
