modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
demographic,gad,10,chi2,loo,regular_oversampling,NB,1,0.5481874447391689,0.36363636363636365,0.5882352941176471,0.5333333333333333,0.27586206896551724,0.8205128205128205,8,7,32,21
demographic,gad,10,chi2,loo,regular_oversampling,LR,1,0.5481874447391689,0.36363636363636365,0.5882352941176471,0.5333333333333333,0.27586206896551724,0.8205128205128205,8,7,32,21
demographic,gad,10,chi2,loo,regular_oversampling,SVC1,1,0.5481874447391689,0.36363636363636365,0.5882352941176471,0.5333333333333333,0.27586206896551724,0.8205128205128205,8,7,32,21
demographic,gad,10,chi2,loo,regular_oversampling,SVC2,1,0.5481874447391689,0.36363636363636365,0.5882352941176471,0.5333333333333333,0.27586206896551724,0.8205128205128205,8,7,32,21
demographic,gad,10,chi2,loo,regular_oversampling,XG,1,0.5481874447391689,0.36363636363636365,0.5882352941176471,0.5333333333333333,0.27586206896551724,0.8205128205128205,8,7,32,21
demographic,gad,10,chi2,loo,regular_oversampling,kNN3,1,0.4995579133510168,0.5777777777777777,0.4411764705882353,0.4262295081967213,0.896551724137931,0.10256410256410256,26,35,4,3
demographic,gad,10,chi2,loo,regular_oversampling,RF,1,0.5481874447391689,0.36363636363636365,0.5882352941176471,0.5333333333333333,0.27586206896551724,0.8205128205128205,8,7,32,21
demographic,gad,10,chi2,loo,regular_oversampling,NB,2,0.4036251105216623,0.3880597014925373,0.39705882352941174,0.34210526315789475,0.4482758620689655,0.358974358974359,13,25,14,16
demographic,gad,10,chi2,loo,regular_oversampling,LR,2,0.539787798408488,0.3829787234042554,0.5735294117647058,0.5,0.3103448275862069,0.7692307692307693,9,9,30,20
demographic,gad,10,chi2,loo,regular_oversampling,SVC1,2,0.530946065428824,0.32558139534883723,0.5735294117647058,0.5,0.2413793103448276,0.8205128205128205,7,7,32,22
demographic,gad,10,chi2,loo,regular_oversampling,SVC2,2,0.5225464190981433,0.34782608695652173,0.5588235294117647,0.47058823529411764,0.27586206896551724,0.7692307692307693,8,9,30,21
demographic,gad,10,chi2,loo,regular_oversampling,XG,2,0.5181255526083113,0.3181818181818182,0.5588235294117647,0.4666666666666667,0.2413793103448276,0.7948717948717948,7,8,31,22
demographic,gad,10,chi2,loo,regular_oversampling,kNN3,2,0.39080459770114945,0.38235294117647056,0.38235294117647056,0.3333333333333333,0.4482758620689655,0.3333333333333333,13,26,13,16
demographic,gad,10,chi2,loo,regular_oversampling,RF,2,0.40716180371352784,0.29090909090909095,0.4264705882352941,0.3076923076923077,0.27586206896551724,0.5384615384615384,8,18,21,21
demographic,gad,10,chi2,loo,regular_oversampling,NB,3,0.41688770999115826,0.4383561643835616,0.39705882352941174,0.36363636363636365,0.5517241379310345,0.28205128205128205,16,28,11,13
demographic,gad,10,chi2,loo,regular_oversampling,LR,3,0.5190097259062776,0.4482758620689655,0.5294117647058824,0.4482758620689655,0.4482758620689655,0.5897435897435898,13,16,23,16
demographic,gad,10,chi2,loo,regular_oversampling,SVC1,3,0.42396109637488943,0.24489795918367346,0.45588235294117646,0.3,0.20689655172413793,0.6410256410256411,6,14,25,23
demographic,gad,10,chi2,loo,regular_oversampling,SVC2,3,0.5097259062776305,0.3404255319148936,0.5441176470588235,0.4444444444444444,0.27586206896551724,0.7435897435897436,8,10,29,21
demographic,gad,10,chi2,loo,regular_oversampling,XG,3,0.4416445623342175,0.3508771929824561,0.45588235294117646,0.35714285714285715,0.3448275862068966,0.5384615384615384,10,18,21,19
demographic,gad,10,chi2,loo,regular_oversampling,kNN3,3,0.4036251105216623,0.3880597014925373,0.39705882352941174,0.34210526315789475,0.4482758620689655,0.358974358974359,13,25,14,16
demographic,gad,10,chi2,loo,regular_oversampling,RF,3,0.4593280282935456,0.43076923076923074,0.45588235294117646,0.3888888888888889,0.4827586206896552,0.4358974358974359,14,22,17,15
demographic,gad,10,chi2,loo,regular_oversampling,NB,4,0.40406719717064543,0.4324324324324324,0.38235294117647056,0.35555555555555557,0.5517241379310345,0.2564102564102564,16,29,10,13
demographic,gad,10,chi2,loo,regular_oversampling,LR,4,0.4500442086648983,0.3333333333333333,0.47058823529411764,0.36,0.3103448275862069,0.5897435897435898,9,16,23,20
demographic,gad,10,chi2,loo,regular_oversampling,SVC1,4,0.4456233421750664,0.3076923076923077,0.47058823529411764,0.34782608695652173,0.27586206896551724,0.6153846153846154,8,15,24,21
demographic,gad,10,chi2,loo,regular_oversampling,SVC2,4,0.5225464190981433,0.34782608695652173,0.5588235294117647,0.47058823529411764,0.27586206896551724,0.7692307692307693,8,9,30,21
demographic,gad,10,chi2,loo,regular_oversampling,XG,4,0.32581786030061893,0.23728813559322037,0.3382352941176471,0.23333333333333334,0.2413793103448276,0.41025641025641024,7,23,16,22
demographic,gad,10,chi2,loo,regular_oversampling,kNN3,4,0.3824049513704686,0.39436619718309857,0.36764705882352944,0.3333333333333333,0.4827586206896552,0.28205128205128205,14,28,11,15
demographic,gad,10,chi2,loo,regular_oversampling,RF,4,0.339080459770115,0.3076923076923077,0.3382352941176471,0.2777777777777778,0.3448275862068966,0.3333333333333333,10,26,13,19
