modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
demographic,gad,10,etc,loo,regular_oversampling,NB,1,0.5587975243147656,0.5789473684210527,0.5294117647058824,0.46808510638297873,0.7586206896551724,0.358974358974359,22,25,14,7
demographic,gad,10,etc,loo,regular_oversampling,LR,1,0.5760389036251106,0.5974025974025974,0.5441176470588235,0.4791666666666667,0.7931034482758621,0.358974358974359,23,25,14,6
demographic,gad,10,etc,loo,regular_oversampling,SVC1,1,0.5247568523430592,0.5679012345679012,0.4852941176470588,0.4423076923076923,0.7931034482758621,0.2564102564102564,23,29,10,6
demographic,gad,10,etc,loo,regular_oversampling,SVC2,1,0.5167992926613616,0.5934065934065935,0.45588235294117646,0.43548387096774194,0.9310344827586207,0.10256410256410256,27,35,4,2
demographic,gad,10,etc,loo,regular_oversampling,XG,1,0.537577365163572,0.5750000000000001,0.5,0.45098039215686275,0.7931034482758621,0.28205128205128205,23,28,11,6
demographic,gad,10,etc,loo,regular_oversampling,kNN3,1,0.4456233421750664,0.3076923076923077,0.47058823529411764,0.34782608695652173,0.27586206896551724,0.6153846153846154,8,15,24,21
demographic,gad,10,etc,loo,regular_oversampling,RF,1,0.541998231653404,0.5853658536585366,0.5,0.4528301886792453,0.8275862068965517,0.2564102564102564,24,29,10,5
demographic,gad,10,etc,loo,regular_oversampling,NB,2,0.47745358090185674,0.525,0.4411764705882353,0.4117647058823529,0.7241379310344828,0.23076923076923078,21,30,9,8
demographic,gad,10,etc,loo,regular_oversampling,LR,2,0.519893899204244,0.5277777777777777,0.5,0.4418604651162791,0.6551724137931034,0.38461538461538464,19,24,15,10
demographic,gad,10,etc,loo,regular_oversampling,SVC1,2,0.49425287356321845,0.5135135135135135,0.47058823529411764,0.4222222222222222,0.6551724137931034,0.3333333333333333,19,26,13,10
demographic,gad,10,etc,loo,regular_oversampling,SVC2,2,0.46861184792219274,0.4999999999999999,0.4411764705882353,0.40425531914893614,0.6551724137931034,0.28205128205128205,19,28,11,10
demographic,gad,10,etc,loo,regular_oversampling,XG,2,0.5543766578249336,0.5675675675675675,0.5294117647058824,0.4666666666666667,0.7241379310344828,0.38461538461538464,21,24,15,8
demographic,gad,10,etc,loo,regular_oversampling,kNN3,2,0.5026525198938991,0.5070422535211268,0.4852941176470588,0.42857142857142855,0.6206896551724138,0.38461538461538464,18,24,15,11
demographic,gad,10,etc,loo,regular_oversampling,RF,2,0.5159151193633952,0.5454545454545455,0.4852941176470588,0.4375,0.7241379310344828,0.3076923076923077,21,27,12,8
demographic,gad,10,etc,loo,regular_oversampling,NB,3,0.49911582670203364,0.5542168674698795,0.45588235294117646,0.42592592592592593,0.7931034482758621,0.20512820512820512,23,31,8,6
demographic,gad,10,etc,loo,regular_oversampling,LR,3,0.5371352785145889,0.547945205479452,0.5147058823529411,0.45454545454545453,0.6896551724137931,0.38461538461538464,20,24,15,9
demographic,gad,10,etc,loo,regular_oversampling,SVC1,3,0.5114942528735633,0.5333333333333333,0.4852941176470588,0.43478260869565216,0.6896551724137931,0.3333333333333333,20,26,13,9
demographic,gad,10,etc,loo,regular_oversampling,SVC2,3,0.53315649867374,0.564102564102564,0.5,0.4489795918367347,0.7586206896551724,0.3076923076923077,22,27,12,7
demographic,gad,10,etc,loo,regular_oversampling,XG,3,0.5114942528735633,0.5333333333333333,0.4852941176470588,0.43478260869565216,0.6896551724137931,0.3333333333333333,20,26,13,9
demographic,gad,10,etc,loo,regular_oversampling,kNN3,3,0.49823165340406717,0.4927536231884058,0.4852941176470588,0.425,0.5862068965517241,0.41025641025641024,17,23,16,12
demographic,gad,10,etc,loo,regular_oversampling,RF,3,0.4902740937223695,0.5316455696202531,0.45588235294117646,0.42,0.7241379310344828,0.2564102564102564,21,29,10,8
demographic,gad,10,etc,loo,regular_oversampling,NB,4,0.5119363395225465,0.5609756097560975,0.47058823529411764,0.4339622641509434,0.7931034482758621,0.23076923076923078,23,30,9,6
demographic,gad,10,etc,loo,regular_oversampling,LR,4,0.5371352785145889,0.547945205479452,0.5147058823529411,0.45454545454545453,0.6896551724137931,0.38461538461538464,20,24,15,9
demographic,gad,10,etc,loo,regular_oversampling,SVC1,4,0.5114942528735633,0.5333333333333333,0.4852941176470588,0.43478260869565216,0.6896551724137931,0.3333333333333333,20,26,13,9
demographic,gad,10,etc,loo,regular_oversampling,SVC2,4,0.5371352785145889,0.547945205479452,0.5147058823529411,0.45454545454545453,0.6896551724137931,0.38461538461538464,20,24,15,9
demographic,gad,10,etc,loo,regular_oversampling,XG,4,0.5543766578249336,0.5675675675675675,0.5294117647058824,0.4666666666666667,0.7241379310344828,0.38461538461538464,21,24,15,8
demographic,gad,10,etc,loo,regular_oversampling,kNN3,4,0.5499557913351016,0.5555555555555556,0.5294117647058824,0.46511627906976744,0.6896551724137931,0.41025641025641024,20,23,16,9
demographic,gad,10,etc,loo,regular_oversampling,RF,4,0.5287356321839081,0.5526315789473684,0.5,0.44680851063829785,0.7241379310344828,0.3333333333333333,21,26,13,8
