modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
demographic,phq,10,chi2,loo,regular_oversampling,NB,1,0.5544899738448126,0.3846153846153846,0.5294117647058824,0.6666666666666666,0.2702702702702703,0.8387096774193549,10,5,26,27
demographic,phq,10,chi2,loo,regular_oversampling,LR,1,0.5544899738448126,0.3846153846153846,0.5294117647058824,0.6666666666666666,0.2702702702702703,0.8387096774193549,10,5,26,27
demographic,phq,10,chi2,loo,regular_oversampling,SVC1,1,0.5544899738448126,0.3846153846153846,0.5294117647058824,0.6666666666666666,0.2702702702702703,0.8387096774193549,10,5,26,27
demographic,phq,10,chi2,loo,regular_oversampling,SVC2,1,0.5544899738448126,0.3846153846153846,0.5294117647058824,0.6666666666666666,0.2702702702702703,0.8387096774193549,10,5,26,27
demographic,phq,10,chi2,loo,regular_oversampling,XG,1,0.5544899738448126,0.3846153846153846,0.5294117647058824,0.6666666666666666,0.2702702702702703,0.8387096774193549,10,5,26,27
demographic,phq,10,chi2,loo,regular_oversampling,kNN3,1,0.489537925021796,0.17777777777777778,0.45588235294117646,0.5,0.10810810810810811,0.8709677419354839,4,4,27,33
demographic,phq,10,chi2,loo,regular_oversampling,RF,1,0.5544899738448126,0.3846153846153846,0.5294117647058824,0.6666666666666666,0.2702702702702703,0.8387096774193549,10,5,26,27
demographic,phq,10,chi2,loo,regular_oversampling,NB,2,0.47384481255449,0.3508771929824562,0.45588235294117646,0.5,0.2702702702702703,0.6774193548387096,10,10,21,27
demographic,phq,10,chi2,loo,regular_oversampling,LR,2,0.506102877070619,0.36363636363636365,0.4852941176470588,0.5555555555555556,0.2702702702702703,0.7419354838709677,10,8,23,27
demographic,phq,10,chi2,loo,regular_oversampling,SVC1,2,0.39843068875326937,0.27586206896551724,0.38235294117647056,0.38095238095238093,0.21621621621621623,0.5806451612903226,8,13,18,29
demographic,phq,10,chi2,loo,regular_oversampling,SVC2,2,0.4899738448125545,0.35714285714285715,0.47058823529411764,0.5263157894736842,0.2702702702702703,0.7096774193548387,10,9,22,27
demographic,phq,10,chi2,loo,regular_oversampling,XG,2,0.506102877070619,0.36363636363636365,0.4852941176470588,0.5555555555555556,0.2702702702702703,0.7419354838709677,10,8,23,27
demographic,phq,10,chi2,loo,regular_oversampling,kNN3,2,0.481691368788143,0.2745098039215686,0.45588235294117646,0.5,0.1891891891891892,0.7741935483870968,7,7,24,30
demographic,phq,10,chi2,loo,regular_oversampling,RF,2,0.42545771578029634,0.3333333333333333,0.4117647058823529,0.43478260869565216,0.2702702702702703,0.5806451612903226,10,13,18,27
demographic,phq,10,chi2,loo,regular_oversampling,NB,3,0.2885789014821273,0.35135135135135137,0.29411764705882354,0.35135135135135137,0.35135135135135137,0.22580645161290322,13,24,7,24
demographic,phq,10,chi2,loo,regular_oversampling,LR,3,0.4925893635571055,0.33333333333333337,0.47058823529411764,0.5294117647058824,0.24324324324324326,0.7419354838709677,9,8,23,28
demographic,phq,10,chi2,loo,regular_oversampling,SVC1,3,0.50871839581517,0.339622641509434,0.4852941176470588,0.5625,0.24324324324324326,0.7741935483870968,9,7,24,28
demographic,phq,10,chi2,loo,regular_oversampling,SVC2,3,0.5409764603312991,0.35294117647058826,0.5147058823529411,0.6428571428571429,0.24324324324324326,0.8387096774193549,9,5,26,28
demographic,phq,10,chi2,loo,regular_oversampling,XG,3,0.449433304272014,0.2641509433962264,0.4264705882352941,0.4375,0.1891891891891892,0.7096774193548387,7,9,22,30
demographic,phq,10,chi2,loo,regular_oversampling,kNN3,3,0.39799476896251085,0.0851063829787234,0.36764705882352944,0.2,0.05405405405405406,0.7419354838709677,2,8,23,35
demographic,phq,10,chi2,loo,regular_oversampling,RF,3,0.34742807323452485,0.2857142857142857,0.3382352941176471,0.34615384615384615,0.24324324324324326,0.45161290322580644,9,17,14,28
demographic,phq,10,chi2,loo,regular_oversampling,NB,4,0.32650392327811684,0.430379746835443,0.3382352941176471,0.40476190476190477,0.4594594594594595,0.1935483870967742,17,25,6,20
demographic,phq,10,chi2,loo,regular_oversampling,LR,4,0.4524847428073234,0.3870967741935484,0.4411764705882353,0.48,0.32432432432432434,0.5806451612903226,12,13,18,25
demographic,phq,10,chi2,loo,regular_oversampling,SVC1,4,0.42284219703574544,0.3548387096774193,0.4117647058823529,0.44,0.2972972972972973,0.5483870967741935,11,14,17,26
demographic,phq,10,chi2,loo,regular_oversampling,SVC2,4,0.538360941586748,0.3773584905660377,0.5147058823529411,0.625,0.2702702702702703,0.8064516129032258,10,6,25,27
demographic,phq,10,chi2,loo,regular_oversampling,XG,4,0.22362685265911075,0.208955223880597,0.22058823529411764,0.23333333333333334,0.1891891891891892,0.25806451612903225,7,23,8,30
demographic,phq,10,chi2,loo,regular_oversampling,kNN3,4,0.3962510897994769,0.4225352112676056,0.39705882352941174,0.4411764705882353,0.40540540540540543,0.3870967741935484,15,19,12,22
demographic,phq,10,chi2,loo,regular_oversampling,RF,4,0.2589363557105493,0.32432432432432434,0.2647058823529412,0.32432432432432434,0.32432432432432434,0.1935483870967742,12,25,6,25
