modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,NB,1,0.41789473684210526,0.40625000000000006,0.3968253968253968,0.3333333333333333,0.52,0.3157894736842105,13,26,12,12
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,LR,1,0.3568421052631579,0.23529411764705882,0.38095238095238093,0.23076923076923078,0.24,0.47368421052631576,6,20,18,19
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,SVC1,1,0.3631578947368421,0.20833333333333331,0.3968253968253968,0.21739130434782608,0.2,0.5263157894736842,5,18,20,20
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,SVC2,1,0.46315789473684216,0.3773584905660378,0.47619047619047616,0.35714285714285715,0.4,0.5263157894736842,10,18,20,15
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,XG,1,0.6015789473684211,0.48888888888888893,0.6349206349206349,0.55,0.44,0.7631578947368421,11,9,29,14
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,kNN3,1,0.5426315789473684,0.4615384615384615,0.5555555555555556,0.4444444444444444,0.48,0.6052631578947368,12,15,23,13
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,RF,1,0.6015789473684211,0.48888888888888893,0.6349206349206349,0.55,0.44,0.7631578947368421,11,9,29,14
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,NB,2,0.39,0.27450980392156865,0.4126984126984127,0.2692307692307692,0.28,0.5,7,19,19,18
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,LR,2,0.4157894736842105,0.22727272727272727,0.4603174603174603,0.2631578947368421,0.2,0.631578947368421,5,14,24,20
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,SVC1,2,0.40315789473684216,0.28,0.42857142857142855,0.28,0.28,0.5263157894736842,7,18,20,18
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,SVC2,2,0.37631578947368416,0.21276595744680854,0.4126984126984127,0.22727272727272727,0.2,0.5526315789473685,5,17,21,20
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,XG,2,0.5821052631578947,0.4897959183673469,0.6031746031746031,0.5,0.48,0.6842105263157895,12,12,26,13
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,kNN3,2,0.5626315789473685,0.49056603773584906,0.5714285714285714,0.4642857142857143,0.52,0.6052631578947368,13,15,23,12
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,RF,2,0.5421052631578948,0.4255319148936171,0.5714285714285714,0.45454545454545453,0.4,0.6842105263157895,10,12,26,15
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,NB,3,0.821578947368421,0.7857142857142856,0.8095238095238095,0.7096774193548387,0.88,0.7631578947368421,22,9,29,3
demographic_phq_uncleaned_closed_participants,gad,10,pca,loo,regular_oversampling,LR,3,0.781578947368421,0.7407407407407408,0.7777777777777778,0.6896551724137931,0.8,0.7631578947368421,20,9,29,5
