modality,target_type,split,feature_selection,cross_validation,sampling,model,num_features,auc,f1,accuracy,precision,sensitivity,specificity,true_positive,false_positive,true_negative,false_negative
audio_transcript_gender,phq,10,pca,loo,regular_oversampling,NB,1,0.5993788819875776,0.4137931034482759,0.6136363636363636,0.75,0.2857142857142857,0.9130434782608695,6,2,21,15
audio_transcript_gender,phq,10,pca,loo,regular_oversampling,LR,1,0.5838509316770186,0.5,0.5909090909090909,0.6,0.42857142857142855,0.7391304347826086,9,6,17,12
audio_transcript_gender,phq,10,pca,loo,regular_oversampling,SVC1,1,0.5755693581780539,0.35714285714285715,0.5909090909090909,0.7142857142857143,0.23809523809523808,0.9130434782608695,5,2,21,16
audio_transcript_gender,phq,10,pca,loo,regular_oversampling,SVC2,1,0.6211180124223602,0.42857142857142855,0.6363636363636364,0.8571428571428571,0.2857142857142857,0.9565217391304348,6,1,22,15
audio_transcript_gender,phq,10,pca,loo,regular_oversampling,XG,1,0.4337474120082816,0.4444444444444445,0.4318181818181818,0.4166666666666667,0.47619047619047616,0.391304347826087,10,14,9,11
audio_transcript_gender,phq,10,pca,loo,regular_oversampling,kNN3,1,0.546583850931677,0.5454545454545454,0.5454545454545454,0.5217391304347826,0.5714285714285714,0.5217391304347826,12,11,12,9
audio_transcript_gender,phq,10,pca,loo,regular_oversampling,RF,1,0.5010351966873706,0.5,0.5,0.4782608695652174,0.5238095238095238,0.4782608695652174,11,12,11,10
audio_transcript_gender,phq,10,pca,loo,regular_oversampling,NB,2,0.5320910973084886,0.33333333333333326,0.5454545454545454,0.5555555555555556,0.23809523809523808,0.8260869565217391,5,4,19,16
audio_transcript_gender,phq,10,pca,loo,regular_oversampling,LR,2,0.494824016563147,0.42105263157894735,0.5,0.47058823529411764,0.38095238095238093,0.6086956521739131,8,9,14,13
audio_transcript_gender,phq,10,pca,loo,regular_oversampling,SVC1,2,0.5755693581780539,0.35714285714285715,0.5909090909090909,0.7142857142857143,0.23809523809523808,0.9130434782608695,5,2,21,16
audio_transcript_gender,phq,10,pca,loo,regular_oversampling,SVC2,2,0.5993788819875776,0.4137931034482759,0.6136363636363636,0.75,0.2857142857142857,0.9130434782608695,6,2,21,15
